link,name,genre,director,year,appearance
https://kinobar.vip/25660-zaslanec-iz-kosmosa-2-sezon-1-seriya.html,Засланец из космоса 2 сезон 1-2 серия,"Комедии, Сериалы, Драмы, Фантастика, Детектив","Роберт Данкан МакНил, Джей Чандрашекхар, Шеннон Коли",2021,"Вчера, 13:15"
https://kinobar.vip/25512-zhenschina-v-dome-naprotiv-devushki-v-okne-1-sezon.html,Женщина в доме напротив девушки в окне 1 сезон,"Комедии, Сериалы, Драмы, Триллеры, Детектив",Майкл Леманн,2022,31 января 2022
https://kinobar.vip/25665-trevozhnye-lyudi-1-sezon-1-6-seriya.html,Тревожные люди 1 сезон 1-6 серия,"Комедии, Сериалы, Драмы, Детектив, Криминал",Феликс Хернгрен,2021,27 января 2022
https://kinobar.vip/24755-otec-sergiy-1-sezon.html,"Сергий против нечисти 1 сезон 1-5,6 серия","Комедии, Сериалы, Фэнтези, Детектив",Кирилл Кузин,2021,14 января 2022
https://kinobar.vip/23832-tayna-sen-trope.html,Тайна Сен-Тропе,"Комедии, Фильмы 2021, Детектив, Криминал, Новинки кино",Николя Бенаму,2021,8 января 2022
https://kinobar.vip/25437-ubiystvo-v-gnezde-fazana.html,Убийство в «Гнезде фазана»,"Комедии, Фильмы 2021, Детектив, Криминал, Российское кино",Алексей Смирнов,2021,30 декабря 2021
https://kinobar.vip/25424-48-chasov-1-sezon-1-16-seriya.html,48 часов 1 сезон 1-16 серия,"Комедии, Сериалы, Детектив",Егор Баринов,2021,27 декабря 2021
https://kinobar.vip/25325-pod-pricelom.html,Под прицелом,"Комедии, Фильмы 2021, Детектив, Криминал","Мануэль Кросби, Даррен Кнапп",2021,21 декабря 2021
https://kinobar.vip/24673-vinovnaya-storona-1-sezon.html,Виновная сторона 1 сезон 1-10 серия,"Комедии, Сериалы, Детектив, Криминал","Стэйси Мухаммад, Трент О'Доннелл",2021,9 декабря 2021
https://kinobar.vip/24865-vne-sebya-1-sezon.html,"Вне себя 1 сезон 1-7,8 серия","Комедии, Сериалы, Триллеры, Детектив","Александр Дулерайн, Клим Козинский",2021,9 декабря 2021
https://kinobar.vip/25034-dzhek-i-london-1-sezon-1-7-seriya.html,Джек и Лондон 1 сезон 1-12 серия,"Комедии, Сериалы, Детектив",Александр Итыгилов мл.,2022,24 ноября 2021
https://kinobar.vip/25050-proza-brodyachih-psov-vse-serii-po-poryadku.html,Проза бродячих псов (все серии по порядку),"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Детектив, Аниме",Такуя Игараси,2016,18 ноября 2021
https://kinobar.vip/24092-rokovoy-patrul-3-sezon.html,Роковой патруль 3 сезон 1-10 серия,"Комедии, Сериалы, Драмы, Боевики, Фантастика, Детектив","Крис Мэнли, Гарри Жиержиан, Дермотт Даунс",2021,12 ноября 2021
https://kinobar.vip/24970-doktor.html,Доктор,"Комедии, Фильмы 2021, Боевики, Триллеры, Детектив, Криминал",Нельсон Дилипкумар,2021,8 ноября 2021
https://kinobar.vip/24774-balabol-5-sezon-1-8-seriya.html,"Балабол 5 сезон 1-19,20 серия","Комедии, Сериалы, Детектив",Владимир Мельник,2021,30 октября 2021
https://kinobar.vip/2070-dom-monstr-v1.html,Дом-монстр,"Комедии, Мультфильмы, Семейный, Фэнтези, Детектив",Гил Кинан,2006,24 октября 2021
https://kinobar.vip/24208-ubiystva-v-odnom-zdanii-1-sezon.html,Убийства в одном здании 1 сезон 1-10 серия,"Комедии, Сериалы, Детектив, Криминал","Джеми Бэббит, Шерин Дабис, Джиллиан Робеспьер",2021,19 октября 2021
https://kinobar.vip/24709-ohotnik-za-dezertirami-1-sezon-1-6-seriya.html,Охотник за дезертирами 1 сезон 1-6 серия,"Комедии, Сериалы, Драмы, Детектив, Азиатские сериалы",Хан Джун-хи,2021,11 октября 2021
