link,name,genre,director,year,appearance
https://kinobar.vip/24705-do-samoy-smerti.html,К югу от рая,"Фильмы 2021, Драмы, Боевики, Триллеры, Ужасы, Детектив, Криминал, Новинки кино",Ахарон Кешалес,2021,28 января 2022
https://kinobar.vip/25586-strashnye-istorii-v-dvuh-predlozheniyah-4-sezon-12-seriya.html,Страшные истории в двух предложениях 4 сезон,"Сериалы, Драмы, Триллеры, Ужасы, Детектив","Вера Миао, Рания Аттих, Дэниэл Гарсиа",2022,31 января 2022
https://kinobar.vip/1670-monstro-v2.html,Монстро,"Триллеры, Фантастика, Ужасы, Детектив, Фильмы про катастрофы и апокалипсис",Мэтт Ривз,2008,31 января 2022
https://kinobar.vip/24038-nensi-dryu-3-sezon.html,Нэнси Дрю 3 сезон 1-13 серия,"Сериалы, Драмы, Фэнтези, Ужасы, Детектив","Ларри Тенг, Аманда Роу, Рубен Гарсиа",2021,29 января 2022
https://kinobar.vip/8782-skvoz-gorizont-v3.html,Сквозь горизонт,"Триллеры, Фантастика, Ужасы, Детектив, Фильмы про космос",Пол У. С. Андерсон,1997,25 января 2022
https://kinobar.vip/20999-proshloy-nochyu-v-soho-v1.html,Прошлой ночью в Сохо,"Фильмы 2021, Драмы, Триллеры, Ужасы, Детектив, Новинки кино",Эдгар Райт,2021,19 января 2022
https://kinobar.vip/24704-krik.html,Крик 5,"Фильмы 2022, Триллеры, Ужасы, Детектив, Новинки кино","Мэттью Беттинелли, Тайлер Джиллетт",2022,19 января 2022
https://kinobar.vip/25566-arhiv-81-1-sezon-1-8-seriya.html,Архив 81 1 сезон 1-8 серия,"Сериалы, Драмы, Триллеры, Фантастика, Ужасы, Детектив","Ребекка Томас, Хайфа Аль-Мансур, Джастин Бенсон",2022,16 января 2022
https://kinobar.vip/24915-shershni-1-sezon-v1.html,Шершни 1 сезон 1-10 серия,"Сериалы, Драмы, Триллеры, Ужасы, Детектив","Эва Сёрхёуг, Карин Кусама, Дипа Мехта",2021,16 января 2022
https://kinobar.vip/25535-bermudskiy-treugolnik.html,Бермудский треугольник,"Триллеры, Ужасы, Детектив",Кристиан МакИнтайр,2001,12 января 2022
https://kinobar.vip/24294-obitel-zla-rakkun-siti.html,Обитель зла: Раккун Сити,"Фильмы 2021, Боевики, Фантастика, Ужасы, Детектив, Новинки кино",Йоханнес Робертс,2021,10 января 2022
https://kinobar.vip/25498-v-serdce-pustoshi.html,В сердце пустоши,"Фильмы 2021, Драмы, Ужасы, Детектив",David Casademunt,2021,10 января 2022
