link,name,genre,director,year,appearance
https://kinobar.vip/25681-poisk-dolzhnikov-treyser-1-sezon.html,Поиск должников / Трейсер 1 сезон,"Сериалы, Детектив, Криминал, Азиатские сериалы",Ли Сын-ён,2021,29 января 2022
https://kinobar.vip/25668-chernoe-solnce-1-sezon-1-12-seriya.html,Чёрное солнце 1 сезон 1-12 серия,"Сериалы, Боевики, Триллеры, Детектив, Азиатские сериалы",Ким Сон-ён,2021,27 января 2022
https://kinobar.vip/25418-odin-obychnyy-den-1-sezon-1-8-seriya.html,Один обычный день 1 сезон 1-8 серия,"Сериалы, Детектив, Криминал, Азиатские сериалы",Ли Мён-у,2021,26 декабря 2021
https://kinobar.vip/24835-doktor-breyn-1-sezon.html,Доктор Брейн 1 сезон 1-6 серия,"Сериалы, Драмы, Триллеры, Фантастика, Детектив, Азиатские сериалы",Ким Джи-ун,2021,10 декабря 2021
https://kinobar.vip/24802-himera-1-sezon.html,Химера 1 сезон,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ким До-хун,2021,22 октября 2021
https://kinobar.vip/24709-ohotnik-za-dezertirami-1-sezon-1-6-seriya.html,Охотник за дезертирами 1 сезон 1-6 серия,"Комедии, Сериалы, Драмы, Детектив, Азиатские сериалы",Хан Джун-хи,2021,11 октября 2021
https://kinobar.vip/24675-frik-1-sezon-1-16-seriya.html,Фрик 1 сезон 1-16 серия,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Щим На-ён,2021,9 октября 2021
https://kinobar.vip/24634-krutaya-nedvizhimost-1-sezon-1-16-seriya.html,Крутая недвижимость 1 сезон 1-16 серия,"Сериалы, Фэнтези, Детектив, Азиатские сериалы",Пак Чин-сок,2021,3 октября 2021
https://kinobar.vip/24521-shkola-prava-1-sezon-1-16-seriya.html,Школа права 1 сезон 1-16 серия,"Сериалы, Драмы, Детектив, Азиатские сериалы",Ким Сог-юн,2021,26 сентября 2021
https://kinobar.vip/24504-mysh-1-sezon.html,Мышь 1 сезон,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы","Кан Чхор-у, Чхве Джун-бэ",2021,25 сентября 2021
https://kinobar.vip/22552-uroboros-vse-serii-po-poryadku.html,Уроборос (все серии по порядку),"Сериалы, Драмы, Боевики, Детектив, Криминал, Азиатские сериалы","Исии Ясухару, Даисукэ Ямамуро, Кацухико Икэда",2015,6 декабря 2020
https://kinobar.vip/22521-sto-millionov-zvezd-s-neba-vse-serii-po-poryadku.html,Сто миллионов звёзд с неба (все серии по порядку),"Сериалы, Мелодрамы, Детектив, Азиатские сериалы",Ю Джэ-вон,2018,4 декабря 2020
https://kinobar.vip/22340-cvetok-zla-vse-serii-po-poryadku-v1.html,Цветок зла (все серии по порядку),"Сериалы, Мелодрамы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ким Чхоль-гю,2020,12 ноября 2020
https://kinobar.vip/22287-365-god-pobedy-nad-sudboy-vse-serii-po-poryadku-v1.html,365: Год победы над судьбой (все серии по порядку),"Сериалы, Триллеры, Фантастика, Детектив, Азиатские сериалы",Ким Гён-хи,2020,7 ноября 2020
https://kinobar.vip/22250-zombi-detektiv-1-sezon-1-24-seriya-v1.html,Зомби-детектив 1 сезон 1-24 серия,"Комедии, Сериалы, Фэнтези, Детектив, Азиатские сериалы",Щим Джэ-хён,2020,30 октября 2020
https://kinobar.vip/22051-uvazhaemyy-sudya-vse-serii-po-poryadku.html,Уважаемый судья (все серии по порядку),"Сериалы, Драмы, Детектив, Криминал, Азиатские сериалы",Пу Сон-чхоль,2018,12 октября 2020
https://kinobar.vip/21803-schastlivaya-semerka-vse-serii-po-poryadku.html,Счастливая семерка (все серии по порядку),"Сериалы, Драмы, Детектив, Азиатские сериалы","Такэси Нарита, Синсуке Сато, Син Хирано",2012,13 сентября 2020
https://kinobar.vip/21274-tonnel-1-sezon-1-5-seriya.html,"Тоннель 1 сезон 1-15,16 серия","Сериалы, Драмы, Детектив, Криминал, Азиатские сериалы","Ифа Исфансиа, Викаксоно Вишну Легово, Тата Сидхарта",2019,20 июля 2020
https://kinobar.vip/21093-mister-mozg-vse-serii-po-poryadku.html,Мистер Мозг (все серии по порядку),"Комедии, Сериалы, Драмы, Детектив, Азиатские сериалы","Кацуо Фукудзава, Юитиро Хиракава, Даисукэ Ямамуро",2009,19 июня 2020
https://kinobar.vip/20813-kaptoni-vse-serii-po-poryadku-v2.html,Каптони (все серии по порядку),"Сериалы, Драмы, Триллеры, Детектив, Криминал, Азиатские сериалы","Чо Су-вон, Щин Ён-хви",2014,18 мая 2020
https://kinobar.vip/20633-vampir-prokuror-vse-serii-po-poryadku-v2.html,Вампир-прокурор (все серии по порядку),"Сериалы, Фэнтези, Детектив, Криминал, Азиатские сериалы","Ким Бён-су, Ю Сон-дон",2011,5 мая 2020
https://kinobar.vip/20682-igra-v-zhertvu-1-sezon-1-8-seriya.html,Игра в жертву 1 сезон 1-8 серия,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы","Дэвид Чуан, Аллен Чэнь",2020,2 мая 2020
https://kinobar.vip/20576-neznakomec-vse-serii-po-poryadku.html,Незнакомец (все серии по порядку),"Сериалы, Драмы, Детектив, Криминал, Азиатские сериалы","Ан Гиль-хо, Пак Хён-сок",2017,28 апреля 2020
https://kinobar.vip/20318-dar-nebes-14-dney-vse-serii-po-poryadku-v2.html,Дар небес: 14 дней (все серии по порядку),"Сериалы, Триллеры, Фэнтези, Детектив, Криминал, Азиатские сериалы",Ли Дон-хун,2014,5 апреля 2020
https://kinobar.vip/20258-vspylchivyy-svyaschennik-vse-serii-po-poryadku-v1.html,Вспыльчивый священник (все серии по порядку),"Комедии, Сериалы, Детектив, Криминал, Азиатские сериалы",Ли Мён-у,2019,28 марта 2020
https://kinobar.vip/20244-skazhi-chto-ty-videla-1-sezon-1-14-seriya-v1.html,"Скажи, что ты видела 1 сезон 1-14 серия","Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ли Джун-хён,2020,20 марта 2020
https://kinobar.vip/20125-dyavol-vse-serii-po-poryadku-v1.html,Дьявол (все серии по порядку),"Сериалы, Драмы, Триллеры, Детектив, Азиатские сериалы",Арата Като,2008,17 марта 2020
https://kinobar.vip/19975-gost-vse-serii-po-poryadku-v1.html,Гость (все серии по порядку),"Сериалы, Триллеры, Ужасы, Детектив, Азиатские сериалы",Ким Хон-сон,2018,26 февраля 2020
https://kinobar.vip/19927-tonnel-vse-serii-po-poryadku-v1.html,Тоннель (все серии по порядку),"Сериалы, Драмы, Триллеры, Фантастика, Детектив, Азиатские сериалы","Нам Ги-хун,Щин Ён-хви",2017,18 февраля 2020
https://kinobar.vip/19908-krasnaya-luna-sinee-solnce-vse-serii-po-poryadku-v1.html,"Красная луна, синее солнце (все серии по порядку)","Сериалы, Драмы, Детектив, Азиатские сериалы",Чхве Джон-гю,2018,17 февраля 2020
https://kinobar.vip/19630-zhizn-na-marse-vse-serii-po-poryadku-v1.html,Жизнь на Марсе (все серии по порядку),"Сериалы, Триллеры, Фантастика, Детектив, Криминал, Азиатские сериалы",Ли Джон-хё,2018,15 января 2020
