link,name,genre,director,year,appearance
https://kinobar.vip/25028-beguschiy-po-lezviyu-chernyy-lotos-1-sezon-12-seriya.html,Бегущий по лезвию: Чёрный лотос 1 сезон 1-12 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Детектив, Аниме","Синдзи Арамаки, Кэндзи Камияма",2021,30 января 2022
https://kinobar.vip/25050-proza-brodyachih-psov-vse-serii-po-poryadku.html,Проза бродячих псов (все серии по порядку),"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Детектив, Аниме",Такуя Игараси,2016,18 ноября 2021
https://kinobar.vip/24993-eho-terrora-1-sezon-1-11-seriya.html,Эхо террора 1 сезон 1-11 серия,"Сериалы, Драмы, Триллеры, Мультфильмы, Детектив, Криминал, Аниме","Синъитиро Ватанабэ, Аои Саё, Юдзуру Татикава",2014,11 ноября 2021
https://kinobar.vip/24909-dom-teney-1-sezon-1-13-seriya.html,Дом теней 1 сезон 1-13 серия,"Сериалы, Мультфильмы, Фэнтези, Детектив, Аниме",Кадзуки Охаси,2021,31 октября 2021
https://kinobar.vip/24770-chudovischnye-proisshestviya-1-sezon-1-12-seriya.html,Чудовищные происшествия 1 сезон 1-12 серия,"Сериалы, Боевики, Мультфильмы, Фэнтези, Детектив, Аниме",Масая Фудзимори,2021,18 октября 2021
https://kinobar.vip/24539-agent-vremeni-1-sezon-1-12-seriya.html,Агент времени 1 сезон,"Сериалы, Мультфильмы, Фантастика, Детектив, Аниме",Ли Хаолин,2021,28 сентября 2021
https://kinobar.vip/24465-neobychnoe-taksi-1-sezon-1-13-seriya.html,Необычное такси 1 сезон 1-13 серия,"Сериалы, Мультфильмы, Детектив, Криминал, Аниме",Баку Киносита,2021,21 сентября 2021
https://kinobar.vip/22022-prizrak-v-dospehah-sindrom-odinochki-delo-o-smeyuschemsya-cheloveke.html,Призрак в доспехах: Синдром одиночки — Дело о,"Боевики, Мультфильмы, Фантастика, Детектив, Криминал, Аниме",Кэндзи Камияма,2005,8 октября 2020
https://kinobar.vip/22023-prizrak-v-dospehah-sindrom-odinochki-odinnadcat-individualistov.html,Призрак в доспехах: Синдром одиночки —,"Боевики, Мультфильмы, Фантастика, Детектив, Криминал, Аниме",Кэндзи Камияма,2006,8 октября 2020
https://kinobar.vip/21855-obeschannyy-neverlend-vse-serii-po-poryadku.html,Обещанный Неверленд (все серии по порядку),"Сериалы, Мультфильмы, Фантастика, Ужасы, Детектив, Аниме",Мамору Канбэ,2019,22 сентября 2020
https://kinobar.vip/21291-master-musi-vse-serii-po-poryadku-v1.html,Мастер Муси (все серии по порядку),"Сериалы, Драмы, Триллеры, Мультфильмы, Фэнтези, Ужасы, Детектив, Аниме","Хироси Нагахама, Ichigo Sugawara",2005,14 июля 2020
https://kinobar.vip/18994-paprika-v2.html,Паприка,"Мультфильмы, Фантастика, Детектив, Аниме",Сатоси Кон,2006,20 октября 2019
https://kinobar.vip/17489-granica-pustoty-sad-greshnikov-epilog-v2.html,Граница пустоты: Сад грешников – эпилог,"Мультфильмы, Фэнтези, Детектив, Аниме",Хикару Кондо,2011,9 апреля 2019
https://kinobar.vip/15948-brodyachie-psy-mertvoe-yabloko-v2.html,Проза бродячих псов. Фильм,"Комедии, Боевики, Мультфильмы, Фэнтези, Детектив, Аниме, Фильмы 2018",Такуя Игараси,2018,5 ноября 2018
https://kinobar.vip/15265-yayco-angela-v2.html,Яйцо ангела,"Драмы, Мультфильмы, Фантастика, Фэнтези, Ужасы, Детектив, Аниме",Мамору Осии,1985,19 апреля 2018
