link,name,genre,director,year,appearance
https://kinobar.vip/24888-valdo.html,Вальдо,"Фильмы 2021, Боевики, Триллеры, Детектив, Новинки кино",Тим Киркби,2021,28 января 2022
https://kinobar.vip/24705-do-samoy-smerti.html,К югу от рая,"Фильмы 2021, Драмы, Боевики, Триллеры, Ужасы, Детектив, Криминал, Новинки кино",Ахарон Кешалес,2021,28 января 2022
https://kinobar.vip/25728-dyavolik.html,Дьяволик,"Фильмы 2021, Боевики, Триллеры, Детектив, Криминал, Скоро в кино","Антонио Манетти, Марко Манетти",2021,3 февраля 2022
https://kinobar.vip/24033-fbr-4-sezon.html,ФБР 4 сезон 1-12 серия,"Сериалы, Боевики, Триллеры, Детектив, Криминал","Алекс Чаппл, Жан Де Сегонзак, Стивен Серджик",2021,2 февраля 2022
https://kinobar.vip/24265-fbr-samye-razyskivaemye-prestupniki-3-sezon.html,ФБР: Самые разыскиваемые преступники 3 сезон 1-12,"Сериалы, Драмы, Боевики, Триллеры, Детектив, Криминал","Кен Джиротти, Джим МакКэй, Фред Бернер",2021,2 февраля 2022
https://kinobar.vip/25703-belaya-mgla.html,Белая мгла,"Боевики, Триллеры, Детектив, Криминал",Доминик Сена,2009,31 января 2022
https://kinobar.vip/25028-beguschiy-po-lezviyu-chernyy-lotos-1-sezon-12-seriya.html,Бегущий по лезвию: Чёрный лотос 1 сезон 1-12 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Детектив, Аниме","Синдзи Арамаки, Кэндзи Камияма",2021,30 января 2022
https://kinobar.vip/21649-bumazhnyy-dom-5-sezon-v2.html,Бумажный дом 5 сезон 1-10 серия,"Сериалы, Боевики, Триллеры, Детектив, Криминал","Хесус Кольменар, Алекс Родриго, Кольдо Серра",2021,29 января 2022
https://kinobar.vip/25668-chernoe-solnce-1-sezon-1-12-seriya.html,Чёрное солнце 1 сезон 1-12 серия,"Сериалы, Боевики, Триллеры, Детектив, Азиатские сериалы",Ким Сон-ён,2021,27 января 2022
https://kinobar.vip/24232-morskaya-policiya-specotdel-19-sezon.html,Морская полиция: Спецотдел 19 сезон 1-12 серия,"Сериалы, Драмы, Боевики, Триллеры, Детектив, Криминал","Дэннис Смит, Тони Уормби, Терренс О'Хара",2021,25 января 2022
https://kinobar.vip/25594-uskolzayuschiy-chelovek.html,Ускользающий человек,"Боевики, Фантастика, Детектив, Фильмы 2020",Юн Джэ-гын,2020,19 января 2022
https://kinobar.vip/24271-uravnitel-2-sezon.html,Уравнитель 2 сезон 1-9 серия,"Сериалы, Боевики, Триллеры, Детектив, Криминал","Лиз Фридлендер, Рэндолл Зиск, Лаура Белси",2021,10 января 2022
https://kinobar.vip/24294-obitel-zla-rakkun-siti.html,Обитель зла: Раккун Сити,"Фильмы 2021, Боевики, Фантастика, Ужасы, Детектив, Новинки кино",Йоханнес Робертс,2021,10 января 2022
https://kinobar.vip/24039-sokolinyy-glaz-1-sezon.html,Соколиный Глаз 1 сезон 1-6 серия,"Сериалы, Драмы, Боевики, Приключения, Фантастика, Детектив, Криминал","Риз Томас, Берт, Кэти Эллвуд",2021,24 декабря 2021
https://kinobar.vip/25378-vedmak-proishozhdenie-1-sezon.html,Ведьмак: Происхождение 1 сезон,"Сериалы, Боевики, Приключения, Фэнтези, Детектив","Сара О'Горман, Вики Джуисон",2022,21 декабря 2021
https://kinobar.vip/25336-glubina.html,Глубина,"Боевики, Триллеры, Ужасы, Детектив",Дэвид Туи,2002,15 декабря 2021
https://kinobar.vip/477-gorod-grehov-v3.html,Город грехов,"Боевики, Триллеры, Детектив, Криминал","Фрэнк Миллер, Роберт Родригес, Квентин Тарантино",2005,11 декабря 2021
https://kinobar.vip/25268-magistral-1-sezon-1-8-seriya.html,Магистраль 1 сезон 1-8 серия,"Сериалы, Боевики, Приключения, Детектив",Александр Калугин,2021,10 декабря 2021
https://kinobar.vip/651-osoboe-mnenie-v2.html,Особое мнение,"Боевики, Триллеры, Фантастика, Детектив",Стивен Спилберг,2002,9 декабря 2021
https://kinobar.vip/25203-angely-2-sezon-1-12-seriya.html,Ангелы 2 сезон 1-16 серия,"Сериалы, Боевики, Детектив, Криминал",Тарас Рыбальченко,2021,9 декабря 2021
https://kinobar.vip/674-pogonya-v2.html,Погоня,"Драмы, Боевики, Триллеры, Детектив",Джон Синглтон,2011,6 декабря 2021
https://kinobar.vip/1826-ya-robot-v2.html,"Я, робот","Боевики, Триллеры, Фантастика, Детектив",Алекс Пройас,2004,5 декабря 2021
https://kinobar.vip/25205-detektiv-nesh-bridzhes-vse-serii-po-poryadku.html,Детектив Нэш Бриджес (все серии по порядку),"Сериалы, Драмы, Боевики, Триллеры, Детектив, Криминал","Джим Чарльстон, Грег Биман, Скотт Бразил",1996,2 декабря 2021
https://kinobar.vip/25066-morskie-dyavoly-dalnie-rubezhi-12-seriya.html,"Морские дьяволы. Дальние рубежи 1,2 серия","Сериалы, Боевики, Приключения, Детектив","Михаил Баркан, Сергей Малюгов",2021,19 ноября 2021
https://kinobar.vip/25050-proza-brodyachih-psov-vse-serii-po-poryadku.html,Проза бродячих псов (все серии по порядку),"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Детектив, Аниме",Такуя Игараси,2016,18 ноября 2021
https://kinobar.vip/24092-rokovoy-patrul-3-sezon.html,Роковой патруль 3 сезон 1-10 серия,"Комедии, Сериалы, Драмы, Боевики, Фантастика, Детектив","Крис Мэнли, Гарри Жиержиан, Дермотт Даунс",2021,12 ноября 2021
https://kinobar.vip/24970-doktor.html,Доктор,"Комедии, Фильмы 2021, Боевики, Триллеры, Детектив, Криминал",Нельсон Дилипкумар,2021,8 ноября 2021
https://kinobar.vip/1251-van-helsing-v3.html,Ван Хельсинг,"Боевики, Приключения, Триллеры, Фэнтези, Детектив, Фильмы про вампиров и оборотней",Стивен Соммерс,2004,2 ноября 2021
https://kinobar.vip/11577-odin-protiv-vseh-1-sezon-12-seriya-v2.html,Один против всех 1-16 серия,"Сериалы, Боевики, Детектив, Криминал","Владимир Виноградов, Михаил Вассербаум",2017,1 ноября 2021
https://kinobar.vip/310-orudiya-smerti-gorod-kostey-v1.html,Орудия смерти: Город костей,"Мелодрамы, Драмы, Боевики, Приключения, Фэнтези, Детектив, Фильмы 2013",Харольд Цварт,2013,25 октября 2021
