link,name,genre,director,year,appearance
https://kinobar.vip/17253-imya-rozy-1-sezon-2-v3.html,Имя розы 1 сезон 1-8 серия,"Сериалы, Драмы, Триллеры, Детектив, История",Джакомо Баттиато,2019,30 ноября 2021
https://kinobar.vip/23475-mur-mur-1-sezon-1-seriya.html,Мур-Мур 1 сезон 1-8 серия,"Сериалы, Драмы, Детектив, История",Илья Казанков,2021,29 апреля 2021
https://kinobar.vip/23032-parizhskaya-policiya-1900-1-sezon-v2.html,Парижская полиция 1900 1 сезон 1-8 серия,"Сериалы, Драмы, Детектив, История, Криминал","Julien Despaux, Фредерик Балекджян, Фабьен Нури",2021,8 февраля 2021
https://kinobar.vip/22303-bos-zhiv-ili-mertv-1-sezon-1-seriya-v1.html,Бос: жив или мёртв 1 сезон 1-9 серия,"Сериалы, Триллеры, Биография, Детектив, История",Пулкит,2017,11 ноября 2020
https://kinobar.vip/22162-francuzskaya-revolyuciya-1-sezon-1-8-seriya.html,Французская революция 1 сезон 1-8 серия,"Сериалы, Драмы, Боевики, Детектив, История","Жереми Розан, Эдуард Салье, Жюльен Трусселье",2020,19 октября 2020
https://kinobar.vip/22025-russkiy-kovcheg.html,Русский ковчег,"Драмы, Фэнтези, Детектив, История, Российское кино",Александр Сокуров,2002,10 октября 2020
https://kinobar.vip/21839-shifr-2-sezon-1-3-seriya-v1.html,Шифр 2 сезон 1-8 серия,"Сериалы, Детектив, История",Вера Сторожева,2020,24 сентября 2020
https://kinobar.vip/21907-agata-i-sysk-2-sezon-1-4-seriya.html,Агата и сыск 2 сезон 1-4 серия,"Сериалы, Детектив, История",Владимир Койфман,2019,24 сентября 2020
https://kinobar.vip/21133-aleks-lyutyy-1-sezon.html,"Алекс Лютый 1 сезон 1-11,12 серия","Сериалы, Детектив, История",Леонид Белозорович,2020,30 июня 2020
https://kinobar.vip/20728-rozhdennaya-revolyuciey-vse-serii-po-poryadku-v2.html,Рожденная революцией (все серии по порядку),"Сериалы, Биография, Детектив, История, Криминал",Григорий Кохан,1974,10 мая 2020
https://kinobar.vip/20765-perevod-s-nemeckogo-1-4-seriya.html,Перевод с немецкого 1-4 серия,"Сериалы, Драмы, Детектив, История","Андрей Мармонтов, Владимир Кильбург",2020,8 мая 2020
https://kinobar.vip/19677-legenda-ferrari-1-sezon-v1.html,Легенда Феррари 1 сезон 1-12 серия,"Сериалы, Детектив, История",Константин Максимов,2020,25 января 2020
https://kinobar.vip/19652-12-y-podozrevaemyy-v2.html,12-й подозреваемый,"Триллеры, Детектив, История, Криминал, Фильмы 2019",Ко Мён-сон,2019,14 января 2020
https://kinobar.vip/19579-delo-envera-simaku-v1.html,Дело Энвера Симаку,"Триллеры, Ужасы, Детектив, История, Фильмы 2018",Marco Lledó Escartín,2018,5 января 2020
https://kinobar.vip/18264-medichi-poveliteli-florencii-3-sezon-v3.html,"Медичи: Повелители Флоренции 3 сезон 1-7,8 серия","Сериалы, Мелодрамы, Драмы, Триллеры, Биография, Детектив, История","Кристиан Дюге,Серджо Мимика-Геззан,Джон Кассар",2019,5 декабря 2019
https://kinobar.vip/18786-agata-i-sysk-koroleva-brilyantov-1-4-seriya-v2.html,Агата и сыск. Королева брильянтов 1-4 серия,"Сериалы, Детектив, История",Владимир Койфман,2019,30 сентября 2019
https://kinobar.vip/14059-krylya-imperii-1-sezon-1-4-seriya-v2.html,Крылья Империи 1 сезон 1-12 серия,"Сериалы, Драмы, Детектив, Военный, История",Игорь Копылов,2017,18 июля 2019
https://kinobar.vip/17513-smersh-1-sezon-hd-4-v5.html,Смерш 1 сезон 1-12 серия,"Сериалы, Драмы, Боевики, Детектив, Военный, История",Олег Фомин,2019,29 апреля 2019
https://kinobar.vip/17210-rostov-1-sezon-v2.html,Ростов 1 сезон 1-16 серия,"Сериалы, Детектив, История",Павел Дроздов,2018,19 апреля 2019
https://kinobar.vip/16858-proekt-zasekrechen-1-sezon-1-seriya-v4.html,Проект засекречен 1 сезон 1-10 серия,"Сериалы, Детектив, История","Роберт Стромберг, Пит Трэвис, Норма Бэйли",2019,13 марта 2019
https://kinobar.vip/15301-gurzuf-1-sezon-v1.html,"Гурзуф 1 сезон 1-7,8 серия","Сериалы, Детектив, История",Дмитрий Константинов,2018,31 мая 2018
https://kinobar.vip/15034-missisipi-v-ogne-v1.html,Миссисипи в огне,"Драмы, Триллеры, Детектив, История, Криминал",Алан Паркер,1988,14 марта 2018
https://kinobar.vip/14629-betmen-gotem-v-gazovom-svete-v2.html,Бэтмен: Готэм в газовом свете,"Боевики, Приключения, Мультфильмы, Фэнтези, Детектив, История, Криминал, Фильмы 2018",Сэм Лью,2018,25 января 2018
