link,name,genre,director,year,appearance
https://kinobar.vip/20088-cyplenok-zharenyy-1-sezon-v1.html,Цыпленок жареный 1 сезон 1-6 серия,"Сериалы, Мелодрамы, Детектив",Елена Николаева,2019,3 февраля 2022
https://kinobar.vip/25543-rasplata-za-grehi.html,Расплата за грехи,"Фильмы 2022, Мелодрамы, Драмы, Триллеры, Детектив, Криминал",Моника Митчелл,2022,26 января 2022
https://kinobar.vip/469-prividenie-v2.html,Привидение,"Мелодрамы, Драмы, Триллеры, Фэнтези, Детектив, ТОП 250 лучших фильмов по версии КиноПоиска",Джерри Цукер,1990,21 января 2022
https://kinobar.vip/25503-ne-obmani-12-seriya.html,"Не обмани 1,2 серия","Фильмы 2021, Мелодрамы, Детектив, Российское кино",Алексей Праздников,2021,10 января 2022
https://kinobar.vip/25386-igry-dlya-detey-starshego-vozrasta-1-sezon-1-8-seriya.html,"Игры для детей старшего возраста 1 сезон 1-15,16","Сериалы, Мелодрамы, Детектив, Криминал",Роман Барабаш,2021,3 января 2022
https://kinobar.vip/24932-chinovnica-1-sezon.html,Чиновница 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Драмы, Детектив",Оксана Карас,2021,17 декабря 2021
https://kinobar.vip/25045-riverdeyl-6-sezon-1-seriya.html,Ривердэйл 6 сезон 1-5 серия,"Сериалы, Мелодрамы, Драмы, Детектив, Криминал","Гэбриел Корреа, Стив Эделсон, Роб Шейденгланц",2021,15 декабря 2021
https://kinobar.vip/25254-shvabra-2-sezon-1-8-seriya.html,Швабра 2 сезон 1-8 серия,"Сериалы, Мелодрамы, Детектив",Тарас Дударь,2021,9 декабря 2021
https://kinobar.vip/25241-berezovaya-roscha-1-4-seriya.html,Берёзовая роща 1-4 серия,"Сериалы, Мелодрамы, Детектив",Кира Ангелина,2021,7 декабря 2021
https://kinobar.vip/916-vanilnoe-nebo-v1.html,Ванильное небо,"Мелодрамы, Триллеры, Фантастика, Детектив, Фильмы про любовь",Кэмерон Кроу,2001,23 ноября 2021
https://kinobar.vip/24857-ubiystvo-v-pomeste-pemberli-1-sezon-1-3-seriya.html,Убийство в поместье Пемберли 1 сезон 1-3 серия,"Сериалы, Мелодрамы, Драмы, Детектив",Дэниэл Персивал,2013,28 октября 2021
https://kinobar.vip/310-orudiya-smerti-gorod-kostey-v1.html,Орудия смерти: Город костей,"Мелодрамы, Драмы, Боевики, Приключения, Фэнтези, Детектив, Фильмы 2013",Харольд Цварт,2013,25 октября 2021
https://kinobar.vip/22439-riverdeyl-5-sezon-v2.html,Ривердэйл 5 сезон 1-19 серия,"Сериалы, Мелодрамы, Драмы, Детектив, Криминал","Гэбриел Корреа, Стив Эделсон, Роб Шейденгланц",2020,7 октября 2021
https://kinobar.vip/393-gattaka-v2.html,Гаттака,"Мелодрамы, Драмы, Фантастика, Детектив, ТОП 250 лучших фильмов по версии КиноПоиска",Эндрю Никкол,1997,6 октября 2021
https://kinobar.vip/23153-vospominanie-v1.html,Воспоминания,"Фильмы 2021, Мелодрамы, Триллеры, Фантастика, Детектив, Новинки кино",Лиза Джой,2021,15 сентября 2021
https://kinobar.vip/23352-podrazhatel-1-sezon.html,Подражатель 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Детектив",Сергей Комаров,2020,21 июня 2021
https://kinobar.vip/21994-million-melochey-3-sezon-v4.html,"Миллион мелочей 3 сезон 1-17,18 серия","Комедии, Сериалы, Мелодрамы, Драмы, Детектив","Джеймс Гриффитс, Нина Лопес-Коррадо, Ричард Дж. Льюис",2020,11 июня 2021
https://kinobar.vip/91-tihaya-gavan-v2.html,Тихая гавань,"Мелодрамы, Драмы, Триллеры, Детектив, Фильмы 2013, Фильмы про любовь",Лассе Халльстрём,2013,31 мая 2021
https://kinobar.vip/23606-spasti-veru-1-sezon-1-6-seriya.html,"Спасти Веру 1 сезон 1-15,16 серия","Сериалы, Мелодрамы, Детектив",Александр Итыгилов,2021,30 мая 2021
https://kinobar.vip/23539-pyat-minut-tishiny-3-sezon-1-12-seriya.html,Пять минут тишины 3 сезон 1-12 серия,"Сериалы, Мелодрамы, Приключения, Детектив",Игорь Драка,2021,7 мая 2021
https://kinobar.vip/23342-shvabra-1-sezon.html,Швабра 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Детектив",Тарас Дударь,2019,2 мая 2021
https://kinobar.vip/23496-svadebnye-hlopoty-1-4-seriya.html,Свадебные хлопоты 1-4 серия,"Сериалы, Мелодрамы, Детектив",Мария Маханько,2021,27 апреля 2021
https://kinobar.vip/23414-konec-nevinnosti-1-4-seriya.html,Конец невинности 1-16 серия,"Сериалы, Мелодрамы, Детектив",Стас Иванов,2021,22 апреля 2021
https://kinobar.vip/23453-missiya-vypolnima.html,Миссия выполнима,"Комедии, Фильмы 2021, Мелодрамы, Боевики, Детектив",Ким Хён-джу,2021,20 апреля 2021
https://kinobar.vip/23427-bez-tebya-1-8-seriya.html,Без тебя 1-16 серия,"Сериалы, Мелодрамы, Детектив, Криминал",Александр Мохов,2021,16 апреля 2021
https://kinobar.vip/23368-gadalka-1-4-seriya.html,"Гадалка 1-15,16 серия","Сериалы, Мелодрамы, Детектив",Олег Зборовский,2021,9 апреля 2021
https://kinobar.vip/22362-anna-detektiv-2-sezon-1-8-seriya-v2.html,Анна-детективъ 2 сезон 1-40 серия,"Сериалы, Мелодрамы, Детектив","Феликс Герчиков, Евгений Семенов, Сергей Мезенцев",2020,6 апреля 2021
https://kinobar.vip/23225-nezakrytaya-mishen-1-7-seriya.html,Незакрытая мишень 1-24 серия,"Сериалы, Мелодрамы, Детектив, Криминал","Сергей Борчуков, Заза Буадзе",2021,21 марта 2021
https://kinobar.vip/23137-poteryannye-1-sezon-v1.html,"Потерянные 1 сезон 1-15,16 серия","Сериалы, Мелодрамы, Детектив",Иван Глубоков,2020,6 марта 2021
https://kinobar.vip/23178-kurort-cveta-haki-1-3-seriya-v1.html,Курорт цвета хаки 1-8 серия,"Сериалы, Мелодрамы, Детектив",Александр Карпиловский,2021,4 марта 2021
https://kinobar.vip/23201-neprekrasnaya-ledi-1-4-seriya-v1.html,Непрекрасная леди 1-4 серия,"Сериалы, Мелодрамы, Детектив",Алексей Гусев,2020,3 марта 2021
https://kinobar.vip/23118-formula-schastya-1-4-seriya-v1.html,Формула счастья 1-4 серия,"Сериалы, Мелодрамы, Детектив",Александр Итыгилов,2020,18 февраля 2021
https://kinobar.vip/23058-zakaty-i-rassvety-1-4-seriya-v1.html,Закаты и рассветы 1-4 серия,"Сериалы, Мелодрамы, Детектив",Руслан Паушу,2020,11 февраля 2021
https://kinobar.vip/21792-rebekka-v1.html,Ребекка,"Мелодрамы, Драмы, Триллеры, Детектив, Новинки кино, Фильмы 2020",Бен Уитли,2020,11 февраля 2021
https://kinobar.vip/23055-obyavlen-mertvym-1-4-seriya-v1.html,Объявлен мертвым 1-4 серия,"Сериалы, Мелодрамы, Триллеры, Детектив",Павел Тупик,2021,10 февраля 2021
https://kinobar.vip/23048-mertvye-lilii-1-sezon-1-8-seriya-v2.html,Мертвые лилии 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Детектив",Павел Тупик,2021,8 февраля 2021
