link,name,genre,director,year,appearance
https://kinobar.vip/1281-garri-potter-i-orden-feniksa-v2.html,Гарри Поттер и Орден Феникса,"Приключения, Семейный, Фэнтези, Детектив, Фильмы про подростков",Дэвид Йэтс,2007,8 января 2022
https://kinobar.vip/24039-sokolinyy-glaz-1-sezon.html,Соколиный Глаз 1 сезон 1-6 серия,"Сериалы, Драмы, Боевики, Приключения, Фантастика, Детектив, Криминал","Риз Томас, Берт, Кэти Эллвуд",2021,24 декабря 2021
https://kinobar.vip/24083-ostrov-fantaziy-1-sezon-1-seriya.html,"Остров фантазий 1 сезон 1-9,10 серия","Сериалы, Драмы, Приключения, Фэнтези, Детектив",Адам Кэйн,2021,24 декабря 2021
https://kinobar.vip/25378-vedmak-proishozhdenie-1-sezon.html,Ведьмак: Происхождение 1 сезон,"Сериалы, Боевики, Приключения, Фэнтези, Детектив","Сара О'Горман, Вики Джуисон",2022,21 декабря 2021
https://kinobar.vip/24258-nasledie-4-sezon.html,Наследие 4 сезон 1-9 серия,"Сериалы, Драмы, Приключения, Фэнтези, Ужасы, Детектив","Джеффри Дж. Хант, Джеффри Уинг Шотц, Майкл А. Алловиц",2021,17 декабря 2021
https://kinobar.vip/25268-magistral-1-sezon-1-8-seriya.html,Магистраль 1 сезон 1-8 серия,"Сериалы, Боевики, Приключения, Детектив",Александр Калугин,2021,10 декабря 2021
https://kinobar.vip/24599-zateryannye-v-kosmose-3-sezon.html,Затерянные в космосе 3 сезон 1-8 серия,"Сериалы, Драмы, Приключения, Фантастика, Семейный, Детектив","Тим Соутэм, Стивен Серджик, Лесли Хоуп",2021,3 декабря 2021
https://kinobar.vip/24564-la-breya-1-sezon-1-seriya.html,Ла-Брея 1 сезон 1-10 серия,"Сериалы, Драмы, Приключения, Триллеры, Фантастика, Фэнтези, Детектив",Тор Фройденталь,2021,1 декабря 2021
https://kinobar.vip/25066-morskie-dyavoly-dalnie-rubezhi-12-seriya.html,"Морские дьяволы. Дальние рубежи 1,2 серия","Сериалы, Боевики, Приключения, Детектив","Михаил Баркан, Сергей Малюгов",2021,19 ноября 2021
https://kinobar.vip/25050-proza-brodyachih-psov-vse-serii-po-poryadku.html,Проза бродячих псов (все серии по порядку),"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Детектив, Аниме",Такуя Игараси,2016,18 ноября 2021
https://kinobar.vip/1251-van-helsing-v3.html,Ван Хельсинг,"Боевики, Приключения, Триллеры, Фэнтези, Детектив, Фильмы про вампиров и оборотней",Стивен Соммерс,2004,2 ноября 2021
https://kinobar.vip/310-orudiya-smerti-gorod-kostey-v1.html,Орудия смерти: Город костей,"Мелодрамы, Драмы, Боевики, Приключения, Фэнтези, Детектив, Фильмы 2013",Харольд Цварт,2013,25 октября 2021
https://kinobar.vip/5372-legavyy-2-sezon-v1.html,"Легавый 1,2 сезон 32 серия","Сериалы, Приключения, Детектив",Олег Фомин,2014,21 октября 2021
https://kinobar.vip/24747-posledniy-chelovek-1-sezon-1-26-seriya.html,Последний человек 1 сезон 1-26 серия,"Сериалы, Боевики, Приключения, Мультфильмы, Детектив, Спорт",Жереми Перен,2016,16 октября 2021
https://kinobar.vip/24741-inaya-zhizn-2-sezon-1-10-seriya.html,Иная жизнь 2 сезон 1-10 серия,"Сериалы, Драмы, Приключения, Триллеры, Фантастика, Детектив","Майрзи Алмас, Аллан Аркуш, Шери Фоксон",2021,16 октября 2021
https://kinobar.vip/24717-mumiya-vse-serii-po-poryadku.html,Мумия (все серии по порядку),"Сериалы, Боевики, Приключения, Триллеры, Мультфильмы, Фэнтези, Ужасы, Детектив","Эдди Хочинс, Дик Сэбаст",2001,13 октября 2021
https://kinobar.vip/24374-skubi-du-i-truslivyy-hrabrec.html,Скуби-Ду и трусливый Храбрец,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Ужасы, Детектив",Сесилия Аранович,2021,13 сентября 2021
https://kinobar.vip/977-zhutko-gromko-i-zapredelno-blizko-v2.html,Жутко громко и запредельно близко,"Драмы, Приключения, Детектив",Стивен Долдри,2011,11 сентября 2021
https://kinobar.vip/1358-2001-god-kosmicheskaya-odisseya-v2.html,2001 год: Космическая одиссея,"Приключения, Фантастика, Детектив, Фильмы про космос",Стэнли Кубрик,1968,3 сентября 2021
https://kinobar.vip/23731-vneshnie-otmeli-2-sezon.html,Внешние отмели 2 сезон 1-10 серия,"Сериалы, Драмы, Приключения, Детектив","Джонас Пейт, Чери Ноулан, Валери Уайсс",2021,30 июля 2021
https://kinobar.vip/23686-taynoe-obschestvo-mistera-benedikta-1-sezon.html,Тайное общество мистера Бенедикта 1 сезон 1-4,"Комедии, Сериалы, Приключения, Семейный, Детектив","Джеймс Бобин, Шеннон Коли",2021,11 июля 2021
https://kinobar.vip/22598-nasledie-3-sezon-v1.html,Наследие 3 сезон 1-16 серия,"Сериалы, Драмы, Приключения, Фэнтези, Ужасы, Детектив","Майк Карасик, Джеффри Уинг Шотц, Джеффри Дж. Хант",2021,25 июня 2021
https://kinobar.vip/23727-tyanczinskie-skazaniya-kukla-smerti.html,Тяньцзиньские сказания: кукла смерти,"Фильмы 2021, Приключения, Триллеры, Фэнтези, Детектив",Гу Шицзюнь,2021,12 июня 2021
https://kinobar.vip/20970-mayor-grom-chumnoy-doktor-v2.html,Майор Гром: Чумной Доктор,"Фильмы 2021, Боевики, Приключения, Детектив, Криминал, Новинки кино, Российское кино",Олег Трофим,2021,13 мая 2021
https://kinobar.vip/23539-pyat-minut-tishiny-3-sezon-1-12-seriya.html,Пять минут тишины 3 сезон 1-12 серия,"Сериалы, Мелодрамы, Приключения, Детектив",Игорь Драка,2021,7 мая 2021
https://kinobar.vip/22438-novyy-agent-makgayver-5-sezon-v4.html,Новый агент МакГайвер 5 сезон 1-15 серия,"Сериалы, Драмы, Боевики, Приключения, Детектив","Стивен Херек, Эгил Эгилссон, Карлос Бернард",2020,1 мая 2021
https://kinobar.vip/23437-skazanie-ob-ohotnike.html,Сказание об охотнике,"Фильмы 2021, Приключения, Ужасы, Детектив",Лю Сюаньди,2021,13 апреля 2021
https://kinobar.vip/22913-boishsya-li-ty-temnoty-2-sezon-v1.html,Боишься ли ты темноты? 2 сезон 1-6 серия,"Сериалы, Приключения, Триллеры, Семейный, Фэнтези, Ужасы, Детектив",Дин Израэлайт,2021,20 марта 2021
https://kinobar.vip/20431-utinye-istorii-3-sezon-1-2-seriya-v5.html,Утиные истории 3 сезон 1-22 серия,"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Фэнтези, Детектив","Мэттью Хэмфрис, Тэннер Джонсон, Джейсон Зурек",2020,20 марта 2021
https://kinobar.vip/23143-skubi-du-pri-dvore-korolya-artura-v1.html,Скуби-Ду при дворе короля Артура,"Комедии, Фильмы 2021, Боевики, Приключения, Мультфильмы, Семейный, Фэнтези, Детектив","Максвелл Атомс, Кристина Сотта, Мельхиор Цвиер",2021,21 февраля 2021
