link,name,genre,director,year,appearance
https://kinobar.vip/25503-ne-obmani-12-seriya.html,"Не обмани 1,2 серия","Фильмы 2021, Мелодрамы, Детектив, Российское кино",Алексей Праздников,2021,10 января 2022
https://kinobar.vip/25437-ubiystvo-v-gnezde-fazana.html,Убийство в «Гнезде фазана»,"Комедии, Фильмы 2021, Детектив, Криминал, Российское кино",Алексей Смирнов,2021,30 декабря 2021
https://kinobar.vip/25292-taezhnyy-detektiv-12-seriya.html,"Таежный детектив 1,2 серия","Фильмы 2021, Сериалы, Детектив, Российское кино",Валентин Донсков,2021,12 декабря 2021
https://kinobar.vip/24944-yaponskiy-bog.html,Японский Бог,"Драмы, Детектив, Криминал, Российское кино, Фильмы 2019",Александр Басов,2019,5 ноября 2021
https://kinobar.vip/24796-poslednyaya-milaya-bolgariya.html,Последняя «Милая Болгария»,"Фильмы 2021, Детектив, Российское кино",Алексей Федорченко,2021,21 октября 2021
https://kinobar.vip/24767-memorio.html,MEMORIO,"Триллеры, Детектив, Российское кино, Фильмы 2019",Вадим Гордт,2019,17 октября 2021
https://kinobar.vip/24336-shifr-3-sezon-1-4-seriya.html,"Шифр 3 сезон 1-7,8 серия","Сериалы, Детектив, Российское кино, Фильмы 2018",Вера Сторожева,2021,9 сентября 2021
https://kinobar.vip/20970-mayor-grom-chumnoy-doktor-v2.html,Майор Гром: Чумной Доктор,"Фильмы 2021, Боевики, Приключения, Детектив, Криминал, Новинки кино, Российское кино",Олег Трофим,2021,13 мая 2021
https://kinobar.vip/22357-posle-chernobylya.html,После Чернобыля,"Фильмы 2021, Триллеры, Ужасы, Детектив, Новинки кино, Российское кино","Игорь Кинько, Максим Литвинов, Данил Алексеев",2021,30 апреля 2021
https://kinobar.vip/22527-progulka-po-eshafotu.html,Прогулка по эшафоту,"Триллеры, Фэнтези, Ужасы, Детектив, Российское кино",Исаак Фридберг,1992,4 декабря 2020
https://kinobar.vip/12152-tri-dnya-do-vesny-v1.html,Три дня до весны,"Детектив, Военный, Российское кино, Фильмы 2017, Фильмы про войну",Александр Касаткин,2017,26 ноября 2020
https://kinobar.vip/22025-russkiy-kovcheg.html,Русский ковчег,"Драмы, Фэнтези, Детектив, История, Российское кино",Александр Сокуров,2002,10 октября 2020
https://kinobar.vip/20157-ten-zvezdy-v3.html,Тень звезды,"Мелодрамы, Драмы, Мюзикл, Детектив, Новинки кино, Российское кино, Фильмы 2020",Дмитрий Губарев,2020,25 сентября 2020
https://kinobar.vip/20584-svoi-2-sezon-v3.html,Свои 2 сезон 1-45 серия,"Сериалы, Детектив, Российское кино",Михаил Колпахчиев,2020,21 августа 2020
https://kinobar.vip/21445-kapitan-gollivud-v1.html,Капитан Голливуд,"Драмы, Детектив, Российское кино, Фильмы 2019",Евгений Татаров,2019,3 августа 2020
https://kinobar.vip/21351-koldovskoe-ozero.html,Колдовское озеро,"Мелодрамы, Детектив, Российское кино, Фильмы 2018",Владимир Янковский,2018,28 июля 2020
https://kinobar.vip/21052-gadkie-lebedi.html,Гадкие лебеди,"Драмы, Фантастика, Детектив, Российское кино",Константин Лопушанский,2006,16 июня 2020
https://kinobar.vip/20448-shugaley-v5.html,Шугалей,"Приключения, Детектив, Новинки кино, Российское кино, Фильмы 2020",Денис Нейманд,2020,10 мая 2020
https://kinobar.vip/20373-rikoshet-1-sezon-v7.html,"Рикошет 1 сезон 1-15,16 серия","Сериалы, Боевики, Триллеры, Детектив, Криминал, Российское кино","Денис Карышев, Вячеслав Кириллов",2019,18 апреля 2020
https://kinobar.vip/20311-nichya-zemlya-1-sezon-v1.html,Ничья земля 1 сезон,"Сериалы, Драмы, Триллеры, Детектив, Российское кино",Андрей Либенсон,2019,25 марта 2020
https://kinobar.vip/19760-shpion-v1.html,Шпион,"Приключения, Триллеры, Детектив, Российское кино",Алексей Андрианов,2012,29 января 2020
https://kinobar.vip/18164-devyataya-v4.html,Девятая,"Приключения, Триллеры, Ужасы, Детектив, Новинки кино, Российское кино, Фильмы 2019",Николай Хомерики,2019,8 января 2020
https://kinobar.vip/19387-poslednyaya-skazka-rity-v7.html,Последняя сказка Риты,"Драмы, Фэнтези, Детектив, Российское кино",Рената Литвинова,2012,16 декабря 2019
https://kinobar.vip/15821-vyshe-neba-2-v2.html,Выше неба,"Мелодрамы, Драмы, Детектив, Российское кино, Фильмы 2018",Оксана Карас,2018,15 августа 2019
https://kinobar.vip/17142-poteryannyy-ostrov-v2.html,Потерянный остров,"Драмы, Триллеры, Детектив, Российское кино, Фильмы 2019",Денис Силяков,2019,6 мая 2019
https://kinobar.vip/17062-passazhir-iz-san-francisko-v2.html,Пассажир из Сан-Франциско,"Драмы, Детектив, Российское кино, Фильмы 2017",Анатолий Бальчев,2017,8 февраля 2019
https://kinobar.vip/15589-gogol-strashnaya-mest-v1.html,Гоголь. Страшная месть,"Приключения, Триллеры, Детектив, Новинки кино, Российское кино, Фильмы 2018",Егор Баранов,2018,19 октября 2018
https://kinobar.vip/11848-proschatsya-ne-budem-v1.html,Прощаться не будем,"Драмы, Детектив, Военный, Новинки кино, Российское кино, Фильмы 2018",Павел Дроздов,2018,30 июля 2018
https://kinobar.vip/15678-znakomstvo-12-seriya-v3.html,"Знакомство 1,2 серия","Сериалы, Триллеры, Детектив, Российское кино",Илья Максимов,2017,13 июня 2018
https://kinobar.vip/14131-gogol-viy-v1.html,Гоголь. Вий,"Драмы, Приключения, Детектив, Новинки кино, Российское кино, Фильмы 2018",Егор Баранов,2018,26 мая 2018
