link,name,genre,director,year,appearance
https://kinobar.vip/1281-garri-potter-i-orden-feniksa-v2.html,Гарри Поттер и Орден Феникса,"Приключения, Семейный, Фэнтези, Детектив, Фильмы про подростков",Дэвид Йэтс,2007,8 января 2022
https://kinobar.vip/24599-zateryannye-v-kosmose-3-sezon.html,Затерянные в космосе 3 сезон 1-8 серия,"Сериалы, Драмы, Приключения, Фантастика, Семейный, Детектив","Тим Соутэм, Стивен Серджик, Лесли Хоуп",2021,3 декабря 2021
https://kinobar.vip/2070-dom-monstr-v1.html,Дом-монстр,"Комедии, Мультфильмы, Семейный, Фэнтези, Детектив",Гил Кинан,2006,24 октября 2021
https://kinobar.vip/24374-skubi-du-i-truslivyy-hrabrec.html,Скуби-Ду и трусливый Храбрец,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Ужасы, Детектив",Сесилия Аранович,2021,13 сентября 2021
https://kinobar.vip/23686-taynoe-obschestvo-mistera-benedikta-1-sezon.html,Тайное общество мистера Бенедикта 1 сезон 1-4,"Комедии, Сериалы, Приключения, Семейный, Детектив","Джеймс Бобин, Шеннон Коли",2021,11 июля 2021
https://kinobar.vip/22913-boishsya-li-ty-temnoty-2-sezon-v1.html,Боишься ли ты темноты? 2 сезон 1-6 серия,"Сериалы, Приключения, Триллеры, Семейный, Фэнтези, Ужасы, Детектив",Дин Израэлайт,2021,20 марта 2021
https://kinobar.vip/20431-utinye-istorii-3-sezon-1-2-seriya-v5.html,Утиные истории 3 сезон 1-22 серия,"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Фэнтези, Детектив","Мэттью Хэмфрис, Тэннер Джонсон, Джейсон Зурек",2020,20 марта 2021
https://kinobar.vip/23143-skubi-du-pri-dvore-korolya-artura-v1.html,Скуби-Ду при дворе короля Артура,"Комедии, Фильмы 2021, Боевики, Приключения, Мультфильмы, Семейный, Фэнтези, Детектив","Максвелл Атомс, Кристина Сотта, Мельхиор Цвиер",2021,21 февраля 2021
https://kinobar.vip/22893-karmen-sandiego-4-sezon-1-8-seriya-v1.html,Кармен Сандиего 4 сезон 1-8 серия,"Сериалы, Боевики, Приключения, Мультфильмы, Семейный, Детектив","Йос Хамфри, Кенни Парк, Mike West",2021,18 января 2021
https://kinobar.vip/2627-garri-potter-12345678-vse-chasti-po-poryadku-v2.html,"Гарри Поттер 1,2,3,4,5,6,7,8 (все части по","Приключения, Семейный, Фэнтези, Детектив",Дэвид Йэтс,2011,23 декабря 2020
https://kinobar.vip/22514-bratya-hardi-1-sezon.html,Братья Харди 1 сезон 1-13 серия,"Сериалы, Драмы, Семейный, Детектив","Джейсон Стоун, Мелани Орр, Джефф Ренфро",2020,5 декабря 2020
https://kinobar.vip/21520-vedmy-v8.html,Ведьмы,"Комедии, Приключения, Семейный, Фэнтези, Детектив, Новинки кино, Фильмы 2020",Роберт Земекис,2020,10 ноября 2020
https://kinobar.vip/22177-tainstvennyy-ostrov-proch.html,Таинственный остров / Прочь,"Приключения, Мультфильмы, Семейный, Фэнтези, Детектив, Фильмы 2019",Гинтс Зильбалодис,2019,21 октября 2020
https://kinobar.vip/22012-karmen-sandiego-3-sezon-1-5-seriya.html,Кармен Сандиего 3 сезон 1-5 серия,"Сериалы, Боевики, Приключения, Мультфильмы, Семейный, Детектив","Йос Хамфри, Кенни Парк, Кевин Дарт",2020,2 октября 2020
https://kinobar.vip/19166-skubi-du-v7.html,Скуби-ду,"Комедии, Приключения, Мультфильмы, Семейный, Ужасы, Детектив, Новинки кино, Фильмы 2020",Тони Червоне,2020,11 сентября 2020
https://kinobar.vip/21499-nensi-dryu-i-potaynaya-lestnica.html,Нэнси Дрю и потайная лестница,"Комедии, Драмы, Семейный, Детектив, Криминал, Фильмы 2019",Кэтт Ши,2019,14 августа 2020
https://kinobar.vip/21236-devyat.html,Девять,"Драмы, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Ужасы, Детектив",Шэйн Экер,2009,7 июля 2020
https://kinobar.vip/21198-boishsya-li-ty-temnoty-vse-serii-po-poryadku.html,Боишься ли ты темноты? (все серии по порядку),"Сериалы, Драмы, Триллеры, Фантастика, Семейный, Фэнтези, Ужасы, Детектив","Д.Дж. МакХейл, Рон Оливер, Дэвид Уиннинг",1990,5 июля 2020
https://kinobar.vip/21113-vselennaya-stivena-vse-serii-po-poryadku.html,Вселенная Стивена (все серии по порядку),"Комедии, Драмы, Приключения, Мультфильмы, Фантастика, Семейный, Мюзикл, Фэнтези, Детектив","Йен Джонс-Кварти, Джозеф Д. Джонстон, Кэт Моррис",2013,24 июня 2020
https://kinobar.vip/20549-napryagi-izviliny-vse-serii-po-poryadku-v1.html,Напряги извилины (все серии по порядку),"Комедии, Сериалы, Боевики, Приключения, Фантастика, Семейный, Детектив, Криминал","Гэри Нельсон, Брюс Билсон, Дон Эдамс",1965,25 апреля 2020
https://kinobar.vip/19889-timmi-feyl-dopuscheny-oshibki-v4.html,Тимми Фейл: Допущены ошибки,"Комедии, Приключения, Семейный, Фэнтези, Детектив, Фильмы 2020",Том МакКарти,2020,10 февраля 2020
https://kinobar.vip/18878-zateryannye-v-kosmose-2-sezon-v3.html,Затерянные в космосе 2 сезон 1-10 серия,"Сериалы, Драмы, Приключения, Фантастика, Семейный, Детектив","Тим Соутэм,Стивен Серджик,Нил Маршалл",2019,25 декабря 2019
https://kinobar.vip/18833-karmen-sandiego-2-sezon-1-10-seriya-v3.html,Кармен Сандиего 2 сезон 1-10 серия,"Сериалы, Приключения, Мультфильмы, Семейный, Детектив","Йос Хамфей,Кенни Парк,Кевин Дарт",2019,4 октября 2019
https://kinobar.vip/18352-skubi-du-i-ugaday-kto-1-7-seriya-v2.html,Скуби-Ду и угадай кто? 1-13 серия,"Комедии, Сериалы, Мультфильмы, Семейный, Фэнтези, Детектив","Майк Мило,Фрэнк Пор,Гэвин Делл",2019,23 сентября 2019
https://kinobar.vip/18571-vselennaya-stivena-v3.html,Вселенная Стивена,"Комедии, Драмы, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Мюзикл, Фэнтези, Детектив, Фильмы 2019",Ребекка Шуга,2019,6 сентября 2019
https://kinobar.vip/16537-pokemon-detektiv-pikachu-hd-3-v4.html,Покемон. Детектив Пикачу,"Приключения, Фантастика, Семейный, Фэнтези, Детектив, Новинки кино, Фильмы 2019",Роб Леттерман,2019,18 июля 2019
https://kinobar.vip/17515-operaciya-ten-v3.html,"Операция ""Тень""","Семейный, Детектив, Фильмы 2018",Грета Бёэ,2018,14 апреля 2019
https://kinobar.vip/16845-karmen-sandiego-1-sezon-v3.html,Кармен Сандиего 1 сезон 1-9 серия,"Сериалы, Приключения, Мультфильмы, Семейный, Детектив",Неизвестно,2019,16 февраля 2019
https://kinobar.vip/17077-princessa-lebed-7-korolevskoe-prikrytie-v4.html,Принцесса Лебедь 7: Королевское прикрытие,"Комедии, Приключения, Мультфильмы, Семейный, Мюзикл, Детектив, Фильмы 2017",Ричард Рич,2017,8 февраля 2019
https://kinobar.vip/16717-lemoni-sniket-33-neschastya-3-sezon-v2.html,Лемони Сникет: 33 несчастья 3 сезон 1-7 серия,"Комедии, Сериалы, Драмы, Приключения, Семейный, Детектив","Барри Зонненфельд, Бо Уэлш, Марк Палански",2019,1 января 2019
https://kinobar.vip/13992-sherlok-gnoms-v1.html,Шерлок Гномс,"Комедии, Мелодрамы, Мультфильмы, Семейный, Фэнтези, Детектив, Фильмы 2018",Джон Стивенсон,2018,24 июля 2018
https://kinobar.vip/15624-pod-pokrovom-nochi-v1.html,Под покровом ночи,"Приключения, Мультфильмы, Семейный, Фэнтези, Детектив","Адриа Гарсия, Виктор Мальдонадо",2007,9 июня 2018
https://kinobar.vip/12089-tayna-koko-v3.html,Тайна Коко,"Комедии, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Детектив, Фильмы 2017","Ли Анкрич, Эдриан Молина",2017,12 февраля 2018
