link,name,genre,director,year,appearance
https://kinobar.vip/25028-beguschiy-po-lezviyu-chernyy-lotos-1-sezon-12-seriya.html,Бегущий по лезвию: Чёрный лотос 1 сезон 1-13 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Детектив, Аниме","Синдзи Арамаки, Кэндзи Камияма",2021,6 февраля 2022
https://kinobar.vip/25750-pobrilsya-zatem-privel-domoy-starsheklassnicu-1-sezon.html,Побрился. Затем привел домой старшеклассницу. 1,"Сериалы, Мелодрамы, Драмы, Мультфильмы, Аниме",Манабу Кавакита,2021,4 февраля 2022
https://kinobar.vip/25469-moy-sempay-razdrazhaet-1-sezon-1-12-seriya.html,Мой сэмпай раздражает! 1 сезон 1-12 серия,"Комедии, Сериалы, Мелодрамы, Драмы, Мультфильмы, Аниме",Рёта Ито,2021,7 января 2022
https://kinobar.vip/25599-reyting-korolya-1-sezon.html,Рейтинг короля 1 сезон,"Комедии, Сериалы, Мультфильмы, Фэнтези, Аниме",Ёсукэ Хатта,2021,20 января 2022
https://kinobar.vip/25401-prioritet-chudo-yayca-1-sezon-1-12-seriya.html,Приоритет чудо-яйца 1 сезон 1-12 серия,"Сериалы, Драмы, Мультфильмы, Фэнтези, Аниме",Син Вакабаяси,2021,24 декабря 2021
https://kinobar.vip/25295-nikuko-iz-rybackoy-gavani.html,Никуко из Рыбацкой гавани,"Комедии, Фильмы 2021, Драмы, Мультфильмы, Скоро в кино, Аниме","Аюму Ватанабэ, Кэнъитиро Акимото",2021,14 декабря 2021
https://kinobar.vip/25262-istrebitel-demonov-poezd-beskonechnyy-1-sezon.html,Истребитель демонов: Поезд «Бесконечный» 1 сезон,"Сериалы, Боевики, Мультфильмы, Фэнтези, Аниме","Харуо Сотодзаки, Синъя Симомура",2021,8 декабря 2021
https://kinobar.vip/25279-magicheskaya-bitva-1-sezon-1-24-seriya.html,Магическая битва 1 сезон 1-24 серия,"Сериалы, Боевики, Мультфильмы, Фэнтези, Ужасы, Аниме",Пак Сон-ху,2020,9 декабря 2021
https://kinobar.vip/17004-trigan-vse-serii-po-poryadku-v2.html,Триган (все серии по порядку),"Комедии, Сериалы, Боевики, Мультфильмы, Фантастика, Вестерны, Аниме",Сатоси Нисимура,1998,4 февраля 2019
https://kinobar.vip/25145-memuary-vanitasa-1-sezon-1-12-seriya.html,Мемуары Ванитаса 1 сезон 1-12 серия,"Сериалы, Мультфильмы, Фэнтези, Аниме",Итамура Томоюки,2021,27 ноября 2021
