link,name,genre,director,year,appearance
https://kinobar.vip/25559-my-vse-mertvy-1-sezon.html,Мы все мертвы 1 сезон 1-12 серия,"Сериалы, Ужасы, Азиатские сериалы","Ли Джэ-гю, Ким Нам-су",2022,7 февраля 2022
https://kinobar.vip/25761-sinyaya-vesna-izdaleka-1-sezon-1-12-seriya.html,Синяя весна издалека 1 сезон 1-12 серия,"Сериалы, Мелодрамы, Азиатские сериалы",Неизвестно,2021,4 февраля 2022
https://kinobar.vip/25733-prizrachnyy-doktor-1-sezon.html,Призрачный доктор 1 сезон,"Комедии, Сериалы, Драмы, Фэнтези, Азиатские сериалы",Пу Сон-чхоль,2022,3 февраля 2022
https://kinobar.vip/3486-sen-kelers1187-soglasie-v4.html,Сен келерсің / Согласие (все серии по,"Комедии, Сериалы, Мелодрамы, Драмы, Семейный, Сериалы с Каз.ТВ, Азиатские сериалы","Гюль Хан, Ниссар Хан",2012-13,22 декабря 2017
https://kinobar.vip/10735-surayya-4849505152-seriya-v1.html,"Сурайя 84,85,86,87 серия","Сериалы, Мелодрамы, Драмы, Сериалы с Каз.ТВ, Азиатские сериалы",Мохд Фероз Абдул Кадер,2016,20 ноября 2016
https://kinobar.vip/10494-ba1179ytty-bol1171ym-keled-sladkaya-lyubov-v2.html,Бақытты болғым келеді / Сладкая любовь,"Сериалы, Мелодрамы, Сериалы с Каз.ТВ, Азиатские сериалы",Malou N. Santos,2016,30 августа 2016
https://kinobar.vip/10053-zhetm-zh1199rek-zhetim-zhurek-v1.html,Жетім жүрек / Жетим журек,"Сериалы, Мелодрамы, Драмы, Сериалы с Каз.ТВ, Азиатские сериалы",Pawan Kumar,2010,5 июля 2016
https://kinobar.vip/10051-1170ashy1179-zhandar-gashyk-zhandar-v1.html,Ғашық жандар / Гашык жандар,"Сериалы, Мелодрамы, Сериалы с Каз.ТВ, Азиатские сериалы",Неизвестно,2014,5 июля 2016
https://kinobar.vip/10052-kauipti-sezim-hiler-v1.html,Хилер,"Комедии, Сериалы, Мелодрамы, Драмы, Боевики, Триллеры, Сериалы с Каз.ТВ, Азиатские сериалы","Джин Ву Ким, Ли Джон-соп",2014,5 июля 2016
https://kinobar.vip/8860-keln-nevestka-1623-1626-seriya-v1.html,Келін / Невестка 1709-1712 серия,"Сериалы, Мелодрамы, Драмы, Сериалы с Каз.ТВ, Азиатские сериалы",Siddharth Sengupta,2016,10 марта 2016
https://kinobar.vip/5941-keln-nevestka-1206-v2.html,Келін / Невестка 1621-1622 серия,"Сериалы, Драмы, Сериалы с Каз.ТВ, Азиатские сериалы",Siddharth Sengupta,2014,6 января 2016
https://kinobar.vip/8425-1178yzyl-sarayda1171y-t1199s-4950-b1257lm-v1.html,"Қызыл сарайдағы түс 49,50","Сериалы, Драмы, Сериалы с Каз.ТВ, Азиатские сериалы",Цэнь Фань,2010,21 октября 2015
https://kinobar.vip/6077-z1201lym-1179yz-zulym-kyz-v1.html,"Зұлым қыз / Зулым кыз 6,7,8 серия","Сериалы, Мелодрамы, Драмы, История, Сериалы с Каз.ТВ, Азиатские сериалы",Джонг-Чан Но,2013,15 января 2015
https://kinobar.vip/5942-sen-kelers1187-soglasie-388389390-seriya-v1.html,"Сен келерсің / Согласие 388,389,390 серия","Комедии, Сериалы, Мелодрамы, Драмы, Семейный, Сериалы с Каз.ТВ, Азиатские сериалы","Гюль Хан, Ниссар Хан",2013-2014,7 января 2015
https://kinobar.vip/25537-slovno-babochka-1-sezon-1-12-seriya.html,Словно бабочка 1 сезон 1-12 серия,"Сериалы, Драмы, Азиатские сериалы",Хан Дон-хва,2021,12 января 2022
https://kinobar.vip/25447-ona-nikogda-ne-uznaet-1-sezon-1-16-seriya.html,Она никогда не узнает 1 сезон 1-16 серия,"Сериалы, Мелодрамы, Азиатские сериалы",Ли Дон-юн,2021,31 декабря 2021
https://kinobar.vip/25140-more-spokoystviya-1-sezon.html,Море Спокойствия 1 сезон 1-8 серия,"Сериалы, Триллеры, Фантастика, Азиатские сериалы",Чхве Хан-ён,2021,28 декабря 2021
https://kinobar.vip/25418-odin-obychnyy-den-1-sezon-1-8-seriya.html,Один обычный день 1 сезон 1-8 серия,"Сериалы, Детектив, Криминал, Азиатские сериалы",Ли Мён-у,2021,26 декабря 2021
https://kinobar.vip/25356-gorodskie-vypivohi-1-sezon.html,Городские выпивохи 1 сезон,"Комедии, Сериалы, Азиатские сериалы",Ким Джон-щик,2021,17 декабря 2021
https://kinobar.vip/24835-doktor-breyn-1-sezon.html,Доктор Брейн 1 сезон 1-6 серия,"Сериалы, Драмы, Триллеры, Фантастика, Детектив, Азиатские сериалы",Ким Джи-ун,2021,10 декабря 2021
https://kinobar.vip/25282-odna-zhenschina-1-sezon-1-16-seriya.html,Одна женщина 1 сезон 1-16 серия,"Комедии, Сериалы, Мелодрамы, Азиатские сериалы",Чхве Ён-хун,2021,9 декабря 2021
https://kinobar.vip/25191-tak-ya-zhenilsya-na-antifanatke-1-sezon-1-16-seriya.html,Так я женился на антифанатке 1 сезон 1-16 серия,"Комедии, Сериалы, Мелодрамы, Азиатские сериалы",Кан Чхор-у,2021,1 декабря 2021
https://kinobar.vip/25164-schaste-1-sezon.html,Счастье 1 сезон,"Сериалы, Триллеры, Фантастика, Азиатские сериалы",Ан Гиль-хо,2021,28 ноября 2021
https://kinobar.vip/25142-vzroslyy-stazher-1-sezon.html,Взрослый стажёр 1 сезон,"Комедии, Сериалы, Азиатские сериалы","Ю Хак-чхан, Чон Хён-гон",2021,27 ноября 2021
https://kinobar.vip/24611-zov-ada-1-sezon.html,Зов ада 1 сезон 1-6 серия,"Сериалы, Фэнтези, Ужасы, Азиатские сериалы",Ён Сан-хо,2021,22 ноября 2021
