link,name,genre,director,year,appearance
https://kinobar.vip/25257-myunhen-na-poroge-voyny.html,Мюнхен: На пороге войны,"Фильмы 2021, Драмы, Триллеры, Биография, История, Новинки кино",Кристиан Швохов,2021,24 января 2022
https://kinobar.vip/25009-byt-rikardo.html,Быть Рикардо,"Фильмы 2021, Драмы, Биография, Новинки кино",Аарон Соркин,2021,26 декабря 2021
https://kinobar.vip/24000-korol-richard.html,Король Ричард,"Фильмы 2021, Драмы, Биография, Спорт, Новинки кино",Рейнальдо Маркус Грин,2021,2 декабря 2021
https://kinobar.vip/25576-pem-i-tommi-1-sezon.html,"Пэм и Томми 1 сезон 1,2,3 серия","Сериалы, Мелодрамы, Драмы, Биография","Крэйг Гиллеспи, Гвинет Хердер-Пэйтон, Ханна Фидель",2022,2 февраля 2022
https://kinobar.vip/9562-tak-slozhilis-zvezdy-v1.html,"Так сложились звезды 1,2,3,4 серия","Сериалы, Драмы, Биография, Сериалы с Каз.ТВ, Фильмы 2016",Сергей Снежкин,2016,7 июля 2016
https://kinobar.vip/25190-probuzhdenie-velikie-seldzhuki-1-sezon-1-34-seriya.html,Пробуждение: Великие Сельджуки 1 сезон 1-34 серия,"Сериалы, Драмы, Биография, Военный, История, Турецкие сериалы","Sedat Inci, Эмре Конук",2020,1 декабря 2021
https://kinobar.vip/25614-krasnyy-manzhet-1-sezon-1-17-seriya.html,Красный манжет 1 сезон 1-17 серия,"Сериалы, Мелодрамы, Биография, История, Азиатские сериалы",Чон Джи-ин,2021,20 января 2022
https://kinobar.vip/24183-spenser-tayna-princessy-diany.html,Спенсер,"Фильмы 2021, Мелодрамы, Драмы, Биография",Пабло Ларраин,2021,10 января 2022
https://kinobar.vip/855-gonka-v2.html,Гонка,"Драмы, Боевики, Биография, Спорт, Фильмы 2013, ТОП 250 лучших фильмов по версии КиноПоиска",Рон Ховард,2013,20 января 2022
https://kinobar.vip/25350-stanovlenie-kusto.html,Становление Кусто,"Фильмы 2021, Приключения, Биография, Документальные",Лиз Гарбус,2021,17 декабря 2021
https://kinobar.vip/15508-chernyy-klanovec-v2.html,Черный клановец,"Комедии, Драмы, Триллеры, Биография, Криминал, Фильмы 2018",Спайк Ли,2018,2 февраля 2022
https://kinobar.vip/25759-onoda.html,Онода,"Драмы, Биография, История, Фильмы 2021",Артур Харари,2021,3 февраля 2022
https://kinobar.vip/25567-zhenschiny-dvizheniya-1-sezon.html,Женщины движения 1 сезон,"Сериалы, Драмы, Биография, История","Джули Дэш, Тина Мэбри, Кейси Леммонс",2022,15 января 2022
https://kinobar.vip/25485-suvorov-velikoe-puteshestvie.html,Суворов: Великое путешествие,"Фильмы 2022, Приключения, Мультфильмы, Биография, История, Скоро в кино, Российское кино","Сергей Антонов, Виктор Стрельченко",2022,10 января 2022
https://kinobar.vip/25339-vzbudorazhennye-1-sezon.html,Взбудораженные 1 сезон,"Сериалы, Драмы, Биография",Аллен Култер,2022,16 декабря 2021
https://kinobar.vip/25264-komandir-singh.html,Командир Сингх,"Фильмы 2021, Драмы, Биография, История, Криминал",Шуджит Сиркар,2021,9 декабря 2021
https://kinobar.vip/25195-krylya-nad-berlinom.html,Крылья над Берлином,"Фильмы 2022, Мелодрамы, Биография, История, Скоро в кино, Российское кино",Константин Буслов,2022,3 декабря 2021
https://kinobar.vip/25193-horoshiy-dzho-bell.html,Хороший Джо Белл,"Драмы, Биография, Фильмы 2020",Рейнальдо Маркус Грин,2020,2 декабря 2021
https://kinobar.vip/25184-vershina-bogov.html,Вершина богов,"Фильмы 2021, Драмы, Мультфильмы, Биография",Патрик Имбер,2021,2 декабря 2021
https://kinobar.vip/24165-velikaya-2-sezon.html,Великая 2 сезон 1-10 серия,"Комедии, Сериалы, Биография, История","Колин Бакси, Берт, Кэти Эллвуд",2021,19 ноября 2021
https://kinobar.vip/25026-poverte-mne-pohischenie-lizy-makvey.html,Поверьте мне. Похищение Лизы МакВей,"Драмы, Биография, Криминал, Фильмы 2018",Джим Донован,2018,15 ноября 2021
https://kinobar.vip/23913-iskushenie.html,Искушение,"Фильмы 2021, Мелодрамы, Драмы, Биография, История",Пол Верховен,2021,11 ноября 2021
https://kinobar.vip/16830-amerikanskaya-istoriya-prestupleniy-3-sezon-v4.html,Американская история преступлений 3 сезон 1-10,"Сериалы, Драмы, Биография, Криминал","Райан Мёрфи, Энтони Хемингуэй, Гвинет Хердер-Пэйтон",2021,10 ноября 2021
https://kinobar.vip/24984-zhizn-zadom-napered.html,Жизнь задом наперед,"Драмы, Биография",Дэвид Эттвуд,2007,9 ноября 2021
https://kinobar.vip/24373-koshachi-miry-luisa-ueyna.html,Кошачьи миры Луиса Уэйна,"Фильмы 2021, Драмы, Биография, История, Новинки кино",Уилл Шарп,2021,4 ноября 2021
https://kinobar.vip/23842-glaza-temmi-fey.html,Глаза Тэмми Фэй,"Фильмы 2021, Драмы, Биография, История",Майкл Шоуолтер,2021,3 ноября 2021
https://kinobar.vip/16098-korol-vne-zakona-v2.html,Король вне закона,"Драмы, Боевики, Биография, История, Фильмы 2018",Дэвид Маккензи,2018,2 ноября 2021
https://kinobar.vip/24037-wu-tang-amerikanskaya-saga-2-sezon.html,Wu-Tang: Американская сага 2 сезон 1-10 серия,"Сериалы, Драмы, Биография","Тара Николь Вейр, Крейг Зиск, Норберто Барба",2021,29 октября 2021
https://kinobar.vip/24197-vertinskiy-1-sezon.html,Вертинский 1 сезон 1-8 серия,"Сериалы, Драмы, Биография, Мюзикл",Авдотья Смирнова,2021,25 октября 2021
https://kinobar.vip/1722-dzheyn-ostin-v1.html,Джейн Остин,"Мелодрамы, Драмы, Биография",Джулиан Джаррольд,2006,21 октября 2021
https://kinobar.vip/16000-boi-bez-pravil-v3.html,Бои без правил,"Драмы, Боевики, Биография, Криминал, Спорт, Фильмы 2017, Фильмы про тюрьму и зону, Фильмы, основанные на реальных событиях",Жан-Стефан Совер,2017,17 октября 2021
https://kinobar.vip/24756-garet-dzhons.html,Гарет Джонс,"Драмы, Триллеры, Биография, Фильмы 2019",Агнешка Холланд,2019,16 октября 2021
https://kinobar.vip/3528-neslomleennyy-v5.html,Несломленный,"Драмы, Боевики, Биография, Военный, История, Спорт, Фильмы 2014, Фильмы, основанные на реальных событиях",Анджелина Джоли,2014,13 октября 2021
https://kinobar.vip/12630-steklyannyy-zamok-v3.html,Стеклянный замок,"Драмы, Биография, Фильмы 2017",Дестин Креттон,2017,12 октября 2021
https://kinobar.vip/24671-kod-na-milliard-dollarov-1-sezon-1-4-seriya.html,Код на миллиард долларов 1 сезон 1-4 серия,"Сериалы, Драмы, Триллеры, Биография, Детектив, Криминал",Роберт Тальхайм,2021,9 октября 2021
https://kinobar.vip/23839-nebesnaya-komanda.html,Небесная команда,"Драмы, Биография, Спорт, Новинки кино, Российское кино, Фильмы 2020",Владимир Алеников,2020,6 октября 2021
https://kinobar.vip/24026-prevratnosti-razuma.html,Превратности разума,"Драмы, Биография, Фильмы 2020",Торстен Клайн,2020,3 октября 2021
https://kinobar.vip/24608-britni-protiv-spirsa.html,Бритни против Спирса,"Фильмы 2021, Биография, Документальные",Эрин Ли Карр,2021,2 октября 2021
https://kinobar.vip/24582-polovinka-menya.html,Половинка меня,"Драмы, Биография, Спорт, Фильмы 2020",Туукка Темонен,2020,1 октября 2021
https://kinobar.vip/668-aviator-v2.html,Авиатор,"Драмы, Биография, Мотивирующие фильмы",Мартин Скорсезе,2004,26 сентября 2021
https://kinobar.vip/23901-eyfel.html,Эйфель,"Фильмы 2021, Драмы, Биография, Новинки кино",Мартин Бурбулон,2021,26 сентября 2021
https://kinobar.vip/7864-v-centre-vnimaniya-v1.html,В центре внимания,"Драмы, Триллеры, Биография, История, Фильмы 2015, Фильмы, основанные на реальных событиях",Том МакКарти,2015,21 сентября 2021
https://kinobar.vip/24456-obgonyaya-vremya-1-sezon-1-4-seriya.html,Обгоняя время 1 сезон 1-4 серия,"Сериалы, Драмы, Биография, История",Леонид Пляскин,2018,20 сентября 2021
https://kinobar.vip/15868-krasivyy-malchik-v3.html,Красивый мальчик,"Драмы, Биография, Фильмы 2018",Феликс ван Грунинген,2018,18 сентября 2021
https://kinobar.vip/24416-shumaher.html,Шумахер,"Фильмы 2021, Биография, Документальные, Спорт","Ханс-Бруно Каммертонс, Ванесса Нокер, Михаэль Вех",2021,17 сентября 2021
https://kinobar.vip/23838-ohotnik-za-razumom-shvatka.html,Охотник за разумом. Схватка,"Фильмы 2021, Драмы, Биография, Детектив, Криминал, Новинки кино",Эмбер Роуз Сили,2021,16 сентября 2021
https://kinobar.vip/24394-chelovek-bozhiy.html,Человек божий,"Фильмы 2021, Драмы, Биография, Скоро в кино",Елена Попович,2021,15 сентября 2021
https://kinobar.vip/24051-skolko-stoit-zhizn.html,Сколько стоит жизнь?,"Драмы, Биография, История, Фильмы 2020",Сара Коланджело,2020,3 сентября 2021
https://kinobar.vip/7094-zateryannyy-gorodz-1-v1.html,Затерянный город Z,"Драмы, Боевики, Приключения, Биография, История, Фильмы 2016",Джеймс Грэй,2016,2 сентября 2021
https://kinobar.vip/726-korol-govorit-v3.html,Король говорит!,"Драмы, Биография, История, Мотивирующие фильмы, ТОП 250 лучших фильмов по версии КиноПоиска",Том Хупер,2010,1 сентября 2021
https://kinobar.vip/24199-grabitel-bankov.html,Грабитель банков,"Драмы, Боевики, Биография, Криминал, Фильмы 2017",Нимрод Антал,2017,29 августа 2021
https://kinobar.vip/22065-respekt.html,Респект,"Фильмы 2021, Драмы, Биография, Мюзикл",Лизль Томми,2021,28 августа 2021
https://kinobar.vip/24166-bokser.html,Боксер,"Драмы, Биография, Спорт, Скоро в кино, Казахстанское кино, Фильмы 2020",Акан Сатаев,2020,25 августа 2021
https://kinobar.vip/15070-taksist-v3.html,Таксист,"Драмы, Биография, История, Фильмы 2017",Чан Хун,2017,22 августа 2021
https://kinobar.vip/17535-krasivyy-plohoy-zloy-1-v3.html,"Красивый, плохой, злой","Драмы, Триллеры, Биография, Криминал, Новинки кино, Фильмы 2019",Джо Берлингер,2019,19 августа 2021
https://kinobar.vip/24116-sher-shah.html,Шер-Шах,"Фильмы 2021, Боевики, Биография, Военный, История",Вишувардхан,2021,16 августа 2021
https://kinobar.vip/24052-loshad-mechty.html,Лошадь мечты,"Комедии, Драмы, Биография, Спорт, Фильмы 2020",Эрос Лин,2020,5 августа 2021
https://kinobar.vip/23894-naomi-osaka-1-sezon.html,Наоми Осака 1 сезон 1-3 серия,"Сериалы, Биография, Документальные, Спорт",Гаррет Брэдли,2021,3 августа 2021
https://kinobar.vip/23685-meyer-lanski.html,Мейер Лански,"Фильмы 2021, Драмы, Триллеры, Биография, Криминал, Новинки кино",Итан Роквей,2021,31 июля 2021
https://kinobar.vip/23782-sudba-diversanta.html,Судьба диверсанта,"Драмы, Биография, Новинки кино, Российское кино, Фильмы 2020",Дмитрий Астрахан,2020,30 июля 2021
https://kinobar.vip/4279-igra-v-imitaciyyuu-v2.html,Игра в имитацию,"Драмы, Триллеры, Биография, Военный, Фильмы 2014, Фильмы про войну",Мортен Тильдум,2014,29 июля 2021
https://kinobar.vip/231-nevidimaya-storona-v3.html,Невидимая сторона,"Драмы, Биография, Спорт, Мотивирующие фильмы, ТОП 250 лучших фильмов по версии КиноПоиска",Джон Ли Хэнкок,2009,7 июля 2021
https://kinobar.vip/23853-ya-zlatan.html,Я — Златан,"Фильмы 2021, Драмы, Биография, Спорт, Скоро в кино",Йенс Сьёгрен,2021,3 июля 2021
https://kinobar.vip/931-hrabroe-serdce-v2.html,Храброе сердце,"Драмы, Боевики, Биография, Военный, История, ТОП 250 лучших фильмов по версии КиноПоиска",Мэл Гибсон,1995,27 июня 2021
https://kinobar.vip/9427-osnovatel-1-v2.html,Основатель,"Драмы, Биография, История, Фильмы 2016, Фильмы, основанные на реальных событиях, Мотивирующие фильмы, Фильмы про бизнес",Джон Ли Хэнкок,2016,24 июня 2021
https://kinobar.vip/21420-banksy.html,Banksy / Бэнкси,"Биография, Документальные, Фильмы 2020",Элио Эспана,2020,24 июня 2021
https://kinobar.vip/23764-soedinennye-shtaty-protiv-billi-holidey.html,Соединённые Штаты против Билли Холидей,"Фильмы 2021, Драмы, Биография, Мюзикл",Ли Дэниелс,2021,18 июня 2021
https://kinobar.vip/23379-kult-lichnosti.html,Культ личности,"Фильмы 2021, Драмы, Биография",Ник Моран,2021,15 июня 2021
https://kinobar.vip/103-socialnaya-set-v2.html,Социальная сеть,"Драмы, Биография, Фильмы, основанные на реальных событиях, Мотивирующие фильмы, Фильмы про IT",Дэвид Финчер,2010,4 июня 2021
https://kinobar.vip/20345-soprotivlenie-v5.html,Сопротивление,"Драмы, Биография, Военный, История, Новинки кино, Фильмы 2020",Хонатан Якубович,2020,3 июня 2021
https://kinobar.vip/23680-litvyak.html,Литвяк,"Фильмы 2021, Биография, Военный, Скоро в кино, Российское кино","Андрей Шальопа, Ким Дружинин",2021,2 июня 2021
https://kinobar.vip/23661-chudo-v-okeane.html,Чудо в океане,"Фильмы 2021, Драмы, Приключения, Семейный, Биография",Хулио Квинтана,2021,1 июня 2021
https://kinobar.vip/87-kon-tiki-v2.html,Кон-Тики,"Приключения, Биография, История","Хоаким Роннинг, Эспен Сандберг",2012,31 мая 2021
https://kinobar.vip/23635-pink-vse-chto-ya-znayu-na-dannyy-moment.html,"Пинк: Все, что я знаю на данный момент","Фильмы 2021, Биография, Документальные",Майкл Грэйси,2021,25 мая 2021
https://kinobar.vip/23634-chto-ubilo-maradonu.html,Что убило Марадону?,"Фильмы 2021, Биография, Документальные",Ник Кларк Пауэлл,2021,25 мая 2021
https://kinobar.vip/25463-dikaya-dikaya-strana-1-sezon-1-6-seriya.html,Дикая-дикая страна 1 сезон 1-6 серия,"Сериалы, Биография, Документальные, Фильмы 2018","Чэпман Расселл Вэй, Маклейн Вэй",2018,8 января 2022
https://kinobar.vip/23034-billi-aylish-slegka-razmytyy-mir-v1.html,Билли Айлиш: Слегка размытый мир,"Фильмы 2021, Биография, Документальные",Р.Дж. Катлер,2021,6 марта 2021
https://kinobar.vip/23193-pele-v1.html,Пеле,"Фильмы 2021, Биография, Документальные, Спорт","Бен Николас, Дэвид Трихорн",2021,2 марта 2021
https://kinobar.vip/22450-ya-greta-v2.html,Я — Грета,"Биография, Документальные, Фильмы 2020",Нэйтан Гроссман,2020,16 февраля 2021
https://kinobar.vip/22826-korol-tigrov-ubiystvo-haos-i-bezumie-1-sezon-1-7-seriya-v1.html,"Король тигров: Убийство, хаос и безумие 1 сезон","Сериалы, Биография, Документальные, Криминал","Ребекка Чайклин, Эрик Гуд",2020,7 января 2021
https://kinobar.vip/22128-sokrovennyy-chelovek-v1.html,Сокровенный человек,"Биография, Документальные, Скоро в кино, Российское кино, Фильмы 2020",Рома Либеров,2020,17 октября 2020
https://kinobar.vip/21497-fyre-velichayshaya-vecherinka-kotoraya-ne-sostoyalas-v1.html,"FYRE: Величайшая вечеринка, которая не состоялась","Биография, Документальные, Фильмы 2019",Крис Смит,2019,12 августа 2020
