link,name,genre,director,year,appearance
https://kinobar.vip/24307-padenie-luny.html,Падение Луны,"Боевики, Фантастика, Новинки кино, Фильмы 2022",Роланд Эммерих,2022,6 февраля 2022
https://kinobar.vip/25548-pylayuschee-more.html,Пылающее море,"Фильмы 2021, Боевики, Новинки кино",Йон Андреас Андерсен,2021,1 февраля 2022
https://kinobar.vip/22067-355.html,Код 355,"Боевики, Триллеры, Новинки кино, Фильмы 2022",Саймон Кинберг,2021,1 февраля 2022
https://kinobar.vip/24888-valdo.html,Вальдо,"Боевики, Триллеры, Детектив, Новинки кино, Фильмы 2021",Тим Киркби,2021,1 февраля 2022
https://kinobar.vip/24705-do-samoy-smerti.html,К югу от рая,"Драмы, Боевики, Триллеры, Ужасы, Детектив, Криминал, Новинки кино, Фильмы 2021",Ахарон Кешалес,2021,31 января 2022
https://kinobar.vip/23479-agent-117-iz-afriki-s-lyubovyu.html,Агент 117: Из Африки с любовью,"Комедии, Фильмы 2021, Боевики, Новинки кино",Николя Бедос,2021,28 января 2022
https://kinobar.vip/24161-chelovek-pauk-net-puti-domoy-v1.html,Человек-паук: Нет пути домой,"Фильмы 2021, Боевики, Приключения, Фантастика, Новинки кино, Фильмы про супергероев марвел и дс",Джон Уоттс,2021,25 января 2022
https://kinobar.vip/19940-vechnye-v3.html,Вечные,"Фильмы 2021, Драмы, Боевики, Приключения, Фантастика, Фэнтези, Новинки кино, Фильмы про супергероев марвел и дс",Хлоя Чжао,2021,23 января 2022
https://kinobar.vip/18113-kings-man-nachalo-v4.html,King's man: Начало,"Комедии, Фильмы 2021, Боевики, Триллеры, Новинки кино",Мэттью Вон,2021,22 января 2022
https://kinobar.vip/23848-padenie-zamka.html,Падение замка,"Фильмы 2021, Драмы, Боевики, Триллеры, Новинки кино",Дольф Лундгрен,2022,22 января 2022
https://kinobar.vip/24352-matrica-voskreshenie.html,Матрица 4: Воскрешение,"Фильмы 2021, Боевики, Фантастика, Новинки кино",Лана Вачовски,2021,20 января 2022
https://kinobar.vip/25308-doch-korolya.html,Дочь короля,"Фильмы 2022, Боевики, Приключения, Фэнтези, Новинки кино",Шон МакНамара,2022,20 января 2022
https://kinobar.vip/24294-obitel-zla-rakkun-siti.html,Обитель зла: Раккун Сити,"Фильмы 2021, Боевики, Фантастика, Ужасы, Детектив, Новинки кино",Йоханнес Робертс,2021,10 января 2022
