link,name,genre,director,year,appearance
https://kinobar.vip/24317-chernyy-yaschik.html,Черный ящик,"Фильмы 2021, Драмы, Триллеры, Детектив, Новинки кино",Ян Гозлан,2021,2 февраля 2022
https://kinobar.vip/24888-valdo.html,Вальдо,"Боевики, Триллеры, Детектив, Новинки кино, Фильмы 2021",Тим Киркби,2021,1 февраля 2022
https://kinobar.vip/24705-do-samoy-smerti.html,К югу от рая,"Драмы, Боевики, Триллеры, Ужасы, Детектив, Криминал, Новинки кино, Фильмы 2021",Ахарон Кешалес,2021,31 января 2022
https://kinobar.vip/20999-proshloy-nochyu-v-soho-v1.html,Прошлой ночью в Сохо,"Фильмы 2021, Драмы, Триллеры, Ужасы, Детектив, Новинки кино",Эдгар Райт,2021,19 января 2022
https://kinobar.vip/24704-krik.html,Крик 5,"Фильмы 2022, Триллеры, Ужасы, Детектив, Новинки кино","Мэттью Беттинелли, Тайлер Джиллетт",2022,19 января 2022
https://kinobar.vip/24294-obitel-zla-rakkun-siti.html,Обитель зла: Раккун Сити,"Фильмы 2021, Боевики, Фантастика, Ужасы, Детектив, Новинки кино",Йоханнес Робертс,2021,10 января 2022
https://kinobar.vip/23832-tayna-sen-trope.html,Тайна Сен-Тропе,"Комедии, Фильмы 2021, Детектив, Криминал, Новинки кино",Николя Бенаму,2021,8 января 2022
https://kinobar.vip/22946-nevskiy-ohota-na-arhitektora-1-sezon-v1.html,Невский. Охота на Архитектора 5 сезон 1-19 серия,"Сериалы, Детектив",Дмитрий Аверин,2022,"Вчера, 17:23"
https://kinobar.vip/20088-cyplenok-zharenyy-1-sezon-v1.html,Цыпленок жареный 1 сезон 1-9 серия,"Сериалы, Мелодрамы, Детектив",Елена Николаева,2019,"Вчера, 17:22"
https://kinobar.vip/25586-strashnye-istorii-v-dvuh-predlozheniyah-4-sezon-12-seriya.html,Страшные истории в двух предложениях 4 сезон,"Сериалы, Драмы, Триллеры, Ужасы, Детектив","Вера Миао, Рания Аттих, Дэниэл Гарсиа",2022,7 февраля 2022
https://kinobar.vip/13476-bezopasnost-1-sezon-v1.html,Безопасность 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Детектив, Криминал","Никита Высоцкий, Илья Лебедев",2017,7 февраля 2022
https://kinobar.vip/25028-beguschiy-po-lezviyu-chernyy-lotos-1-sezon-12-seriya.html,Бегущий по лезвию: Чёрный лотос 1 сезон 1-13 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Детектив, Аниме","Синдзи Арамаки, Кэндзи Камияма",2021,6 февраля 2022
https://kinobar.vip/25753-v-gorode-ubiystv-1-sezon-1-6-seriya.html,В городе убийств 1 сезон 1-6 серия,"Комедии, Сериалы, Детектив, Криминал","Бреннан Шрофф, Иэн Моррис",2022,4 февраля 2022
https://kinobar.vip/25751-zagruzka-2-sezon.html,Загрузка 2 сезон,"Комедии, Сериалы, Фантастика, Детектив","Kacie Anning, Джеффри Блитц, Грег Дэниелс",2022,4 февраля 2022
https://kinobar.vip/25154-dom-s-prislugoy-3-sezon.html,Дом с прислугой 3 сезон 1-3 серия,"Сериалы, Драмы, Триллеры, Фэнтези, Детектив","М. Найт Шьямалан, Нимрод Антал, Ishana Shyamalan",2022,4 февраля 2022
https://kinobar.vip/25660-zaslanec-iz-kosmosa-2-sezon-1-seriya.html,Засланец из космоса 2 сезон 1-2 серия,"Комедии, Сериалы, Драмы, Фантастика, Детектив","Роберт Данкан МакНил, Джей Чандрашекхар, Шеннон Коли",2021,3 февраля 2022
https://kinobar.vip/24515-temnoe-zhelanie-2-sezon.html,Тёмное желание 2 сезон 1-15 серия,"Сериалы, Драмы, Триллеры, Детектив","Кенья Маркес, Педро Пабло Ибарра",2021,3 февраля 2022
https://kinobar.vip/24033-fbr-4-sezon.html,ФБР 4 сезон 1-12 серия,"Сериалы, Боевики, Триллеры, Детектив, Криминал","Алекс Чаппл, Жан Де Сегонзак, Стивен Серджик",2021,2 февраля 2022
https://kinobar.vip/24265-fbr-samye-razyskivaemye-prestupniki-3-sezon.html,ФБР: Самые разыскиваемые преступники 3 сезон 1-12,"Сериалы, Драмы, Боевики, Триллеры, Детектив, Криминал","Кен Джиротти, Джим МакКэй, Фред Бернер",2021,2 февраля 2022
https://kinobar.vip/25722-molodoy-vallander-2-sezon.html,Молодой Валландер 2 сезон,"Сериалы, Драмы, Триллеры, Детектив, Криминал","Оле Эндресен, Йенс Йонссон",2022,2 февраля 2022
https://kinobar.vip/8569-istoriya-odnogo-otkata-v1.html,"История одного отката 17,18,19,20 серия","Сериалы, Детектив, Сериалы с Каз.ТВ",Евгений Паламарчук,2015,8 марта 2016
https://kinobar.vip/8904-shyrgalan-1-seriya-v1.html,Шыргалан 24 серия,"Сериалы, Драмы, Детектив, Сериалы с Каз.ТВ",Нур Махамбет,2016,26 февраля 2016
https://kinobar.vip/25418-odin-obychnyy-den-1-sezon-1-8-seriya.html,Один обычный день 1 сезон 1-8 серия,"Сериалы, Детектив, Криминал, Азиатские сериалы",Ли Мён-у,2021,26 декабря 2021
https://kinobar.vip/24835-doktor-breyn-1-sezon.html,Доктор Брейн 1 сезон 1-6 серия,"Сериалы, Драмы, Триллеры, Фантастика, Детектив, Азиатские сериалы",Ким Джи-ун,2021,10 декабря 2021
https://kinobar.vip/24802-himera-1-sezon.html,Химера 1 сезон,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ким До-хун,2021,22 октября 2021
https://kinobar.vip/24709-ohotnik-za-dezertirami-1-sezon-1-6-seriya.html,Охотник за дезертирами 1 сезон 1-6 серия,"Комедии, Сериалы, Драмы, Детектив, Азиатские сериалы",Хан Джун-хи,2021,11 октября 2021
https://kinobar.vip/24675-frik-1-sezon-1-16-seriya.html,Фрик 1 сезон 1-16 серия,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Щим На-ён,2021,9 октября 2021
https://kinobar.vip/24634-krutaya-nedvizhimost-1-sezon-1-16-seriya.html,Крутая недвижимость 1 сезон 1-16 серия,"Сериалы, Фэнтези, Детектив, Азиатские сериалы",Пак Чин-сок,2021,3 октября 2021
https://kinobar.vip/24521-shkola-prava-1-sezon-1-16-seriya.html,Школа права 1 сезон 1-16 серия,"Сериалы, Драмы, Детектив, Азиатские сериалы",Ким Сог-юн,2021,26 сентября 2021
https://kinobar.vip/24504-mysh-1-sezon.html,Мышь 1 сезон,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы","Кан Чхор-у, Чхве Джун-бэ",2021,25 сентября 2021
https://kinobar.vip/22552-uroboros-vse-serii-po-poryadku.html,Уроборос (все серии по порядку),"Сериалы, Драмы, Боевики, Детектив, Криминал, Азиатские сериалы","Исии Ясухару, Даисукэ Ямамуро, Кацухико Икэда",2015,6 декабря 2020
https://kinobar.vip/22521-sto-millionov-zvezd-s-neba-vse-serii-po-poryadku.html,Сто миллионов звёзд с неба (все серии по порядку),"Сериалы, Мелодрамы, Детектив, Азиатские сериалы",Ю Джэ-вон,2018,4 декабря 2020
https://kinobar.vip/22340-cvetok-zla-vse-serii-po-poryadku-v1.html,Цветок зла (все серии по порядку),"Сериалы, Мелодрамы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ким Чхоль-гю,2020,12 ноября 2020
https://kinobar.vip/22287-365-god-pobedy-nad-sudboy-vse-serii-po-poryadku-v1.html,365: Год победы над судьбой (все серии по порядку),"Сериалы, Триллеры, Фантастика, Детектив, Азиатские сериалы",Ким Гён-хи,2020,7 ноября 2020
https://kinobar.vip/22250-zombi-detektiv-1-sezon-1-24-seriya-v1.html,Зомби-детектив 1 сезон 1-24 серия,"Комедии, Сериалы, Фэнтези, Детектив, Азиатские сериалы",Щим Джэ-хён,2020,30 октября 2020
https://kinobar.vip/22051-uvazhaemyy-sudya-vse-serii-po-poryadku.html,Уважаемый судья (все серии по порядку),"Сериалы, Драмы, Детектив, Криминал, Азиатские сериалы",Пу Сон-чхоль,2018,12 октября 2020
https://kinobar.vip/21803-schastlivaya-semerka-vse-serii-po-poryadku.html,Счастливая семерка (все серии по порядку),"Сериалы, Драмы, Детектив, Азиатские сериалы","Такэси Нарита, Синсуке Сато, Син Хирано",2012,13 сентября 2020
https://kinobar.vip/22650-lichnost-vse-serii-po-poryadku.html,Личность (все серии по порядку),"Сериалы, Драмы, Детектив, Криминал, Турецкие сериалы",Онур Сайлак,2018,16 декабря 2020
https://kinobar.vip/21810-dar-2-sezon-1-8-seriya-v1.html,Дар 2 сезон 1-8 серия,"Сериалы, Драмы, Фэнтези, Детектив, Турецкие сериалы","Гонендж Уяник, Озан Ачыктан",2020,12 сентября 2020
https://kinobar.vip/25512-zhenschina-v-dome-naprotiv-devushki-v-okne-1-sezon.html,Женщина в доме напротив девушки в окне 1 сезон,"Комедии, Сериалы, Драмы, Триллеры, Детектив",Майкл Леманн,2022,31 января 2022
https://kinobar.vip/25543-rasplata-za-grehi.html,Расплата за грехи,"Фильмы 2022, Мелодрамы, Драмы, Триллеры, Детектив, Криминал",Моника Митчелл,2022,26 января 2022
