link,name,genre,director,year,appearance
https://kinobar.vip/25584-aferist-iz-tinder.html,Аферист из Tinder,"Документальные, Криминал, Новинки кино, Фильмы 2022",Фелисити Моррис,2022,4 февраля 2022
https://kinobar.vip/24446-nas-drugih-ne-budet.html,Нас других не будет,"Фильмы 2021, Документальные, Новинки кино, Российское кино",Петр Шепотинник,2021,26 января 2022
https://kinobar.vip/25253-vozvraschenie-v-hogvarts.html,Гарри Поттер 20 лет спустя: Возвращение в Хогвартс,"Фильмы 2022, Семейный, Документальные, Новинки кино","Эрен Криви, Джо Перлман, Джорджо Тести",2022,18 января 2022
https://kinobar.vip/16644-mir-naiznanku-vse-vypuski-po-poryadku-3-v7.html,Мир наизнанку (все выпуски по порядку),"Сериалы, Документальные, ТВ-шоу, передачи",Дмитрий Комаров,2010,7 февраля 2022
https://kinobar.vip/25089-top-gir-31-sezon-12-vypusk.html,Топ Гир 31 сезон 1-5 выпуск,"Сериалы, Документальные, ТВ-шоу, передачи","Брайан Клейн, Фил Чурчуорд, Найджел Симпкисс",2021,13 декабря 2021
https://kinobar.vip/25350-stanovlenie-kusto.html,Становление Кусто,"Фильмы 2021, Приключения, Биография, Документальные",Лиз Гарбус,2021,17 декабря 2021
https://kinobar.vip/24608-britni-protiv-spirsa.html,Бритни против Спирса,"Фильмы 2021, Биография, Документальные",Эрин Ли Карр,2021,2 октября 2021
https://kinobar.vip/24416-shumaher.html,Шумахер,"Фильмы 2021, Биография, Документальные, Спорт","Ханс-Бруно Каммертонс, Ванесса Нокер, Михаэль Вех",2021,17 сентября 2021
https://kinobar.vip/23894-naomi-osaka-1-sezon.html,Наоми Осака 1 сезон 1-3 серия,"Сериалы, Биография, Документальные, Спорт",Гаррет Брэдли,2021,3 августа 2021
https://kinobar.vip/21420-banksy.html,Banksy / Бэнкси,"Биография, Документальные, Фильмы 2020",Элио Эспана,2020,24 июня 2021
https://kinobar.vip/23635-pink-vse-chto-ya-znayu-na-dannyy-moment.html,"Пинк: Все, что я знаю на данный момент","Фильмы 2021, Биография, Документальные",Майкл Грэйси,2021,25 мая 2021
https://kinobar.vip/23634-chto-ubilo-maradonu.html,Что убило Марадону?,"Фильмы 2021, Биография, Документальные",Ник Кларк Пауэлл,2021,25 мая 2021
https://kinobar.vip/25463-dikaya-dikaya-strana-1-sezon-1-6-seriya.html,Дикая-дикая страна 1 сезон 1-6 серия,"Сериалы, Биография, Документальные, Фильмы 2018","Чэпман Расселл Вэй, Маклейн Вэй",2018,8 января 2022
https://kinobar.vip/25094-vecher-s-adel.html,Вечер с Адель,"Фильмы 2021, Документальные",Пол Дагдейл,2021,24 декабря 2021
https://kinobar.vip/25383-shoa.html,Шоа,"Документальные, Военный, История",Клод Ланзманн,1985,21 декабря 2021
https://kinobar.vip/23291-lenoks-hill-1-sezon-1-9-seriya.html,Ленокс-Хилл 1 сезон 1-9 серия,"Сериалы, Документальные","Ади Бараш, Рути Шац",2020,17 марта 2021
https://kinobar.vip/23034-billi-aylish-slegka-razmytyy-mir-v1.html,Билли Айлиш: Слегка размытый мир,"Фильмы 2021, Биография, Документальные",Р.Дж. Катлер,2021,6 марта 2021
https://kinobar.vip/22882-avantyuristy-1-sezon-12-vypusk-v2.html,Авантюристы 1 сезон 1-7 выпуск,"Сериалы, Документальные",Савва Савельев,2020,5 марта 2021
https://kinobar.vip/23222-selfi-haos-i-tvorchestvo-v1.html,СЕЛФИ. Хаос и творчество,"Фильмы 2021, Документальные, Российское кино",Анна Гольцева,2021,4 марта 2021
https://kinobar.vip/23193-pele-v1.html,Пеле,"Фильмы 2021, Биография, Документальные, Спорт","Бен Николас, Дэвид Трихорн",2021,2 марта 2021
https://kinobar.vip/23172-inoplanetnye-miry-1-sezon-1-4-seriya-v1.html,Инопланетные миры 1 сезон 1-4 серия,"Сериалы, Фантастика, Документальные","Дэниэл М. Смит, Suzy Boyles, Tim Lambert",2020,26 февраля 2021
https://kinobar.vip/22450-ya-greta-v2.html,Я — Грета,"Биография, Документальные, Фильмы 2020",Нэйтан Гроссман,2020,16 февраля 2021
https://kinobar.vip/23097-dom-pera-kardena-v1.html,Дом Пьера Кардена,"Документальные, Скоро в кино, Фильмы 2019","П. Дэвид Эберсоул, Тодд Хьюз",2019,14 февраля 2021
https://kinobar.vip/23061-koronavirus-sistema-v1.html,Коронавирус: Система,"Документальные, Фильмы 2020",Белгин Инал,2020,11 февраля 2021
https://kinobar.vip/23023-falshivaya-populyarnost-v1.html,Фальшивая популярность,"Фильмы 2021, Документальные, Скоро в кино",Ник Билтон,2021,5 февраля 2021
https://kinobar.vip/23008-mesto-prestupleniya-ischeznovenie-v-otele-sesil-1-sezon-v1.html,Место преступления: исчезновение в отеле «Сесил»,"Сериалы, Документальные, Детектив, Криминал",Джо Берлингер,2021,1 февраля 2021
