link,name,genre,director,year,appearance
https://kinobar.vip/16992-u-nee-drugoe-imya-v3.html,Другое имя,"Драмы, Триллеры, Новинки кино, Российское кино, Фильмы 2022",Вета Гераськина,2022,"Вчера, 12:47"
https://kinobar.vip/24583-mariya.html,Мария. Спасти Москву,"Драмы, Военный, Новинки кино, Российское кино, Фильмы 2021",Вера Сторожева,2021,6 февраля 2022
https://kinobar.vip/25755-iz-moego-okna.html,Из моего окна,"Комедии, Мелодрамы, Драмы, Новинки кино, Фильмы 2022",Марсаль Форес,2022,5 февраля 2022
https://kinobar.vip/24317-chernyy-yaschik.html,Черный ящик,"Фильмы 2021, Драмы, Триллеры, Детектив, Новинки кино",Ян Гозлан,2021,2 февраля 2022
https://kinobar.vip/24044-dom-gucci.html,Дом Gucci,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Ридли Скотт,2021,1 февраля 2022
https://kinobar.vip/24408-alleya-koshmarov.html,Аллея кошмаров,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Гильермо дель Торо,2021,31 января 2022
https://kinobar.vip/25624-odinokiy-volk.html,Одинокий волк,"Драмы, Криминал, Новинки кино, Фильмы 2020",Пол Солет,2020,31 января 2022
https://kinobar.vip/24705-do-samoy-smerti.html,К югу от рая,"Драмы, Боевики, Триллеры, Ужасы, Детектив, Криминал, Новинки кино, Фильмы 2021",Ахарон Кешалес,2021,31 января 2022
https://kinobar.vip/25328-9-prichin-chtoby-zhit.html,"9 причин, чтобы жить","Комедии, Драмы, Новинки кино, Фильмы 2021",Кристоф Барратье,2021,28 января 2022
https://kinobar.vip/25257-myunhen-na-poroge-voyny.html,Мюнхен: На пороге войны,"Фильмы 2021, Драмы, Триллеры, Биография, История, Новинки кино",Кристиан Швохов,2021,24 января 2022
https://kinobar.vip/22876-eterna-1-sezon-v1.html,Этерна: Часть первая,"Фильмы 2021, Мелодрамы, Драмы, Приключения, Фэнтези, Новинки кино, Российское кино",Евгений Невский,2021,23 января 2022
https://kinobar.vip/19940-vechnye-v3.html,Вечные,"Фильмы 2021, Драмы, Боевики, Приключения, Фантастика, Фэнтези, Новинки кино, Фильмы про супергероев марвел и дс",Хлоя Чжао,2021,23 января 2022
https://kinobar.vip/23848-padenie-zamka.html,Падение замка,"Фильмы 2021, Драмы, Боевики, Триллеры, Новинки кино",Дольф Лундгрен,2022,22 января 2022
https://kinobar.vip/20999-proshloy-nochyu-v-soho-v1.html,Прошлой ночью в Сохо,"Фильмы 2021, Драмы, Триллеры, Ужасы, Детектив, Новинки кино",Эдгар Райт,2021,19 января 2022
https://kinobar.vip/25107-rey-donovan-film-v1.html,Рэй Донован: Фильм,"Фильмы 2022, Драмы, Новинки кино",Дэвид Холландер,2022,18 января 2022
https://kinobar.vip/24403-chempion-mira.html,Чемпион мира,"Фильмы 2021, Драмы, Новинки кино, Российское кино",Алексей Сидоров,2021,11 января 2022
https://kinobar.vip/21069-francuzskiy-vestnik-prilozhenie-k-gazete-liberti-kanzas-ivning-san.html,Французский вестник. Приложение к газете,"Комедии, Фильмы 2021, Мелодрамы, Драмы, Новинки кино",Уэс Андерсон,2021,8 января 2022
https://kinobar.vip/23855-poslednyaya-duel.html,Последняя дуэль,"Фильмы 2021, Драмы, История, Новинки кино",Ридли Скотт,2021,8 января 2022
https://kinobar.vip/25082-mother-android.html,Мать/Андроид,"Фильмы 2021, Драмы, Триллеры, Фантастика, Новинки кино",Маттсон Томлин,2021,5 января 2022
https://kinobar.vip/25434-vse-horosho.html,Всё хорошо,"Комедии, Фильмы 2021, Драмы, Новинки кино, Российское кино",Елена Хазанова,2021,4 января 2022
https://kinobar.vip/24144-ne-smotri-vverh.html,Не смотрите наверх,"Комедии, Фильмы 2021, Драмы, Фантастика, Новинки кино",Адам МакКей,2021,28 декабря 2021
https://kinobar.vip/23206-letchik-v1.html,Летчик,"Фильмы 2021, Драмы, Военный, Новинки кино, Российское кино",Ренат Давлетьяров,2021,28 декабря 2021
https://kinobar.vip/25009-byt-rikardo.html,Быть Рикардо,"Фильмы 2021, Драмы, Биография, Новинки кино",Аарон Соркин,2021,26 декабря 2021
https://kinobar.vip/23581-tihiy-omut.html,Тихий омут,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Том МакКарти,2021,25 декабря 2021
https://kinobar.vip/25332-lebedinaya-pesnya.html,Лебединая песня,"Фильмы 2021, Драмы, Фантастика, Новинки кино",Бенджамин Клири,2021,20 декабря 2021
https://kinobar.vip/23497-vestsaydskaya-istoriya.html,Вестсайдская история,"Фильмы 2021, Мелодрамы, Драмы, Мюзикл, Криминал, Новинки кино",Стивен Спилберг,2021,13 декабря 2021
https://kinobar.vip/24852-neproschennaya.html,Непрощённая,"Фильмы 2021, Драмы, Новинки кино",Нора Финшелдт,2021,13 декабря 2021
https://kinobar.vip/24205-korolevskaya-igra.html,Королевская игра,"Фильмы 2021, Драмы, Триллеры, Новинки кино",Филипп Штёльцль,2021,12 декабря 2021
https://kinobar.vip/24645-syad-za-rul-moey-mashiny.html,Сядь за руль моей машины,"Фильмы 2021, Драмы, Новинки кино",Рюсукэ Хамагути,2021,10 декабря 2021
https://kinobar.vip/25128-paranormalnye.html,Паранормальные,"Фильмы 2021, Драмы, Триллеры, Ужасы, Новинки кино",Эскиль Вогт,2021,6 декабря 2021
https://kinobar.vip/23214-vkus-zhizni-v1.html,Вкус жизни,"Фильмы 2021, Мелодрамы, Драмы, Новинки кино",Кристоффер Боэ,2021,4 декабря 2021
https://kinobar.vip/24000-korol-richard.html,Король Ричард,"Фильмы 2021, Драмы, Биография, Спорт, Новинки кино",Рейнальдо Маркус Грин,2021,2 декабря 2021
https://kinobar.vip/24637-milliardy-6-sezon.html,Миллиарды 6 сезон 1-3 серия,"Сериалы, Драмы","Колин Бакси, Нил Бёргер, Джон Дал",2022,6 февраля 2022
https://kinobar.vip/25155-skvoz-sneg-3-sezon.html,Сквозь снег 3 сезон 1-3 серия,"Сериалы, Драмы, Боевики, Триллеры, Фантастика","Кристоф Шреве, Лесли Хоуп, Джеймс Хоуз",2022,6 февраля 2022
https://kinobar.vip/25013-i-prosto-tak-1-sezon-v1.html,И просто так. Секс в большом городе (7 сезон) 1,"Комедии, Сериалы, Мелодрамы, Драмы",Майкл Патрик Кинг,2021,3 февраля 2022
https://kinobar.vip/25243-pozolochennyy-vek-1-sezon.html,Позолоченный век 1 сезон 1-3 серия,"Сериалы, Драмы","Майкл Энглер, Салли Ричардсон-Уитфилд",2021,"Вчера, 17:21"
https://kinobar.vip/25461-uborschica-1-sezon-1-seriya.html,Уборщица 1 сезон 1-5 серия,"Сериалы, Драмы, Триллеры, Криминал, Фильмы 2022","Марисоль Торрес, Милан Чейлов, Стивен ДеПол",2022,"Вчера, 17:21"
