link,name,genre,director,year,appearance
https://kinobar.vip/23905-enkanto.html,Энканто,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Новинки кино","Джаред Буш, Байрон Ховард, Чариз Кастро Смит",2021,26 января 2022
https://kinobar.vip/22876-eterna-1-sezon-v1.html,Этерна: Часть первая,"Фильмы 2021, Мелодрамы, Драмы, Приключения, Фэнтези, Новинки кино, Российское кино",Евгений Невский,2021,23 января 2022
https://kinobar.vip/19940-vechnye-v3.html,Вечные,"Фильмы 2021, Драмы, Боевики, Приключения, Фантастика, Фэнтези, Новинки кино, Фильмы про супергероев марвел и дс",Хлоя Чжао,2021,23 января 2022
https://kinobar.vip/23609-monstry-na-kanikulah-transformaniya.html,Монстры на каникулах 4: Трансформания,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Ужасы, Новинки кино","Дерек Драймон, Дженнифер Клуска",2021,20 января 2022
https://kinobar.vip/25308-doch-korolya.html,Дочь короля,"Фильмы 2022, Боевики, Приключения, Фэнтези, Новинки кино",Шон МакНамара,2022,20 января 2022
https://kinobar.vip/22745-zveropoy-2.html,Зверопой 2,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Новинки кино","Гарт Дженнингс, Кристоф Лурделе",2021,12 января 2022
https://kinobar.vip/20036-liga-monstrov-v4.html,Лига монстров,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Спорт, Новинки кино",Хамиш Грив,2021,12 января 2022
https://kinobar.vip/23186-plyushevyy-bum-v1.html,Плюшевый Бум!,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Фэнтези, Новинки кино, Российское кино",Денис Чернов,2021,17 декабря 2021
https://kinobar.vip/22081-semeyka-addams-2.html,Семейка Аддамс: Горящий тур,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Ужасы, Новинки кино","Грег Тирнан, Конрад Вернон",2021,8 декабря 2021
https://kinobar.vip/21780-karamora.html,Карамора 1 сезон 1-4 серия,"Сериалы, Триллеры, Фэнтези",Данила Козловский,2022,5 февраля 2022
https://kinobar.vip/25744-kosmoboy-3-sezon-1-6-seriya.html,Космобой 3 сезон 1-6 серия,"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Фэнтези","Шон В. Джеффри, Джастин Николс, Дэйв Томас",2022,4 февраля 2022
https://kinobar.vip/25680-legenda-voks-mashiny-1-sezon-1-3-seriya.html,Легенда Вокс Машины 1 сезон 1-6 серия,"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фэнтези",Ан Сон-джин,2022,4 февраля 2022
https://kinobar.vip/25154-dom-s-prislugoy-3-sezon.html,Дом с прислугой 3 сезон 1-3 серия,"Сериалы, Драмы, Триллеры, Фэнтези, Детектив","М. Найт Шьямалан, Нимрод Антал, Ishana Shyamalan",2022,4 февраля 2022
https://kinobar.vip/25733-prizrachnyy-doktor-1-sezon.html,Призрачный доктор 1 сезон,"Комедии, Сериалы, Драмы, Фэнтези, Азиатские сериалы",Пу Сон-чхоль,2022,3 февраля 2022
https://kinobar.vip/24611-zov-ada-1-sezon.html,Зов ада 1 сезон 1-6 серия,"Сериалы, Фэнтези, Ужасы, Азиатские сериалы",Ён Сан-хо,2021,22 ноября 2021
https://kinobar.vip/25007-alye-nebesa-1-sezon-1-16-seriya.html,Алые небеса 1 сезон 1-16 серия,"Сериалы, Мелодрамы, Фэнтези, Азиатские сериалы",Чан Тхэ-ю,2021,12 ноября 2021
https://kinobar.vip/24926-prihodite-v-vedmin-restoran-1-sezon-1-8-seriya.html,Приходите в ведьмин ресторан 1 сезон 1-8 серия,"Сериалы, Фэнтези, Азиатские сериалы","Со Джэ-хён, Ли Су-хён",2021,2 ноября 2021
https://kinobar.vip/24749-moy-sosed-kumiho-1-sezon-1-16-seriya.html,Мой сосед — кумихо 1 сезон 1-16 серия,"Сериалы, Мелодрамы, Фэнтези, Азиатские сериалы",Нам Сон-у,2021,16 октября 2021
https://kinobar.vip/24634-krutaya-nedvizhimost-1-sezon-1-16-seriya.html,Крутая недвижимость 1 сезон 1-16 серия,"Сериалы, Фэнтези, Детектив, Азиатские сериалы",Пак Чин-сок,2021,3 октября 2021
https://kinobar.vip/24496-odnazhdy-razrushenie-postuchalos-v-moyu-dver-1-sezon-1-16-seriya.html,Однажды разрушение постучалось в мою дверь 1,"Сериалы, Мелодрамы, Фэнтези, Азиатские сериалы",Квон Ён-иль,2021,24 сентября 2021
https://kinobar.vip/22250-zombi-detektiv-1-sezon-1-24-seriya-v1.html,Зомби-детектив 1 сезон 1-24 серия,"Комедии, Сериалы, Фэнтези, Детектив, Азиатские сериалы",Щим Джэ-хён,2020,30 октября 2020
https://kinobar.vip/21823-ya-psih-no-eto-normalno-vse-serii-po-poryadku.html,"Я псих, но это нормально (все серии по порядку)","Сериалы, Мелодрамы, Драмы, Фэнтези, Азиатские сериалы",Пак Щин-у,2020,21 сентября 2020
https://kinobar.vip/21691-tan-edinstvennaya-lyubov-1-sezon-1-16-seriya.html,"Тан, единственная любовь (все серии по порядку)","Сериалы, Мелодрамы, Фэнтези, Азиатские сериалы",Ли Джон-соп,2019,5 сентября 2020
https://kinobar.vip/21690-bar-na-kolesah-1-sezon-1-12-seriya.html,Бар на колёсах (все серии по порядку),"Комедии, Сериалы, Мелодрамы, Драмы, Фэнтези, Азиатские сериалы",Чон Чхан-гын,2020,4 сентября 2020
https://kinobar.vip/21810-dar-2-sezon-1-8-seriya-v1.html,Дар 2 сезон 1-8 серия,"Сериалы, Драмы, Фэнтези, Детектив, Турецкие сериалы","Гонендж Уяник, Озан Ачыктан",2020,12 сентября 2020
https://kinobar.vip/25690-angry-birds-letnee-bezumie-1-sezon-1-16-seriya.html,Angry Birds: Летнее безумие 1 сезон 1-16 серия,"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Семейный, Фэнтези",Неизвестно,2022,31 января 2022
https://kinobar.vip/4483-aladdin-v3.html,Аладдин,"Комедии, Мелодрамы, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Walt Disney – подборка лучших мультфильмов, ТОП 250 лучших фильмов по версии КиноПоиска","Рон Клементс, Джон Маскер",1992,26 января 2022
https://kinobar.vip/469-prividenie-v2.html,Привидение,"Мелодрамы, Драмы, Триллеры, Фэнтези, Детектив, ТОП 250 лучших фильмов по версии КиноПоиска",Джерри Цукер,1990,21 января 2022
https://kinobar.vip/25615-volk-kak-ya-1-sezon-1-6-seriya.html,Волк как я 1 сезон 1-6 серия,"Комедии, Сериалы, Мелодрамы, Триллеры, Фэнтези",Эйб Форсайт,2022,20 января 2022
https://kinobar.vip/1088-kuda-privodyat-mechty-v1.html,Куда приводят мечты,"Мелодрамы, Драмы, Фэнтези",Винсент Уорд,1998,9 января 2022
https://kinobar.vip/23877-otkrytie-vedm-3-sezon-0-seriya.html,Открытие ведьм 3 сезон 1-7 серия,"Сериалы, Мелодрамы, Драмы, Фэнтези","Фэррен Блэкберн, Элис Тротон, Сара Уолкер",2021,8 января 2022
https://kinobar.vip/7713-strashnye-skazkii-v1.html,Страшные сказки,"Мелодрамы, Фэнтези, Фильмы 2015",Маттео Гарроне,2015,4 января 2022
https://kinobar.vip/17354-vo-vremya-grozy-v2.html,Во время грозы,"Драмы, Триллеры, Фэнтези, Фильмы 2018",Ориол Паоло,2018,1 февраля 2022
https://kinobar.vip/25570-strazhi-terrakoty.html,Стражи терракоты,"Фильмы 2021, Боевики, Мультфильмы, Фэнтези","Дин Лян, Линь Юнчан",2021,29 января 2022
https://kinobar.vip/25578-vlastelin-kolec-1-sezon.html,Властелин колец 1 сезон,"Сериалы, Драмы, Боевики, Приключения, Фэнтези","Уэйн Йип, Хуан Антонио Байона, Шарлотта Брандстром",2022,20 января 2022
https://kinobar.vip/25449-hilda-i-gornyy-korol.html,Хильда и горный король,"Комедии, Фильмы 2021, Драмы, Приключения, Мультфильмы, Семейный, Фэнтези",Энди Койл,2021,3 января 2022
https://kinobar.vip/25455-vse-zhdut-rozhdestvo-2-lyusi-i-magicheskiy-kristall.html,Все ждут Рождество 2: Люси и магический кристалл,"Приключения, Семейный, Фэнтези, Фильмы 2020",Кристиан Дюэкьер,2020,2 января 2022
https://kinobar.vip/25443-vse-vezde-i-srazu.html,Всё везде и сразу,"Комедии, Фильмы 2022, Приключения, Фантастика, Фэнтези, Скоро в кино","Дэн Кван, Дэниэл Шайнерт",2022,1 января 2022
https://kinobar.vip/25414-nindzya-v-kletochku.html,Ниндзя в клеточку,"Комедии, Боевики, Приключения, Мультфильмы, Семейный, Фэнтези, Фильмы 2018","Торбьорн Кристофферсен, Андерс Маттесен",2018,26 декабря 2021
https://kinobar.vip/25399-doktor-strendzh-i-multivselennaya-bezumiya.html,Доктор Стрэндж и мультивселенная безумия,"Фильмы 2022, Боевики, Приключения, Фантастика, Фэнтези, Ужасы, Скоро в кино, Фильмы про супергероев марвел и дс",Сэм Рэйми,2022,25 декабря 2021
https://kinobar.vip/24312-koleso-vremeni-1-sezon.html,Колесо времени 1 сезон 1-8 серия,"Сериалы, Драмы, Боевики, Приключения, Фэнтези","Ута Бризвитц, Салли Ричардсон-Уитфилд, Уэйн Йип",2021,24 декабря 2021
https://kinobar.vip/24952-genlok-2-sezon-1-seriya.html,Генлок 2 сезон 1-8 серия,"Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Фэнтези",Гари Дж. Хэддок,2021,24 декабря 2021
https://kinobar.vip/24083-ostrov-fantaziy-1-sezon-1-seriya.html,"Остров фантазий 1 сезон 1-9,10 серия","Сериалы, Драмы, Приключения, Фэнтези, Детектив",Адам Кэйн,2021,24 декабря 2021
https://kinobar.vip/24258-nasledie-4-sezon.html,Наследие 4 сезон 1-9 серия,"Сериалы, Драмы, Приключения, Фэнтези, Ужасы, Детектив","Джеффри Дж. Хант, Джеффри Уинг Шотц, Майкл А. Алловиц",2021,17 декабря 2021
https://kinobar.vip/550-zapreschennyy-priem-v2.html,Запрещенный прием,"Боевики, Триллеры, Фэнтези",Зак Снайдер,2011,27 января 2022
https://kinobar.vip/25717-kosmoboy-2-sezon-1-8-seriya.html,Космобой 2 сезон 1-8 серия,"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Фэнтези","Шон В. Джеффри, Джастин Николс, Дэйв Томас",2021,1 февраля 2022
https://kinobar.vip/25706-bezumnyy-bog.html,Безумный Бог,"Фильмы 2021, Мультфильмы, Фэнтези, Ужасы",Фил Типпетт,2021,31 января 2022
https://kinobar.vip/25599-reyting-korolya-1-sezon.html,Рейтинг короля 1 сезон,"Комедии, Сериалы, Мультфильмы, Фэнтези, Аниме",Ёсукэ Хатта,2021,20 января 2022
https://kinobar.vip/25401-prioritet-chudo-yayca-1-sezon-1-12-seriya.html,Приоритет чудо-яйца 1 сезон 1-12 серия,"Сериалы, Драмы, Мультфильмы, Фэнтези, Аниме",Син Вакабаяси,2021,24 декабря 2021
https://kinobar.vip/25262-istrebitel-demonov-poezd-beskonechnyy-1-sezon.html,Истребитель демонов: Поезд «Бесконечный» 1 сезон,"Сериалы, Боевики, Мультфильмы, Фэнтези, Аниме","Харуо Сотодзаки, Синъя Симомура",2021,8 декабря 2021
https://kinobar.vip/25428-sobaki-v-kosmose-1-sezon-1-10-seriya.html,Собаки в космосе 1 сезон 1-10 серия,"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Фэнтези","Monica Davila, Edward Chee, Джеймс Зур",2021,27 декабря 2021
https://kinobar.vip/24683-nespravedlivost-bogi-sredi-nas.html,Несправедливость: Боги среди нас,"Фильмы 2021, Драмы, Боевики, Приключения, Мультфильмы, Фантастика, Фэнтези",Мэтт Питерс,2021,13 декабря 2021
https://kinobar.vip/25288-drakoniy-zhemchug-evolyuciya.html,Драконий жемчуг: Эволюция,"Боевики, Приключения, Триллеры, Фантастика, Фэнтези",Джеймс Вонг,2009,12 декабря 2021
