link,name,genre,director,year,appearance
https://kinobar.vip/496-terminator-v2.html,Терминатор,"Боевики, Фантастика, Гоблинский Перевод",Джеймс Кэмерон,1984,2 февраля 2022
https://kinobar.vip/1884-svyatye-iz-bundoka-svyatye-iz-truschob-v1.html,Святые из Бундока / Святые из трущоб,"Комедии, Драмы, Боевики, Триллеры, Криминал, Гоблинский Перевод, Фильмы про бандюг и мафиозников",Трой Даффи,1999,26 ноября 2021
https://kinobar.vip/321-sem-psihopatov-1-v3.html,Семь психопатов,"Комедии, Криминал, Гоблинский Перевод, Фильмы про ограбления, аферы и мошенники",Мартин МакДона,2012,25 сентября 2021
https://kinobar.vip/987-bolshoy-lebovski-v1.html,Большой Лебовски,"Комедии, Криминал, Гоблинский Перевод","Джоэл Коэн, Итан Коэн",1998,16 сентября 2021
https://kinobar.vip/21740-otryad-amerika-vsemirnaya-policiya.html,Отряд «Америка»: Всемирная полиция,"Комедии, Боевики, Гоблинский Перевод",Трей Паркер,2004,10 сентября 2020
https://kinobar.vip/16659-bezumnyy-maks-2-voin-dorogi-v6.html,Безумный Макс 2: Воин дороги,"Боевики, Приключения, Триллеры, Фантастика, Гоблинский Перевод",Джордж Миллер,1981,6 декабря 2018
https://kinobar.vip/14751-rembo-pervaya-krov2-v4.html,Рэмбо: Первая кровь 2,"Боевики, Приключения, Триллеры, Военный, Гоблинский Перевод",Джордж П. Косматос,1985,8 февраля 2018
https://kinobar.vip/11109-vyshibalaa2-v5.html,Вышибала: Эпический замес,"Комедии, Спорт, Гоблинский Перевод, Фильмы 2017",Джей Барушель,2017,16 января 2018
https://kinobar.vip/13446-antibumer-v3.html,Антибумер,"Комедии, Российское кино, Гоблинский Перевод","Петр Буслов, Дмитрий Пучков",2004,25 августа 2017
https://kinobar.vip/8821-plohoy-santa2-v4.html,Плохой Санта 2,"Комедии, Драмы, Криминал, Гоблинский Перевод, Фильмы 2016, Фильмов про Новый год и Рождество",Марк Уотерс,2016,24 декабря 2016
https://kinobar.vip/9615-vzvod-v4.html,Взвод,"Драмы, Военный, Гоблинский Перевод, Фильмы про войну",Оливер Стоун,1986,1 мая 2016
https://kinobar.vip/9039-celnometallicheskaya-obolochka-v4.html,Цельнометаллическая оболочка,"Драмы, Военный, Гоблинский Перевод, Фильмы про войну",Стэнли Кубрик,1987,3 февраля 2016
https://kinobar.vip/8466-vodnyy-mir-v4.html,Водный мир,"Боевики, Приключения, Фантастика, Гоблинский Перевод, Фильмы про катастрофы и апокалипсис",Кевин Рейнольдс,1995,30 октября 2015
https://kinobar.vip/8395-harley-devidson-i-kovboy-malboro-v3.html,Харлей Дэвидсон и ковбой Мальборо,"Драмы, Боевики, Триллеры, Криминал, Гоблинский Перевод",Саймон Уинсер,1991,15 октября 2015
https://kinobar.vip/7488-supersemeyka-v4.html,Суперсемейка,"Боевики, Приключения, Мультфильмы, Семейный, Гоблинский Перевод, Walt Disney – подборка лучших мультфильмов",Брэд Бёрд,2004,4 июня 2015
https://kinobar.vip/7299-pes-prizrak-put-samuraya-v4.html,Пес-призрак: Путь самурая,"Драмы, Боевики, Триллеры, Криминал, Гоблинский Перевод, Фильмы про боевые искусства и драки",Джим Джармуш,1999,12 мая 2015
https://kinobar.vip/7264-rasplata-v3.html,Расплата,"Драмы, Боевики, Триллеры, Криминал, Гоблинский Перевод",Брайан Хелгеленд,1999,7 мая 2015
https://kinobar.vip/5931-yuzhnyy-park-bolshoy-dlinnyy-neobrezannyy-v3.html,"Южный Парк: Большой, длинный, необрезанный","Комедии, Мультфильмы, Мюзикл, Гоблинский Перевод",Трей Паркер,1999,7 января 2015
https://kinobar.vip/5527-lednikovyy-period-v4.html,Ледниковый период,"Комедии, Приключения, Мультфильмы, Семейный, Гоблинский Перевод, ТОП 250 лучших фильмов по версии КиноПоиска","Крис Уэдж, Карлос Салдана",2002,26 ноября 2014
https://kinobar.vip/5131-zatoychi-zatoichi-v1.html,Затойчи / Затоiчи,"Комедии, Драмы, Боевики, Криминал, Гоблинский Перевод",Такеши Китано,2003,20 октября 2014
https://kinobar.vip/2657-zaboynyy-revansh-v1.html,Забойный реванш,"Комедии, Спорт, Гоблинский Перевод, Фильмы 2013, Фильмы про боевые искусства и драки",Питер Сигал,2013,18 февраля 2014
https://kinobar.vip/858-gryazz-v1.html,Грязь,"Комедии, Драмы, Криминал, Гоблинский Перевод, Фильмы 2013",Джон С. Бейрд,2013,23 января 2014
https://kinobar.vip/3048-odnazhdy-v-irlandii-v1.html,Однажды в Ирландии,"Комедии, Триллеры, Криминал, Гоблинский Перевод",Джон Майкл МакДона,2011,27 декабря 2013
https://kinobar.vip/2224-malavita-goblin-v1.html,Малавита [Гоблин],"Комедии, Боевики, Криминал, Гоблинский Перевод",Люк Бессон,2013,11 ноября 2013
https://kinobar.vip/2273-malchishnik-chast-iii-goblin-v2.html,Мальчишник: Часть III [Гоблин],"Комедии, Гоблинский Перевод",Тодд Филлипс,2013,28 сентября 2013
https://kinobar.vip/1960-paranormalnoe-yavlenie-goblin-v1.html,Паранормальное явление [Гоблин],"Ужасы, Детектив, Гоблинский Перевод",Орен Пели,2007,18 августа 2013
https://kinobar.vip/1867-dvoynoy-kopec-goblin-v1.html,Двойной КОПец [Гоблин],"Комедии, Боевики, Криминал, Гоблинский Перевод",Кевин Смит,2010,10 августа 2013
https://kinobar.vip/1810-ubit-billa-goblin-v1.html,Убить Билла [Гоблин],"Боевики, Триллеры, Криминал, Гоблинский Перевод",Квентин Тарантино,2003,6 августа 2013
https://kinobar.vip/1571-bleyd-v2.html,Блэйд,"Боевики, Фэнтези, Ужасы, Гоблинский Перевод, Фильмы про вампиров и оборотней , Фильмы про супергероев марвел и дс",Стивен Норрингтон,1998,20 июля 2013
https://kinobar.vip/1570-bleyd2-goblin-v1.html,Блэйд 2 [Гоблин],"Боевики, Триллеры, Фэнтези, Ужасы, Гоблинский Перевод",Гильермо дель Торо,2002,20 июля 2013
https://kinobar.vip/1569-bleyd-v2.html,Блэйд [Гоблин],"Боевики, Фэнтези, Ужасы, Гоблинский Перевод",Стивен Норрингтон,1998,20 июля 2013
https://kinobar.vip/1541-hellboy-geroy-iz-pekla-v2.html,Хеллбой: Герой из пекла,"Боевики, Приключения, Фантастика, Фэнтези, Гоблинский Перевод",Гильермо дель Торо,2004,19 июля 2013
https://kinobar.vip/1474-zheleznaya-hvatka-goblin-v1.html,Железная хватка [Гоблин],"Драмы, Приключения, Вестерны, Гоблинский Перевод","Итан Коэн, Джоэл Коэн",2010,16 июля 2013
https://kinobar.vip/1353-ot-zakata-do-rassveta-goblin-v2.html,От заката до рассвета [Гоблин],"Комедии, Боевики, Триллеры, Фэнтези, Ужасы, Криминал, Гоблинский Перевод, Фильмы про вампиров и оборотней",Роберт Родригес,1995,12 июля 2013
https://kinobar.vip/1318-apokalipsis-segodnya-goblin-v1.html,Апокалипсис сегодня [Гоблин],"Драмы, Военный, Гоблинский Перевод",Френсис Форд Коппола,1979,10 июля 2013
https://kinobar.vip/1299-hischnik-v1.html,Хищник,"Боевики, Приключения, Фантастика, Гоблинский Перевод, Фильмы про НЛО",Джон МакТирнан,1987,9 июля 2013
https://kinobar.vip/1288-voron-goblin-v1.html,Ворон [Гоблин],"Боевики, Триллеры, Фэнтези, Гоблинский Перевод",Алекс Пройас,1994,9 июля 2013
https://kinobar.vip/1240-zloveschie-mertvecy-v2.html,Зловещие мертвецы,"Ужасы, Гоблинский Перевод, Фильмы про зомби",Сэм Рэйми,1981,7 июля 2013
https://kinobar.vip/1198-plohoy-santa-goblin-v1.html,Плохой Санта [Гоблин],"Комедии, Драмы, Криминал, Гоблинский Перевод, Фильмов про Новый год и Рождество",Терри Цвигофф,2003,5 июля 2013
https://kinobar.vip/1072-obitel-zla-goblin-v1.html,Обитель зла [Гоблин],"Боевики, Фантастика, Ужасы, Гоблинский Перевод",Пол У. С. Андерсон,2002,1 июля 2013
https://kinobar.vip/872-ochen-plohaya-uchilka-v1.html,Очень плохая училка [Гоблин],"Комедии, Гоблинский Перевод",Джейк Кэздан,2011,24 июня 2013
https://kinobar.vip/721-shvatka-v3.html,Схватка,"Драмы, Боевики, Триллеры, Криминал, Гоблинский Перевод, ТОП 250 лучших фильмов по версии КиноПоиска",Майкл Манн,1995,19 июня 2013
https://kinobar.vip/547-beshenye-psy-v3.html,Бешеные псы,"Триллеры, Криминал, Гоблинский Перевод, Фильмы про бандюг и мафиозников, Фильмы про ограбления, аферы и мошенники, ТОП 250 лучших фильмов по версии КиноПоиска",Квентин Тарантино,1991,15 июня 2013
https://kinobar.vip/497-terminator-2-sudnyy-den-v3.html,Терминатор 2: Судный день,"Боевики, Триллеры, Фантастика, Гоблинский Перевод, ТОП 250 лучших фильмов по версии КиноПоиска",Джеймс Кэмерон,1991,14 июня 2013
