link,name,genre,director,year,appearance
https://kinobar.vip/25257-myunhen-na-poroge-voyny.html,Мюнхен: На пороге войны,"Фильмы 2021, Драмы, Триллеры, Биография, История, Новинки кино",Кристиан Швохов,2021,24 января 2022
https://kinobar.vip/23855-poslednyaya-duel.html,Последняя дуэль,"Фильмы 2021, Драмы, История, Новинки кино",Ридли Скотт,2021,8 января 2022
https://kinobar.vip/24670-osnovanie-osman-3-sezon-1-seriya.html,Основание: Осман 3 сезон 1-16 серия,"Сериалы, Драмы, Боевики, Приключения, Военный, История, Турецкие сериалы","Фетхи Байрам, Метин Гюнай, Ахмет Йильмаз",2021,5 февраля 2022
https://kinobar.vip/14892-tar-zaman-v4.html,Тар Заман 1-12 серия,"Сериалы, Драмы, История, Сериалы с Каз.ТВ, Фильмы 2017",М?рат Бидосов,2017,11 апреля 2018
https://kinobar.vip/10031-vozrozhdenie-ertugrul-zhauzhurek-ertugryl-2-sezon-v1.html,Возрождение: Эртугрул / Жаужурек Ертугрыл 2 сезон,"Сериалы, Драмы, Боевики, История, Сериалы с Каз.ТВ, Турецкие сериалы","Метин Гюнай, Хакан Арслан, Akif Özkan",2014,2 июля 2016
https://kinobar.vip/6077-z1201lym-1179yz-zulym-kyz-v1.html,"Зұлым қыз / Зулым кыз 6,7,8 серия","Сериалы, Мелодрамы, Драмы, История, Сериалы с Каз.ТВ, Азиатские сериалы",Джонг-Чан Но,2013,15 января 2015
https://kinobar.vip/22712-koronovannyy-shut-vse-serii-po-poryadku.html,Коронованный шут (все серии по порядку),"Сериалы, Драмы, История, Азиатские сериалы",Ким Хи-вон,2019,21 декабря 2020
https://kinobar.vip/21959-mstitel-v-maske-vse-serii-po-poryadku.html,Мститель в маске (все серии по порядку),"Сериалы, Драмы, Боевики, История, Азиатские сериалы","Юн Сон-щик, Чха Ён-хун",2012,5 октября 2020
https://kinobar.vip/25372-alp-arslan-velikiy-seldzhuk-1-sezon.html,Алп-Арслан: Великий Сельджук 1 сезон,"Сериалы, Боевики, Военный, История, Турецкие сериалы",Sedat Inci,2021,20 декабря 2021
https://kinobar.vip/25261-legenda-1-sezon.html,Легенда 1 сезон,"Сериалы, Боевики, Военный, История, Турецкие сериалы",Эмир Кхалильзаде,2021,8 декабря 2021
https://kinobar.vip/25190-probuzhdenie-velikie-seldzhuki-1-sezon-1-34-seriya.html,Пробуждение: Великие Сельджуки 1 сезон 1-34 серия,"Сериалы, Драмы, Биография, Военный, История, Турецкие сериалы","Sedat Inci, Эмре Конук",2020,1 декабря 2021
https://kinobar.vip/24837-bratya-barbarossa-1-sezon.html,Братья Барбаросса 1 сезон,"Сериалы, Боевики, Приключения, Военный, История, Турецкие сериалы","Адель Адиб, Доган Юмит Караджа",2021,25 октября 2021
https://kinobar.vip/24665-odnazhdy-na-kipre-1-sezon.html,Однажды на Кипре 1 сезон,"Сериалы, Боевики, История, Турецкие сериалы",Хакан Инан,2021,8 октября 2021
https://kinobar.vip/24641-yeshilcham-1-sezon-1-10-seriya.html,Йешильчам 1 сезон 1-10 серия,"Сериалы, Мелодрамы, Драмы, История, Турецкие сериалы",Чаган Ырмак,2021,4 октября 2021
https://kinobar.vip/24538-vysshee-1-sezon.html,Высшее 1 сезон,"Сериалы, История, Турецкие сериалы",Доган Юмит Караджа,2021,28 сентября 2021
https://kinobar.vip/22083-osnovanie-osman-2-sezon-1-seriya-v2.html,Основание: Осман 2 сезон 1-37 серия,"Сериалы, Драмы, Боевики, Приключения, Военный, История, Турецкие сериалы","Фетхи Байрам, Метин Гюнай, Ахмет Йильмаз",2020,25 июня 2021
https://kinobar.vip/17048-prava-na-prestol-abdulhamid-vse-serii-po-poryadku-v8.html,Права на престол Абдулхамид (все серии по порядку),"Сериалы, Драмы, Боевики, История, Турецкие сериалы","Эмре Конук, Сердар Акар",2017,2 июня 2021
https://kinobar.vip/19324-osnovanie-osman-1-sezon-12-seriya-v10-v2.html,Основание Осман 1 сезон 1-27 серия,"Сериалы, Драмы, Боевики, Приключения, Военный, История, Турецкие сериалы","Фетхи Байрам,Метин Гюнай,Ахмет Йильмаз",2019,26 июня 2020
https://kinobar.vip/25614-krasnyy-manzhet-1-sezon-1-17-seriya.html,Красный манжет 1 сезон 1-17 серия,"Сериалы, Мелодрамы, Биография, История, Азиатские сериалы",Чон Джи-ин,2021,20 января 2022
https://kinobar.vip/24513-vikingi-valhalla-1-sezon.html,Викинги: Вальхалла 1 сезон,"Сериалы, Мелодрамы, Драмы, Боевики, Военный, История","Стивен Ст. Леджер, Ханна Куинн, Нильс Арден Оплев",2021,18 января 2022
https://kinobar.vip/5386-piraty-v1.html,Пираты,"Комедии, Приключения, История, Фильмы 2014",Seok-hoon Lee,2014,17 декабря 2021
https://kinobar.vip/25759-onoda.html,Онода,"Драмы, Биография, История, Фильмы 2021",Артур Харари,2021,3 февраля 2022
https://kinobar.vip/25567-zhenschiny-dvizheniya-1-sezon.html,Женщины движения 1 сезон,"Сериалы, Драмы, Биография, История","Джули Дэш, Тина Мэбри, Кейси Леммонс",2022,15 января 2022
https://kinobar.vip/25485-suvorov-velikoe-puteshestvie.html,Суворов: Великое путешествие,"Фильмы 2022, Приключения, Мультфильмы, Биография, История, Скоро в кино, Российское кино","Сергей Антонов, Виктор Стрельченко",2022,10 января 2022
https://kinobar.vip/25264-komandir-singh.html,Командир Сингх,"Фильмы 2021, Драмы, Биография, История, Криминал",Шуджит Сиркар,2021,9 декабря 2021
https://kinobar.vip/25195-krylya-nad-berlinom.html,Крылья над Берлином,"Фильмы 2022, Мелодрамы, Биография, История, Скоро в кино, Российское кино",Константин Буслов,2022,3 декабря 2021
https://kinobar.vip/24165-velikaya-2-sezon.html,Великая 2 сезон 1-10 серия,"Комедии, Сериалы, Биография, История","Колин Бакси, Берт, Кэти Эллвуд",2021,19 ноября 2021
https://kinobar.vip/23913-iskushenie.html,Искушение,"Фильмы 2021, Мелодрамы, Драмы, Биография, История",Пол Верховен,2021,11 ноября 2021
https://kinobar.vip/24373-koshachi-miry-luisa-ueyna.html,Кошачьи миры Луиса Уэйна,"Фильмы 2021, Драмы, Биография, История, Новинки кино",Уилл Шарп,2021,4 ноября 2021
https://kinobar.vip/23842-glaza-temmi-fey.html,Глаза Тэмми Фэй,"Фильмы 2021, Драмы, Биография, История",Майкл Шоуолтер,2021,3 ноября 2021
https://kinobar.vip/16098-korol-vne-zakona-v2.html,Король вне закона,"Драмы, Боевики, Биография, История, Фильмы 2018",Дэвид Маккензи,2018,2 ноября 2021
https://kinobar.vip/3528-neslomleennyy-v5.html,Несломленный,"Драмы, Боевики, Биография, Военный, История, Спорт, Фильмы 2014, Фильмы, основанные на реальных событиях",Анджелина Джоли,2014,13 октября 2021
https://kinobar.vip/7864-v-centre-vnimaniya-v1.html,В центре внимания,"Драмы, Триллеры, Биография, История, Фильмы 2015, Фильмы, основанные на реальных событиях",Том МакКарти,2015,21 сентября 2021
https://kinobar.vip/24456-obgonyaya-vremya-1-sezon-1-4-seriya.html,Обгоняя время 1 сезон 1-4 серия,"Сериалы, Драмы, Биография, История",Леонид Пляскин,2018,20 сентября 2021
https://kinobar.vip/24051-skolko-stoit-zhizn.html,Сколько стоит жизнь?,"Драмы, Биография, История, Фильмы 2020",Сара Коланджело,2020,3 сентября 2021
https://kinobar.vip/7094-zateryannyy-gorodz-1-v1.html,Затерянный город Z,"Драмы, Боевики, Приключения, Биография, История, Фильмы 2016",Джеймс Грэй,2016,2 сентября 2021
https://kinobar.vip/726-korol-govorit-v3.html,Король говорит!,"Драмы, Биография, История, Мотивирующие фильмы, ТОП 250 лучших фильмов по версии КиноПоиска",Том Хупер,2010,1 сентября 2021
https://kinobar.vip/15070-taksist-v3.html,Таксист,"Драмы, Биография, История, Фильмы 2017",Чан Хун,2017,22 августа 2021
https://kinobar.vip/24116-sher-shah.html,Шер-Шах,"Фильмы 2021, Боевики, Биография, Военный, История",Вишувардхан,2021,16 августа 2021
https://kinobar.vip/931-hrabroe-serdce-v2.html,Храброе сердце,"Драмы, Боевики, Биография, Военный, История, ТОП 250 лучших фильмов по версии КиноПоиска",Мэл Гибсон,1995,27 июня 2021
https://kinobar.vip/9427-osnovatel-1-v2.html,Основатель,"Драмы, Биография, История, Фильмы 2016, Фильмы, основанные на реальных событиях, Мотивирующие фильмы, Фильмы про бизнес",Джон Ли Хэнкок,2016,24 июня 2021
https://kinobar.vip/20345-soprotivlenie-v5.html,Сопротивление,"Драмы, Биография, Военный, История, Новинки кино, Фильмы 2020",Хонатан Якубович,2020,3 июня 2021
https://kinobar.vip/87-kon-tiki-v2.html,Кон-Тики,"Приключения, Биография, История","Хоаким Роннинг, Эспен Сандберг",2012,31 мая 2021
https://kinobar.vip/25383-shoa.html,Шоа,"Документальные, Военный, История",Клод Ланзманн,1985,21 декабря 2021
https://kinobar.vip/22427-proschanie-so-stalinym-v1.html,Прощание со Сталиным,"Документальные, История, Фильмы 2019",Сергей Лозница,2019,20 ноября 2020
https://kinobar.vip/21637-oni-nikogda-ne-stanut-starshe-v1.html,Они никогда не станут старше,"Документальные, Военный, История, Фильмы 2018",Питер Джексон,2018,29 августа 2020
https://kinobar.vip/16175-zhenschina-idet-vperedi-v1.html,"Женщина, идущая впереди","Драмы, Биография, Вестерны, История, Фильмы 2017",Сюзанна Уайт,2017,9 сентября 2018
https://kinobar.vip/15749-sladostnyy-kray-v4.html,Сладостный край,"Драмы, Приключения, Триллеры, Вестерны, История, Криминал, Фильмы 2017",Уорвик Торнтон,2017,27 июня 2018
https://kinobar.vip/15590-na-zapad-vse-serii-po-poryadku-v1.html,На Запад (все серии по порядку),"Сериалы, Мелодрамы, Драмы, Приключения, Вестерны, История","Роберт Дорнхельм, Серджо Мимика-Геззан, Джереми Подесва",2005,2 июня 2018
https://kinobar.vip/15426-hetfildy-i-makkoi-vse-serii-po-poryadku-v1.html,Хэтфилды и МакКои (все серии по порядку),"Сериалы, Мелодрамы, Драмы, Военный, Вестерны, История",Кевин Рейнольдс,2012,8 мая 2018
https://kinobar.vip/15384-nefritovyy-kulon-v1.html,Нефритовый кулон,"Драмы, Вестерны, История, Фильмы 2017",По-Чин Леонг,2017,1 мая 2018
https://kinobar.vip/15264-dedvud-vse-serii-po-poryadku-v4.html,Дедвуд (все серии по порядку),"Сериалы, Драмы, Вестерны, История, Криминал","Эдвард Бьянчи, Даниэль Минахан, Дэвис Гуггенхайм",2004,19 апреля 2018
https://kinobar.vip/12496-legenda-o-bene-holle-v1.html,Легенда о Бене Холле,"Драмы, Боевики, Биография, Вестерны, История, Фильмы 2016",Мэттью Холмс,2016,8 мая 2017
