link,name,genre,director,year,appearance
https://kinobar.vip/25584-aferist-iz-tinder.html,Аферист из Tinder,"Документальные, Криминал, Новинки кино, Фильмы 2022",Фелисити Моррис,2022,4 февраля 2022
https://kinobar.vip/24044-dom-gucci.html,Дом Gucci,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Ридли Скотт,2021,1 февраля 2022
https://kinobar.vip/24408-alleya-koshmarov.html,Аллея кошмаров,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Гильермо дель Торо,2021,31 января 2022
https://kinobar.vip/25624-odinokiy-volk.html,Одинокий волк,"Драмы, Криминал, Новинки кино, Фильмы 2020",Пол Солет,2020,31 января 2022
https://kinobar.vip/24705-do-samoy-smerti.html,К югу от рая,"Драмы, Боевики, Триллеры, Ужасы, Детектив, Криминал, Новинки кино, Фильмы 2021",Ахарон Кешалес,2021,31 января 2022
https://kinobar.vip/23832-tayna-sen-trope.html,Тайна Сен-Тропе,"Комедии, Фильмы 2021, Детектив, Криминал, Новинки кино",Николя Бенаму,2021,8 января 2022
https://kinobar.vip/18404-bumerang-v4.html,БУМЕРанг,"Комедии, Криминал, Новинки кино, Российское кино, Фильмы 2020",Петр Буслов,2020,4 января 2022
https://kinobar.vip/23581-tihiy-omut.html,Тихий омут,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Том МакКарти,2021,25 декабря 2021
https://kinobar.vip/23497-vestsaydskaya-istoriya.html,Вестсайдская история,"Фильмы 2021, Мелодрамы, Драмы, Мюзикл, Криминал, Новинки кино",Стивен Спилберг,2021,13 декабря 2021
https://kinobar.vip/22283-hellouin-ubivaet.html,Хэллоуин убивает,"Фильмы 2021, Триллеры, Ужасы, Криминал, Новинки кино",Дэвид Гордон Грин,2021,9 декабря 2021
https://kinobar.vip/25531-restoran-po-ponyatiyam-1-sezon.html,Ресторан по понятиям 1 сезон 1-7 серия,"Комедии, Сериалы, Криминал",Сарик Андреасян,2021,"Вчера, 03:48"
https://kinobar.vip/25461-uborschica-1-sezon-1-seriya.html,Уборщица 1 сезон 1-5 серия,"Сериалы, Драмы, Триллеры, Криминал, Фильмы 2022","Марисоль Торрес, Милан Чейлов, Стивен ДеПол",2022,"Вчера, 17:21"
https://kinobar.vip/13476-bezopasnost-1-sezon-v1.html,Безопасность 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Детектив, Криминал","Никита Высоцкий, Илья Лебедев",2017,7 февраля 2022
https://kinobar.vip/24268-vlast-v-nochnom-gorode-kniga-vtoraya-prizrak-2-sezon.html,Власть в ночном городе. Книга вторая: Призрак 2,"Сериалы, Драмы, Криминал","Эрнан Отаньо, Марисоль Торрес, Энтони Хемингуэй",2021,6 февраля 2022
https://kinobar.vip/25736-vlast-v-nochnom-gorode-kniga-chetvertaya-sila-1-sezon.html,Власть в ночном городе. Книга четвёртая: Сила 1,"Сериалы, Драмы, Криминал","Шена Стейн, Деон Тейлор, Барт Венрич",2022,6 февраля 2022
https://kinobar.vip/25769-milicioner-s-rublevki-2-sezon.html,Милиционер с Рублёвки 2 сезон,"Комедии, Сериалы, Криминал","Полина Ануфриева, Илья Куликов",2022,6 февраля 2022
https://kinobar.vip/25763-marokkanskaya-mafiya-4-sezon-12-seriya.html,"Марокканская мафия 4 сезон 1,2 серия","Сериалы, Криминал","Victor D. Ponten, Бобо Боерманс, Giancarlo Sanchez",2022,6 февраля 2022
https://kinobar.vip/25506-kogti-4-sezon-1-6-seriya.html,Когти 4 сезон 1-10 серия,"Комедии, Сериалы, Драмы, Криминал","Дэйл Штерн, Джеми Трэвис, Ховард Дойч",2021,5 февраля 2022
https://kinobar.vip/25753-v-gorode-ubiystv-1-sezon-1-6-seriya.html,В городе убийств 1 сезон 1-6 серия,"Комедии, Сериалы, Детектив, Криминал","Бреннан Шрофф, Иэн Моррис",2022,4 февраля 2022
https://kinobar.vip/25720-pod-podozreniem-1-sezon.html,"Под подозрением 1 сезон 1,2 серия","Сериалы, Драмы, Триллеры, Криминал","Крис Лонг, Стефан Шварц",2022,4 февраля 2022
https://kinobar.vip/25760-kolco-1-sezon-1-19-seriya.html,Кольцо 1 сезон 1-19 серия,"Сериалы, Драмы, Боевики, Криминал, Турецкие сериалы","Волкан Коджатюрк, Башак Сойсал, Сюлейман Мерт Оздемир",2019,3 февраля 2022
https://kinobar.vip/24036-betvumen-3-sezon.html,Бэтвумен 3 сезон 1-11 серия,"Сериалы, Драмы, Боевики, Приключения, Фантастика, Криминал","Холли Дэйл, Карл Ситон, Майкл А. Алловиц",2021,3 февраля 2022
https://kinobar.vip/24033-fbr-4-sezon.html,ФБР 4 сезон 1-12 серия,"Сериалы, Боевики, Триллеры, Детектив, Криминал","Алекс Чаппл, Жан Де Сегонзак, Стивен Серджик",2021,2 февраля 2022
https://kinobar.vip/24506-fbr-za-granicey-1-sezon-1-seriya.html,ФБР: За границей 1 сезон 1-11 серия,"Сериалы, Драмы, Криминал",Майкл Кэтлман,2021,2 февраля 2022
https://kinobar.vip/24265-fbr-samye-razyskivaemye-prestupniki-3-sezon.html,ФБР: Самые разыскиваемые преступники 3 сезон 1-12,"Сериалы, Драмы, Боевики, Триллеры, Детектив, Криминал","Кен Джиротти, Джим МакКэй, Фред Бернер",2021,2 февраля 2022
https://kinobar.vip/25320-i-snova-zdravstvuyte-1-sezon.html,"И снова здравствуйте! 1 сезон 1,2 серия","Комедии, Сериалы, Криминал",Егор Чичканов,2022,2 февраля 2022
https://kinobar.vip/25722-molodoy-vallander-2-sezon.html,Молодой Валландер 2 сезон,"Сериалы, Драмы, Триллеры, Детектив, Криминал","Оле Эндресен, Йенс Йонссон",2022,2 февраля 2022
https://kinobar.vip/24194-sheker-2-sezon-1-4-seriya.html,SHEKER 2 сезон,"Сериалы, Драмы, Триллеры, Криминал, Сериалы с Каз.ТВ",Aitore,2021,28 августа 2021
https://kinobar.vip/24193-sheker-1-sezon-1-8-seriya.html,SHEKER 1 сезон 1-8 серия,"Сериалы, Драмы, Триллеры, Криминал, Сериалы с Каз.ТВ",Aitore,2021,28 августа 2021
https://kinobar.vip/24190-pacanskie-istorii-1-sezon-1-10-seriya.html,Пацанские истории 1 сезон 1-10 серия,"Комедии, Сериалы, Приключения, Криминал, Сериалы с Каз.ТВ",Нурсултан Джумабеков,2019,28 августа 2021
https://kinobar.vip/23718-serzhan-bratan-1-sezon-1-12-seriya.html,Сержан Братан / Serjan Bratan 1 сезон 1-13 серия,"Сериалы, Криминал, Сериалы с Каз.ТВ",Алишер Утев,2021,23 июня 2021
https://kinobar.vip/6682-neslomlennyy.html,"Несломленный 4,5,6 серия","Сериалы, Драмы, Криминал, Сериалы с Каз.ТВ",ТК КТК,2015,28 февраля 2015
https://kinobar.vip/25418-odin-obychnyy-den-1-sezon-1-8-seriya.html,Один обычный день 1 сезон 1-8 серия,"Сериалы, Детектив, Криминал, Азиатские сериалы",Ли Мён-у,2021,26 декабря 2021
https://kinobar.vip/24802-himera-1-sezon.html,Химера 1 сезон,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ким До-хун,2021,22 октября 2021
https://kinobar.vip/24675-frik-1-sezon-1-16-seriya.html,Фрик 1 сезон 1-16 серия,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Щим На-ён,2021,9 октября 2021
https://kinobar.vip/24573-vinchenco-1-sezon-1-20-seriya.html,Винченцо 1 сезон 1-20 серия,"Комедии, Сериалы, Драмы, Криминал, Азиатские сериалы",Ким Хи-вон,2021,30 сентября 2021
https://kinobar.vip/24504-mysh-1-sezon.html,Мышь 1 сезон,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы","Кан Чхор-у, Чхве Джун-бэ",2021,25 сентября 2021
https://kinobar.vip/23922-dyavolskiy-sudya-1-sezon-1-4-seriya.html,Дьявольский судья 1 сезон 1-16 серия,"Сериалы, Боевики, Криминал, Азиатские сериалы",Чхве Джон-гю,2021,23 августа 2021
https://kinobar.vip/22859-iz-gryazi-v-knyazi-1-sezon-1-32-seriya-v1.html,"Из грязи в князи 1 сезон 1-39,40 серия","Комедии, Сериалы, Криминал, Азиатские сериалы",Квак Чон-хван,2020,25 января 2021
https://kinobar.vip/22552-uroboros-vse-serii-po-poryadku.html,Уроборос (все серии по порядку),"Сериалы, Драмы, Боевики, Детектив, Криминал, Азиатские сериалы","Исии Ясухару, Даисукэ Ямамуро, Кацухико Икэда",2015,6 декабря 2020
https://kinobar.vip/22340-cvetok-zla-vse-serii-po-poryadku-v1.html,Цветок зла (все серии по порядку),"Сериалы, Мелодрамы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ким Чхоль-гю,2020,12 ноября 2020
https://kinobar.vip/22051-uvazhaemyy-sudya-vse-serii-po-poryadku.html,Уважаемый судья (все серии по порядку),"Сериалы, Драмы, Детектив, Криминал, Азиатские сериалы",Пу Сон-чхоль,2018,12 октября 2020
https://kinobar.vip/21822-kurosagi-vse-serii-po-poryadku.html,Куросаги (все серии по порядку),"Сериалы, Мелодрамы, Драмы, Боевики, Криминал, Азиатские сериалы","Сюнъити Хирано, Исии Ясухару",2006,20 сентября 2020
https://kinobar.vip/25598-uchitel-12-sezon.html,"Учитель 1,2 сезон","Сериалы, Драмы, Триллеры, Криминал, Турецкие сериалы",Корай Керимоглу,2020,20 января 2022
https://kinobar.vip/25400-tri-kurusha-1-sezon.html,Три куруша 1 сезон,"Сериалы, Драмы, Боевики, Криминал, Турецкие сериалы",Синан Озтюрк,2021,24 декабря 2021
https://kinobar.vip/24748-fatma-1-sezon-1-6-seriya.html,Фатма 1 сезон 1-6 серия,"Сериалы, Драмы, Триллеры, Криминал, Турецкие сериалы",Ozer Feyzioglu,2021,16 октября 2021
https://kinobar.vip/24475-beda-na-golovu-1-sezon-1-13-seriya.html,Беда на голову 1 сезон 1-13 серия,"Комедии, Сериалы, Мелодрамы, Боевики, Триллеры, Криминал, Турецкие сериалы",Мурат Онбул,2021,22 сентября 2021
https://kinobar.vip/22650-lichnost-vse-serii-po-poryadku.html,Личность (все серии по порядку),"Сериалы, Драмы, Детектив, Криминал, Турецкие сериалы",Онур Сайлак,2018,16 декабря 2020
https://kinobar.vip/21754-deti-ulic-1-sezon-1-3-seriya-v1.html,Дети улиц 1 сезон 1-10 серия,"Сериалы, Драмы, Боевики, Криминал, Турецкие сериалы",Кадри Беран Таскин,2020,15 сентября 2020
https://kinobar.vip/24259-novichok-4-sezon.html,Новичок / Новобранец 4 сезон 1-13 серия,"Комедии, Сериалы, Драмы, Криминал","Майкл Гои, Билл Роу, Сильвен Уайт",2021,1 февраля 2022
https://kinobar.vip/25689-plohoy-i-sumasshedshiy-1-sezon.html,Плохой и сумасшедший 1 сезон,"Комедии, Сериалы, Боевики, Криминал, Азиатские сериалы",Ю Сон-дон,2021,30 января 2022
https://kinobar.vip/25543-rasplata-za-grehi.html,Расплата за грехи,"Фильмы 2022, Мелодрамы, Драмы, Триллеры, Детектив, Криминал",Моника Митчелл,2022,26 января 2022
https://kinobar.vip/24787-yunaya-liga-spravedlivosti-4-sezon-1-3-seriya.html,Юная Лига Справедливости 4 сезон 1-13 серия,"Сериалы, Мелодрамы, Боевики, Приключения, Мультфильмы, Фантастика, Криминал","Мельхиор Цвиер, Кристофер Беркли, Джей Олива",2021,10 января 2022
https://kinobar.vip/25386-igry-dlya-detey-starshego-vozrasta-1-sezon-1-8-seriya.html,"Игры для детей старшего возраста 1 сезон 1-15,16","Сериалы, Мелодрамы, Детектив, Криминал",Роман Барабаш,2021,3 января 2022
https://kinobar.vip/25715-velikolepnaya-dvoyka-vse-serii-po-poryadku.html,Великолепная двойка (все серии по порядку),"Сериалы, Боевики, Криминал, Турецкие сериалы","Чагатай Тосун, Барис Эрджетин",2018,1 февраля 2022
https://kinobar.vip/24032-chastnyy-detektiv-magnum-4-sezon.html,Частный детектив Магнум 4 сезон 1-13 серия,"Сериалы, Боевики, Приключения, Криминал","Брайан Спайсер, Питер Уэллер, Эгил Эгилссон",2021,29 января 2022
https://kinobar.vip/24270-uoker-2-sezon.html,Уокер 2 сезон 1-9 серия,"Сериалы, Драмы, Боевики, Вестерны, Криминал","Стив Робин, Стэйси К. Блэк, Алекс Пиллаи",2021,28 января 2022
https://kinobar.vip/24238-policiya-chikago-9-sezon.html,Полиция Чикаго 9 сезон 1-12 серия,"Сериалы, Драмы, Боевики, Криминал","Марк Тинкер, Эрик Ла Салль, Ник Гомез",2021,20 января 2022
https://kinobar.vip/24235-morskaya-policiya-los-andzheles-13-sezon.html,Морская полиция: Лос-Анджелес 13 сезон 1-8 серия,"Сериалы, Драмы, Боевики, Криминал","Дэннис Смит, Терренс О'Хара, Тони Уормби",2021,11 января 2022
https://kinobar.vip/24271-uravnitel-2-sezon.html,Уравнитель 2 сезон 1-9 серия,"Сериалы, Боевики, Триллеры, Детектив, Криминал","Лиз Фридлендер, Рэндолл Зиск, Лаура Белси",2021,10 января 2022
https://kinobar.vip/24039-sokolinyy-glaz-1-sezon.html,Соколиный Глаз 1 сезон 1-6 серия,"Сериалы, Драмы, Боевики, Приключения, Фантастика, Детектив, Криминал","Риз Томас, Берт, Кэти Эллвуд",2021,24 декабря 2021
https://kinobar.vip/15508-chernyy-klanovec-v2.html,Черный клановец,"Комедии, Драмы, Триллеры, Биография, Криминал, Фильмы 2018",Спайк Ли,2018,2 февраля 2022
https://kinobar.vip/25117-vasha-chest-1-sezon.html,Ваша честь 1 сезон 1-8 серия,"Сериалы, Драмы, Триллеры, Криминал",Константин Статский,2021,27 января 2022
https://kinobar.vip/25651-uvazhenie-12-sezon.html,"Уважение 1,2 сезон","Сериалы, Драмы, Триллеры, Криминал, Турецкие сериалы","Али Танер Балтаджи, Эндер Михлар",2020,26 января 2022
https://kinobar.vip/25646-nochnye-vyzovy-1-sezon-1-5-seriya.html,Ночные вызовы 1 сезон 1-5 серия,"Сериалы, Драмы, Триллеры, Криминал","Фил Барантини, Тим Милантс, Фин Трох",2021,26 января 2022
https://kinobar.vip/12543-ostin-pauers-chelovek-zagadka-mezhdunarodnogo-masshtaba-v2.html,Остин Пауэрс: Человек-загадка международного,"Комедии, Фантастика, Криминал, Фильмы про шпионов",Джей Роуч,1997,14 декабря 2021
https://kinobar.vip/25115-superpitomcy.html,Суперпитомцы,"Комедии, Фильмы 2022, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Фэнтези, Криминал, Скоро в кино","Джаред Штерн, Сэм Ливайн",2022,27 ноября 2021
https://kinobar.vip/25264-komandir-singh.html,Командир Сингх,"Фильмы 2021, Драмы, Биография, История, Криминал",Шуджит Сиркар,2021,9 декабря 2021
https://kinobar.vip/25026-poverte-mne-pohischenie-lizy-makvey.html,Поверьте мне. Похищение Лизы МакВей,"Драмы, Биография, Криминал, Фильмы 2018",Джим Донован,2018,15 ноября 2021
