link,name,genre,director,year,appearance
https://kinobar.vip/25476-den-slepogo-valentina.html,День слепого Валентина,"Комедии, Мелодрамы, Новинки кино, Российское кино, Фильмы 2022",Александр Баршак,2022,"Вчера, 12:49"
https://kinobar.vip/25755-iz-moego-okna.html,Из моего окна,"Комедии, Мелодрамы, Драмы, Новинки кино, Фильмы 2022",Марсаль Форес,2022,5 февраля 2022
https://kinobar.vip/24230-svingery.html,Свингеры,"Комедии, Мелодрамы, Новинки кино, Российское кино, Фильмы 2021",Андрейс Экис,2021,4 февраля 2022
https://kinobar.vip/25389-lyubov-kak-bestseller.html,Любовь как бестселлер,"Комедии, Мелодрамы, Новинки кино, Фильмы 2022",Аналейне Каль-и-Майор,2022,4 февраля 2022
https://kinobar.vip/25626-v-korolevskom-stile.html,В королевском стиле,"Комедии, Мелодрамы, Семейный, Новинки кино, Фильмы 2022",Рик Джейкобсон,2022,28 января 2022
https://kinobar.vip/22876-eterna-1-sezon-v1.html,Этерна: Часть первая,"Фильмы 2021, Мелодрамы, Драмы, Приключения, Фэнтези, Новинки кино, Российское кино",Евгений Невский,2021,23 января 2022
https://kinobar.vip/21069-francuzskiy-vestnik-prilozhenie-k-gazete-liberti-kanzas-ivning-san.html,Французский вестник. Приложение к газете,"Комедии, Фильмы 2021, Мелодрамы, Драмы, Новинки кино",Уэс Андерсон,2021,8 января 2022
https://kinobar.vip/25139-moy-lyubimyy-vrag.html,Мой любимый враг,"Комедии, Фильмы 2021, Мелодрамы, Новинки кино",Питер Хатчингс,2021,16 декабря 2021
https://kinobar.vip/23497-vestsaydskaya-istoriya.html,Вестсайдская история,"Фильмы 2021, Мелодрамы, Драмы, Мюзикл, Криминал, Новинки кино",Стивен Спилберг,2021,13 декабря 2021
https://kinobar.vip/23214-vkus-zhizni-v1.html,Вкус жизни,"Фильмы 2021, Мелодрамы, Драмы, Новинки кино",Кристоффер Боэ,2021,4 декабря 2021
https://kinobar.vip/25013-i-prosto-tak-1-sezon-v1.html,И просто так. Секс в большом городе (7 сезон) 1,"Комедии, Сериалы, Мелодрамы, Драмы",Майкл Патрик Кинг,2021,3 февраля 2022
https://kinobar.vip/20088-cyplenok-zharenyy-1-sezon-v1.html,Цыпленок жареный 1 сезон 1-9 серия,"Сериалы, Мелодрамы, Детектив",Елена Николаева,2019,"Вчера, 17:22"
https://kinobar.vip/25298-sestry-1-sezon.html,Сестры 1 сезон 1-11 серия,"Комедии, Сериалы, Мелодрамы",Илья Силаев,2021,"Вчера, 03:48"
https://kinobar.vip/13476-bezopasnost-1-sezon-v1.html,Безопасность 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Детектив, Криминал","Никита Высоцкий, Илья Лебедев",2017,7 февраля 2022
https://kinobar.vip/17605-devyat-zhizney-1-sezon-1-4-seriya-v2.html,"Девять жизней 1 сезон 1-7,8 серия","Сериалы, Мелодрамы",Давид Ткебучава,2019,6 февраля 2022
https://kinobar.vip/25768-starushki-v-begah-3-sezon.html,Старушки в бегах 3 сезон,"Комедии, Сериалы, Мелодрамы","Мария Маханько, Всеволод Аравин",2021,6 февраля 2022
https://kinobar.vip/25719-milye-magnolii-2-sezon.html,Милые магнолии 2 сезон 1-10 серия,"Сериалы, Мелодрамы, Драмы","Норман Бакли, Laura Nisbet, Келли Уильямс",2022,5 февраля 2022
https://kinobar.vip/25761-sinyaya-vesna-izdaleka-1-sezon-1-12-seriya.html,Синяя весна издалека 1 сезон 1-12 серия,"Сериалы, Мелодрамы, Азиатские сериалы",Неизвестно,2021,4 февраля 2022
https://kinobar.vip/25750-pobrilsya-zatem-privel-domoy-starsheklassnicu-1-sezon.html,Побрился. Затем привел домой старшеклассницу. 1,"Сериалы, Мелодрамы, Драмы, Мультфильмы, Аниме",Манабу Кавакита,2021,4 февраля 2022
https://kinobar.vip/25740-mlechnyy-put-vse-serii-po-poryadku.html,Млечный путь (все серии по порядку),"Сериалы, Мелодрамы, Турецкие сериалы",Картал Тибет,1989,3 февраля 2022
https://kinobar.vip/25602-sklifosovskiy-9-sezon-v1.html,Склифосовский 9 сезон 1-16 серия,"Сериалы, Мелодрамы, Драмы","Андрей Селиванов, Юлия Краснова",2022,3 февраля 2022
https://kinobar.vip/25152-eto-my-6-sezon.html,Это мы 6 сезон 1-5 серия,"Комедии, Сериалы, Мелодрамы, Драмы","Кен Олин, Крис Кох, Гленн Фикарра",2021,2 февраля 2022
https://kinobar.vip/25737-i-prosto-tak-seks-v-bolshom-gorode-2-sezon.html,И просто так (Секс в большом городе) 2 сезон,"Комедии, Сериалы, Мелодрамы, Драмы","Майкл Патрик Кинг, Джиллиан Робеспьер, Ниша Ганатра",2022,2 февраля 2022
https://kinobar.vip/25153-supermen-i-lois-2-sezon.html,Супермен и Лоис 2 сезон 1-4 серия,"Сериалы, Мелодрамы, Драмы, Боевики, Приключения, Фантастика","Грегори Смит, Ли Толанд Кригер, Александра Ла Рош",2022,2 февраля 2022
https://kinobar.vip/25576-pem-i-tommi-1-sezon.html,"Пэм и Томми 1 сезон 1,2,3 серия","Сериалы, Мелодрамы, Драмы, Биография","Крэйг Гиллеспи, Гвинет Хердер-Пэйтон, Ханна Фидель",2022,2 февраля 2022
