link,name,genre,director,year,appearance
https://kinobar.vip/9607-adality-v4.html,Адалиты 1 сезон 1-6 серия,"Комедии, Сериалы, Сериалы с Каз.ТВ, Мистика",Ашот Кещян,2016,16 августа 2020
https://kinobar.vip/23568-vstrecha-so-smertyu.html,Встреча со смертью,"Фильмы 2021, Драмы, Детектив, Криминал, Мистика",Джохо Хиденори,2021,12 мая 2021
https://kinobar.vip/7484-besserdechnye-1-sezon-1-seriya-v4.html,Бессердечные 1 сезон 5 серия,"Сериалы, Драмы, Мистика",Наташа Артю,2014,7 июня 2015
https://kinobar.vip/7467-h-versii-gromkie-dela-2-sezon-8-vypuskkk-v3.html,Х-Версии. Громкие дела 2 сезон 8 выпуск,"Сериалы, ТВ-шоу, передачи, Мистика",Телеканал ТВ3,2015,31 мая 2015
https://kinobar.vip/6062-bashnya-fantaziy-8-seriya-v4.html,Башня фантазий 8 серия,"Сериалы, Драмы, Триллеры, Фантастика, Мистика, Азиатские сериалы",Lee Sung Won,2013,13 января 2015
https://kinobar.vip/5886-limbo-v1.html,Лимбо,"Комедии, Ужасы, Мистика",Иван Ноэль,2014,4 января 2015
https://kinobar.vip/5646-bitva-ekstrasensov-12-sezon-v2.html,Битва экстрасенсов 12 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид",2011,8 декабря 2014
https://kinobar.vip/5635-bitva-ekstrasensov-11-sezon-v1.html,Битва экстрасенсов 11 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид",2011,7 декабря 2014
https://kinobar.vip/5623-bitva-ekstrasensov-10-sezon-v2.html,Битва экстрасенсов 10 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид",2010,6 декабря 2014
https://kinobar.vip/5622-bitva-ekstrasensov-9-sezon-v1.html,Битва экстрасенсов 9 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид",2010,5 декабря 2014
https://kinobar.vip/5613-bitva-ekstrasensov-8-sezon-v1.html,Битва экстрасенсов 8 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид",2010,5 декабря 2014
https://kinobar.vip/5612-bitva-ekstrasensov-7-sezon-v1.html,Битва экстрасенсов 7 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид",2009,5 декабря 2014
https://kinobar.vip/5586-bitva-ekstrasensov-6-sezon-v1.html,Битва экстрасенсов 6 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид",2009,2 декабря 2014
https://kinobar.vip/5585-bitva-ekstrasensov-5-sezon-v1.html,Битва экстрасенсов 5 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид",2009,2 декабря 2014
https://kinobar.vip/5584-bitva-ekstrasensov-4-sezon-v2.html,Битва экстрасенсов 4 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид, Олег Чаурс",2008,2 декабря 2014
https://kinobar.vip/5571-bitva-ekstrasensov-3-sezon-v2.html,Битва экстрасенсов 3 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид, Олег Чаурс",2008,30 ноября 2014
https://kinobar.vip/5565-bitva-ekstrasensov-2-sezon-v2.html,Битва экстрасенсов 2 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид, Олег Чаурс",2007,30 ноября 2014
https://kinobar.vip/5562-bitva-ekstrasensov-v1.html,Битва экстрасенсов 1 сезон,"Сериалы, Мистика","Фёдор Торстенсен, Ольга Шмид, Олег Чаурс",2007,30 ноября 2014
https://kinobar.vip/5531-zagovorennyy-ris-v2.html,Заговоренный рис,"Ужасы, Мистика, Фильмы 2014",Хасим Реджаб,2014,28 ноября 2014
https://kinobar.vip/3256-petlya-vremeni-hd-v2.html,Петля времени 3 серия,"Сериалы, Детектив, Криминал, Мистика",Юрий Ильин,2014,16 января 2014
https://kinobar.vip/2580-tarif-na-proshloe-v1.html,Тариф на прошлое 4 серия,"Сериалы, Мелодрамы, Мистика",Петр Амелин,2013,25 октября 2013
https://kinobar.vip/1016-pod-kupolom-1-sezon-online-serial-v3.html,Под куполом 1 сезон 13 серия,"Сериалы, Фантастика, Ужасы, Мистика",Джек Бендер,2013,18 сентября 2013
https://kinobar.vip/1481-lednikkk-v1.html,Ледник,"Триллеры, Фантастика, Ужасы, Мистика, Фильмы 2013",Рейнир Лингдаль,2012,31 августа 2013
https://kinobar.vip/1486-kult-1-sezon-v1.html,Культ 1 сезон 13 серия,"Сериалы, Драмы, Триллеры, Детектив, Мистика",Нэйтан Хоуп,2013,5 августа 2013
https://kinobar.vip/1485-zvuk-moego-golosa-v2.html,Звук моего голоса,"Драмы, Фантастика, Детектив, Мистика",Зал Батманглидж,2011,16 июля 2013
https://kinobar.vip/1454-slepota-v2.html,Слепота,"Драмы, Триллеры, Фантастика, Детектив, Мистика",Фернанду Мейреллиш,2008,15 июля 2013
https://kinobar.vip/1432-stolknovenie-interesov-kurs-na-stolknovenie-v1.html,Столкновение интересов / Курс на столкновение,"Приключения, Триллеры, Фантастика, Мистика",Фред Олен Рей,2013,14 июля 2013
https://kinobar.vip/1416-lovec-snov-v1.html,Ловец снов,"Драмы, Триллеры, Фантастика, Ужасы, Мистика, Фильмы про НЛО",Лоуренс Кэздан,2003,13 июля 2013
