link,name,genre,director,year,appearance
https://kinobar.vip/23991-tri-bogatyrya-i-kon-na-trone.html,Три богатыря и Конь на троне,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Новинки кино, Российское кино","Дарина Шмидт, Константин Феоктистов",2021,3 февраля 2022
https://kinobar.vip/25333-lednikovyy-period-priklyucheniya-baka.html,Ледниковый период: Приключения Бака,"Комедии, Фильмы 2022, Приключения, Триллеры, Мультфильмы, Семейный, Новинки кино",Джон С. Донкин,2022,29 января 2022
https://kinobar.vip/24220-my-monstry-2.html,Мы — монстры 2,"Фильмы 2021, Мультфильмы, Новинки кино",Хольгер Таппе,2021,28 января 2022
https://kinobar.vip/23905-enkanto.html,Энканто,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Новинки кино","Джаред Буш, Байрон Ховард, Чариз Кастро Смит",2021,26 января 2022
https://kinobar.vip/25309-komanda-kotikov.html,Команда котиков,"Комедии, Фильмы 2021, Мультфильмы, Новинки кино","Грег Кэмерон, Kane Croudace",2021,20 января 2022
https://kinobar.vip/23609-monstry-na-kanikulah-transformaniya.html,Монстры на каникулах 4: Трансформания,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Ужасы, Новинки кино","Дерек Драймон, Дженнифер Клуска",2021,20 января 2022
https://kinobar.vip/21778-klifford-bolshaya-krasnaya-sobaka.html,Большой красный пес Клиффорд,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Новинки кино",Уолт Бекер,2021,18 января 2022
https://kinobar.vip/22745-zveropoy-2.html,Зверопой 2,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Новинки кино","Гарт Дженнингс, Кристоф Лурделе",2021,12 января 2022
https://kinobar.vip/20036-liga-monstrov-v4.html,Лига монстров,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Спорт, Новинки кино",Хамиш Грив,2021,12 января 2022
https://kinobar.vip/23186-plyushevyy-bum-v1.html,Плюшевый Бум!,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Фэнтези, Новинки кино, Российское кино",Денис Чернов,2021,17 декабря 2021
https://kinobar.vip/24992-doroga-domoy.html,Дорога домой,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Новинки кино","Гарри Криппс, Клер Де Шеню",2021,13 декабря 2021
https://kinobar.vip/23720-neispravimyy-ron-v1.html,Неисправимый Рон,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Фантастика, Семейный, Новинки кино","Сара Смит, Жан-Филипп Вине, Октавио Е. Родригес",2021,10 декабря 2021
