link,name,genre,director,year,appearance
https://kinobar.vip/23905-enkanto.html,Энканто,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Новинки кино","Джаред Буш, Байрон Ховард, Чариз Кастро Смит",2021,26 января 2022
https://kinobar.vip/22745-zveropoy-2.html,Зверопой 2,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Новинки кино","Гарт Дженнингс, Кристоф Лурделе",2021,12 января 2022
https://kinobar.vip/23497-vestsaydskaya-istoriya.html,Вестсайдская история,"Фильмы 2021, Мелодрамы, Драмы, Мюзикл, Криминал, Новинки кино",Стивен Спилберг,2021,13 декабря 2021
https://kinobar.vip/4483-aladdin-v3.html,Аладдин,"Комедии, Мелодрамы, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Walt Disney – подборка лучших мультфильмов, ТОП 250 лучших фильмов по версии КиноПоиска","Рон Клементс, Джон Маскер",1992,26 января 2022
https://kinobar.vip/22282-golos-lyubvi.html,Голос любви,"Комедии, Мелодрамы, Мюзикл, Фильмы 2020",Валери Лемерсье,2020,24 января 2022
https://kinobar.vip/24654-sirano.html,Сирано,"Фильмы 2021, Мелодрамы, Драмы, Мюзикл",Джо Райт,2021,16 января 2022
https://kinobar.vip/25501-myatezhniki-novoe-pokolenie-1-sezon-1-8-seriya.html,Мятежники: Новое поколение 1 сезон 1-8 серия,"Комедии, Сериалы, Мелодрамы, Драмы, Семейный, Мюзикл",Сантьяго Лимон,2022,10 января 2022
https://kinobar.vip/25645-pinokkio-gilermo-del-toro.html,Пиноккио Гильермо дель Торо,"Фильмы 2022, Драмы, Мультфильмы, Семейный, Мюзикл, Фэнтези, Скоро в кино","Гильермо дель Торо, Марк Густафсон",2022,26 января 2022
https://kinobar.vip/25076-zacharovannaya-2.html,Зачарованная 2,"Комедии, Фильмы 2022, Мелодрамы, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Скоро в кино",Адам Шенкман,2022,22 ноября 2021
https://kinobar.vip/5862-mulan-1-v3.html,Мулан,"Приключения, Мультфильмы, Семейный, Мюзикл, Walt Disney – подборка лучших мультфильмов, ТОП 250 лучших фильмов по версии КиноПоиска","Тони Бэнкрофт, Бэрри Кук",1998,21 ноября 2021
https://kinobar.vip/24197-vertinskiy-1-sezon.html,Вертинский 1 сезон 1-8 серия,"Сериалы, Драмы, Биография, Мюзикл",Авдотья Смирнова,2021,25 октября 2021
https://kinobar.vip/22065-respekt.html,Респект,"Фильмы 2021, Драмы, Биография, Мюзикл",Лизль Томми,2021,28 августа 2021
https://kinobar.vip/23764-soedinennye-shtaty-protiv-billi-holidey.html,Соединённые Штаты против Билли Холидей,"Фильмы 2021, Драмы, Биография, Мюзикл",Ли Дэниелс,2021,18 июня 2021
https://kinobar.vip/25723-the-beatles-get-back-koncert-na-kryshe.html,The Beatles: Get Back - Концерт на крыше,"Фильмы 2022, Мюзикл, Скоро в кино",Питер Джексон,2022,3 февраля 2022
https://kinobar.vip/24316-dorogoy-evan-hansen.html,Дорогой Эван Хансен,"Фильмы 2021, Драмы, Мюзикл",Стивен Чбоски,2021,30 января 2022
https://kinobar.vip/25294-vostochnyy-dantist.html,Восточный дантист,"Комедии, Мюзикл",Эрнест Мартиросян,1982,12 декабря 2021
https://kinobar.vip/25176-romans-o-vlyublennyh.html,Романс о влюбленных,"Мелодрамы, Драмы, Мюзикл, Российское кино",Андрей Кончаловский,1974,30 ноября 2021
