link,name,genre,director,year,appearance
https://kinobar.vip/10086-lyucifer-2-sezon-hd-hd-v4.html,Люцифер 2 сезон,"Сериалы, Драмы, Фэнтези, Криминал, На иностранном языке","Нэйтан Хоуп, Майрзи Алмас, Эгил Эгилссон",2016,1 июня 2017
https://kinobar.vip/10044-sverhestestvennoe-12-sezon-v3.html,Сверхъестественное 12 сезон,"Сериалы, Драмы, Триллеры, Фэнтези, Ужасы, Детектив, На иностранном языке",Эрик Крипке,2016,20 мая 2017
https://kinobar.vip/9953-smertelnoe-oruzhie-1-sezon-v3.html,Смертельное оружие 1 сезон,"Сериалы, Драмы, Боевики, Триллеры, Криминал, На иностранном языке",МакДжи,2016,16 марта 2017
https://kinobar.vip/10045-dnevniki-vampira-8-sezon-v4.html,Дневники вампира 8 сезон,"Сериалы, Мелодрамы, Драмы, Триллеры, Фэнтези, Ужасы, Детектив, На иностранном языке","Маркос Сига, Роб Харди, Дэвид Фон Энкен, Дж. Миллер Тобин",2016,12 марта 2017
https://kinobar.vip/11110-izumrudnyy-gorod-1-sezon-1-v4.html,Изумрудный город 1 сезон,"Сериалы, Фэнтези, На иностранном языке",Тарсем Сингх,2016,6 марта 2017
https://kinobar.vip/9247-tabu-1-sezon-v4.html,Табу 1 сезон,"Сериалы, Драмы, На иностранном языке","Андерс Энгстрем, Кристоффер Нюхольм",2016,27 февраля 2017
https://kinobar.vip/10139-kak-izbezhat-nakazaniya-za-ubiystvo-3-sezon-5-v8.html,Как избежать наказания за убийство 3 сезон,"Сериалы, Драмы, Триллеры, Детектив, Криминал, На иностранном языке","Билл Д Элиа, Лора Иннес, Майк Листо",2016,25 февраля 2017
https://kinobar.vip/11031-grand-tur-1-sezon-obvn-hd-v4.html,Гранд тур 1 сезон,"Сериалы, ТВ-шоу, передачи, На иностранном языке",Amazon Prime,2016,5 февраля 2017
https://kinobar.vip/7263-vikingi-4-sezon-hd-v8.html,Викинги 4 сезон,"Сериалы, Драмы, Боевики, Военный, История, На иностранном языке","Киаран Доннелли, Йохан Ренк, Кен Джиротти",2016,27 января 2017
https://kinobar.vip/6011-sherlok-4-sezon-hd-v5.html,Шерлок 4 сезон 1-3 серия,"Сериалы, Драмы, Триллеры, Детектив, Криминал, На иностранном языке",Дуглас МакКиннон,2017,18 января 2017
https://kinobar.vip/9956-voynavseh-hd-v3.html,Война против всех,"Комедии, На иностранном языке, Фильмы 2016",Джон Майкл МакДона,2016,15 января 2017
https://kinobar.vip/10956-lemoni-sniket-33-neschastya-1-sezon-v3.html,Лемони Сникет: 33 несчастья 1 сезон,"Сериалы, Драмы, Приключения, Семейный, На иностранном языке","Марк Палански, Барри Зонненфельд",2017,15 января 2017
https://kinobar.vip/8635-moya-bolshaya-grecheskaya-svadba2-online-v3.html,Моя большая греческая свадьба 2,"Комедии, Мелодрамы, На иностранном языке, Фильмы 2016",Кирк Джонс,2016,13 декабря 2016
https://kinobar.vip/8324-vybor-v2.html,Выбор,"Мелодрамы, Драмы, На иностранном языке, Фильмы 2016, Фильмы про любовь",Росс Кац,2016,13 декабря 2016
https://kinobar.vip/8570-belosnezhka-i-ohotnik2-v2.html,Белоснежка и Охотник 2,"Драмы, Боевики, Приключения, Фэнтези, На иностранном языке, Фильмы 2016",Седрик Николя-Троян,2016,13 июня 2016
https://kinobar.vip/6427-specialnyy-polunochnyy-vypusk-v1.html,Специальный полуночный выпуск,"Драмы, Приключения, Триллеры, Фантастика, На иностранном языке, Фильмы 2016",Джефф Николс,2016,8 июня 2016
https://kinobar.vip/9798-nikogda-ne-sdavaysya3-v1.html,Никогда не сдавайся 3,"Боевики, На иностранном языке, Фильмы 2016, Фильмы про боевые искусства и драки",Майкл Джей Уайт,2016,7 июня 2016
https://kinobar.vip/7421-obrazcovyy-samecc2-online-v2.html,Образцовый самец 2,"Комедии, На иностранном языке, Фильмы 2016",Бен Стиллер,2016,14 мая 2016
https://kinobar.vip/7361-elementarno-4-sezon-v2.html,Элементарно 4 сезон 24 серия,"Сериалы, Драмы, Детектив, Криминал, На иностранном языке","Джон Полсон, Гай Ферленд, Сет Манн",2015,9 мая 2016
https://kinobar.vip/4880-dedpul-1-v3.html,Дэдпул,"Боевики, Приключения, Триллеры, Фантастика, На иностранном языке, Фильмы 2016, Фильмы про супергероев марвел и дс",Тим Миллер,2016,26 апреля 2016
https://kinobar.vip/8392-ya-est-gnev-v1.html,Я есть гнев,"Драмы, Боевики, Триллеры, Криминал, На иностранном языке, Фильмы 2016",Чак Рассел,2016,17 апреля 2016
https://kinobar.vip/9375-kogda-ya-snova-prozhivu-svoyu-zhizn-v2.html,Когда я снова проживу свою жизнь,"Комедии, Драмы, На иностранном языке, Фильмы 2015, Фильмы про танцы",Роберт Эдвардс,2015,16 апреля 2016
https://kinobar.vip/9508-tishina-v1.html,Тишина,"Триллеры, Ужасы, На иностранном языке, Фильмы 2016",Майк Флэнеган,2016,16 апреля 2016
https://kinobar.vip/9127-devushka-po-vyzovu-1-sezon-v1.html,Девушка по вызову 1 сезон 1-13 серия,"Сериалы, Драмы, На иностранном языке","Лодж Х. Керриган, Эми Саймец",2016,11 апреля 2016
https://kinobar.vip/7032-lobster-v1.html,Лобстер,"Комедии, Мелодрамы, Триллеры, Фантастика, На иностранном языке, Фильмы 2015",Йоргос Лантимос,2015,11 апреля 2016
https://kinobar.vip/7378-kerol-v1.html,Кэрол,"Мелодрамы, Драмы, На иностранном языке, Фильмы 2015",Тодд Хейнс,2015,10 апреля 2016
https://kinobar.vip/8464-pesn-zakata-v3.html,Песнь заката,"Драмы, На иностранном языке, Фильмы 2015",Теренс Дэвис,2015,6 апреля 2016
https://kinobar.vip/6766-5-aya-volna-kino-v2.html,5-я волна / Пятая волна,"Боевики, Приключения, Триллеры, Фантастика, На иностранном языке, Фильмы 2016, Фильмы про катастрофы и апокалипсис , Фильмы про НЛО",Дж. Блэйксон,2016,25 марта 2016
