link,name,genre,director,year,appearance
https://kinobar.vip/25476-den-slepogo-valentina.html,День слепого Валентина,"Комедии, Мелодрамы, Новинки кино, Российское кино, Фильмы 2022",Александр Баршак,2022,"Вчера, 12:49"
https://kinobar.vip/16992-u-nee-drugoe-imya-v3.html,Другое имя,"Драмы, Триллеры, Новинки кино, Российское кино, Фильмы 2022",Вета Гераськина,2022,"Вчера, 12:47"
https://kinobar.vip/15686-zvezdnyy-razum-v2.html,Звёздный разум,"Приключения, Триллеры, Фантастика, Новинки кино, Российское кино, Фильмы 2021",Вячеслав Лисневский,2021,7 февраля 2022
https://kinobar.vip/24307-padenie-luny.html,Падение Луны,"Боевики, Фантастика, Новинки кино, Фильмы 2022",Роланд Эммерих,2022,6 февраля 2022
https://kinobar.vip/24583-mariya.html,Мария. Спасти Москву,"Драмы, Военный, Новинки кино, Российское кино, Фильмы 2021",Вера Сторожева,2021,6 февраля 2022
https://kinobar.vip/24424-kazn.html,Казнь,"Триллеры, Новинки кино, Российское кино, Фильмы 2021",Ладо Кватания,2021,6 февраля 2022
https://kinobar.vip/25755-iz-moego-okna.html,Из моего окна,"Комедии, Мелодрамы, Драмы, Новинки кино, Фильмы 2022",Марсаль Форес,2022,5 февраля 2022
https://kinobar.vip/25584-aferist-iz-tinder.html,Аферист из Tinder,"Документальные, Криминал, Новинки кино, Фильмы 2022",Фелисити Моррис,2022,4 февраля 2022
https://kinobar.vip/24230-svingery.html,Свингеры,"Комедии, Мелодрамы, Новинки кино, Российское кино, Фильмы 2021",Андрейс Экис,2021,4 февраля 2022
https://kinobar.vip/25389-lyubov-kak-bestseller.html,Любовь как бестселлер,"Комедии, Мелодрамы, Новинки кино, Фильмы 2022",Аналейне Каль-и-Майор,2022,4 февраля 2022
https://kinobar.vip/23991-tri-bogatyrya-i-kon-na-trone.html,Три богатыря и Конь на троне,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Новинки кино, Российское кино","Дарина Шмидт, Константин Феоктистов",2021,3 февраля 2022
https://kinobar.vip/24317-chernyy-yaschik.html,Черный ящик,"Фильмы 2021, Драмы, Триллеры, Детектив, Новинки кино",Ян Гозлан,2021,2 февраля 2022
https://kinobar.vip/24044-dom-gucci.html,Дом Gucci,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Ридли Скотт,2021,1 февраля 2022
https://kinobar.vip/25548-pylayuschee-more.html,Пылающее море,"Фильмы 2021, Боевики, Новинки кино",Йон Андреас Андерсен,2021,1 февраля 2022
https://kinobar.vip/24408-alleya-koshmarov.html,Аллея кошмаров,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Гильермо дель Торо,2021,31 января 2022
https://kinobar.vip/25624-odinokiy-volk.html,Одинокий волк,"Драмы, Криминал, Новинки кино, Фильмы 2020",Пол Солет,2020,31 января 2022
