link,name,genre,director,year,appearance
https://kinobar.vip/15686-zvezdnyy-razum-v2.html,Звёздный разум,"Приключения, Триллеры, Фантастика, Новинки кино, Российское кино, Фильмы 2021",Вячеслав Лисневский,2021,7 февраля 2022
https://kinobar.vip/23991-tri-bogatyrya-i-kon-na-trone.html,Три богатыря и Конь на троне,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Новинки кино, Российское кино","Дарина Шмидт, Константин Феоктистов",2021,3 февраля 2022
https://kinobar.vip/25333-lednikovyy-period-priklyucheniya-baka.html,Ледниковый период: Приключения Бака,"Комедии, Фильмы 2022, Приключения, Триллеры, Мультфильмы, Семейный, Новинки кино",Джон С. Донкин,2022,29 января 2022
https://kinobar.vip/23905-enkanto.html,Энканто,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Мюзикл, Фэнтези, Новинки кино","Джаред Буш, Байрон Ховард, Чариз Кастро Смит",2021,26 января 2022
https://kinobar.vip/24161-chelovek-pauk-net-puti-domoy-v1.html,Человек-паук: Нет пути домой,"Фильмы 2021, Боевики, Приключения, Фантастика, Новинки кино, Фильмы про супергероев марвел и дс",Джон Уоттс,2021,25 января 2022
https://kinobar.vip/22876-eterna-1-sezon-v1.html,Этерна: Часть первая,"Фильмы 2021, Мелодрамы, Драмы, Приключения, Фэнтези, Новинки кино, Российское кино",Евгений Невский,2021,23 января 2022
https://kinobar.vip/19940-vechnye-v3.html,Вечные,"Фильмы 2021, Драмы, Боевики, Приключения, Фантастика, Фэнтези, Новинки кино, Фильмы про супергероев марвел и дс",Хлоя Чжао,2021,23 января 2022
https://kinobar.vip/23609-monstry-na-kanikulah-transformaniya.html,Монстры на каникулах 4: Трансформания,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Ужасы, Новинки кино","Дерек Драймон, Дженнифер Клуска",2021,20 января 2022
https://kinobar.vip/25308-doch-korolya.html,Дочь короля,"Фильмы 2022, Боевики, Приключения, Фэнтези, Новинки кино",Шон МакНамара,2022,20 января 2022
https://kinobar.vip/21778-klifford-bolshaya-krasnaya-sobaka.html,Большой красный пес Клиффорд,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Новинки кино",Уолт Бекер,2021,18 января 2022
