link,name,genre,director,year,appearance
https://kinobar.vip/25476-den-slepogo-valentina.html,День слепого Валентина,"Комедии, Мелодрамы, Новинки кино, Российское кино, Фильмы 2022",Александр Баршак,2022,"Вчера, 12:49"
https://kinobar.vip/16992-u-nee-drugoe-imya-v3.html,Другое имя,"Драмы, Триллеры, Новинки кино, Российское кино, Фильмы 2022",Вета Гераськина,2022,"Вчера, 12:47"
https://kinobar.vip/15686-zvezdnyy-razum-v2.html,Звёздный разум,"Приключения, Триллеры, Фантастика, Новинки кино, Российское кино, Фильмы 2021",Вячеслав Лисневский,2021,7 февраля 2022
https://kinobar.vip/24583-mariya.html,Мария. Спасти Москву,"Драмы, Военный, Новинки кино, Российское кино, Фильмы 2021",Вера Сторожева,2021,6 февраля 2022
https://kinobar.vip/24424-kazn.html,Казнь,"Триллеры, Новинки кино, Российское кино, Фильмы 2021",Ладо Кватания,2021,6 февраля 2022
https://kinobar.vip/24230-svingery.html,Свингеры,"Комедии, Мелодрамы, Новинки кино, Российское кино, Фильмы 2021",Андрейс Экис,2021,4 февраля 2022
https://kinobar.vip/23991-tri-bogatyrya-i-kon-na-trone.html,Три богатыря и Конь на троне,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Новинки кино, Российское кино","Дарина Шмидт, Константин Феоктистов",2021,3 февраля 2022
https://kinobar.vip/24588-snegurochka-protiv-vseh.html,Снегурочка против всех,"Комедии, Новинки кино, Российское кино, Фильмы 2021",Полина Ануфриева,2021,29 января 2022
https://kinobar.vip/15601-nashi-deti-v1.html,Тайна,"Комедии, Семейный, Новинки кино, Российское кино, Фильмы 2020",Артем Аксененко,2020,28 января 2022
https://kinobar.vip/24446-nas-drugih-ne-budet.html,Нас других не будет,"Фильмы 2021, Документальные, Новинки кино, Российское кино",Петр Шепотинник,2021,26 января 2022
https://kinobar.vip/22876-eterna-1-sezon-v1.html,Этерна: Часть первая,"Фильмы 2021, Мелодрамы, Драмы, Приключения, Фэнтези, Новинки кино, Российское кино",Евгений Невский,2021,23 января 2022
https://kinobar.vip/24403-chempion-mira.html,Чемпион мира,"Фильмы 2021, Драмы, Новинки кино, Российское кино",Алексей Сидоров,2021,11 января 2022
https://kinobar.vip/24554-dzhigalou.html,Джигалоу,"Комедии, Фильмы 2021, Новинки кино, Российское кино",Руслан Бальтцер,2021,7 января 2022
https://kinobar.vip/24024-ryad-19.html,Ряд 19,"Фильмы 2021, Триллеры, Новинки кино, Российское кино",Александр Бабаев,2021,6 января 2022
https://kinobar.vip/18404-bumerang-v4.html,БУМЕРанг,"Комедии, Криминал, Новинки кино, Российское кино, Фильмы 2020",Петр Буслов,2020,4 января 2022
https://kinobar.vip/25434-vse-horosho.html,Всё хорошо,"Комедии, Фильмы 2021, Драмы, Новинки кино, Российское кино",Елена Хазанова,2021,4 января 2022
