link,name,genre,director,year,appearance
https://kinobar.vip/10493-nebesnaya-lyubov-mezhdu-nebom-i-zemley-123-sezon-v1.html,"Небесная любовь / Между небом и землей 1,2,3 сезон","Сериалы, Мелодрамы, Сериалы с Каз.ТВ, Турецкие сериалы","Атиль Инач, Улас Инан Инач",2010-2013,27 января 2022
https://kinobar.vip/24194-sheker-2-sezon-1-4-seriya.html,SHEKER 2 сезон,"Сериалы, Драмы, Триллеры, Криминал, Сериалы с Каз.ТВ",Aitore,2021,28 августа 2021
https://kinobar.vip/24193-sheker-1-sezon-1-8-seriya.html,SHEKER 1 сезон 1-8 серия,"Сериалы, Драмы, Триллеры, Криминал, Сериалы с Каз.ТВ",Aitore,2021,28 августа 2021
https://kinobar.vip/24192-zombety-2-sezon-1-10-seriya.html,Зомбеты / Zомбеты 2 сезон 1-10 серия,"Комедии, Сериалы, Боевики, Приключения, Фантастика, Ужасы, Сериалы с Каз.ТВ",Данияр Болотбеков,2021,28 августа 2021
https://kinobar.vip/24191-zombety-1-sezon-1-8-seriya.html,Зомбеты / Zомбеты 1 сезон 1-8 серия,"Комедии, Сериалы, Боевики, Приключения, Фантастика, Ужасы, Сериалы с Каз.ТВ",Данияр Болотбеков,2020,28 августа 2021
https://kinobar.vip/24190-pacanskie-istorii-1-sezon-1-10-seriya.html,Пацанские истории 1 сезон 1-10 серия,"Комедии, Сериалы, Приключения, Криминал, Сериалы с Каз.ТВ",Нурсултан Джумабеков,2019,28 августа 2021
https://kinobar.vip/23718-serzhan-bratan-1-sezon-1-12-seriya.html,Сержан Братан / Serjan Bratan 1 сезон 1-13 серия,"Сериалы, Криминал, Сериалы с Каз.ТВ",Алишер Утев,2021,23 июня 2021
https://kinobar.vip/23722-piznesmen-kanat-1-sezon-1-5-seriya.html,Пиzнесмен Канат 1 сезон 1-7 серия,"Комедии, Сериалы, Сериалы с Каз.ТВ",Дархан Саркенов,2021,11 июня 2021
https://kinobar.vip/9607-adality-v4.html,Адалиты 1 сезон 1-6 серия,"Комедии, Сериалы, Сериалы с Каз.ТВ, Мистика",Ашот Кещян,2016,16 августа 2020
https://kinobar.vip/13668-1178yzdy1187-zholy-zhenskaya-dolya-vse-serii-po-poryadku-v5.html,Қыздың жолы жіңішке / Женская,"Комедии, Сериалы, Мелодрамы, Драмы, Сериалы с Каз.ТВ",Самир Кулкарни,2014,31 января 2019
https://kinobar.vip/16896-kelnzhan-kelinzhan-1-seriya-v6.html,Келінжан / Келинжан 1-5 серия,"Сериалы, Сериалы с Каз.ТВ",Ернар Нургалиев,2019,20 января 2019
https://kinobar.vip/15478-fazilet-hanym-gospozha-fazilet-i-ee-docheri-vse-serii-po-poryadku-v5.html,Фазилет Ханым / Госпожа Фазилет и ее дочери (все,"Сериалы, Драмы, Сериалы с Каз.ТВ, Турецкие сериалы","Алптекин Бозкурт, Gökçen Usta Çaylar, Günay Günaydin",2017,13 мая 2018
https://kinobar.vip/14892-tar-zaman-v4.html,Тар Заман 1-12 серия,"Сериалы, Драмы, История, Сериалы с Каз.ТВ, Фильмы 2017",М?рат Бидосов,2017,11 апреля 2018
https://kinobar.vip/15186-kalaulym-173-vypusk-v5.html,Калаулым 173 выпуск,"Сериалы, Сериалы с Каз.ТВ, ТВ-шоу, передачи",Первый канал Евразия,2018,3 апреля 2018
https://kinobar.vip/3486-sen-kelers1187-soglasie-v4.html,Сен келерсің / Согласие (все серии по,"Комедии, Сериалы, Мелодрамы, Драмы, Семейный, Сериалы с Каз.ТВ, Азиатские сериалы","Гюль Хан, Ниссар Хан",2012-13,22 декабря 2017
https://kinobar.vip/14172-ana-zh1199reg-ana-zhuregi-1-12-seriya-v5.html,Ана жүрегі / Ана журеги 1-12 серия,"Сериалы, Драмы, Сериалы с Каз.ТВ",Санжар Омаров,2017,2 декабря 2017
https://kinobar.vip/14171-mezglsz-mahabbat-mezgilsiz-mahabbat-1-14-seriya-v5.html,Мезгілсіз махаббат / Мезгилсиз махаббат 1-14 серия,"Комедии, Сериалы, Сериалы с Каз.ТВ",Анвар Матжанов,2017,2 декабря 2017
https://kinobar.vip/14055-zhenatiki-2-sezon-v4.html,Женатики 2 сезон,"Комедии, Сериалы, Сериалы с Каз.ТВ","Сабита Рахимбаева, Даута Шайхисламова",2017,19 ноября 2017
https://kinobar.vip/14054-auyldastar-2-sezon-1-10-seriya-v4.html,Ауылдастар 2 сезон 1-10 серия,"Комедии, Сериалы, Сериалы с Каз.ТВ",Аликул Бауыржан,2017,19 ноября 2017
