link,name,genre,director,year,appearance
https://kinobar.vip/22946-nevskiy-ohota-na-arhitektora-1-sezon-v1.html,Невский. Охота на Архитектора 5 сезон 1-19 серия,"Сериалы, Детектив",Дмитрий Аверин,2022,"Вчера, 17:23"
https://kinobar.vip/25523-devushki-s-makarovym-2-sezon.html,Девушки с Макаровым 2 сезон 1-8 серия,"Комедии, Сериалы",Константин Смирнов,2022,"Вчера, 17:23"
https://kinobar.vip/25531-restoran-po-ponyatiyam-1-sezon.html,Ресторан по понятиям 1 сезон 1-7 серия,"Комедии, Сериалы, Криминал",Сарик Андреасян,2021,"Вчера, 03:48"
https://kinobar.vip/24637-milliardy-6-sezon.html,Миллиарды 6 сезон 1-3 серия,"Сериалы, Драмы","Колин Бакси, Нил Бёргер, Джон Дал",2022,6 февраля 2022
https://kinobar.vip/25155-skvoz-sneg-3-sezon.html,Сквозь снег 3 сезон 1-3 серия,"Сериалы, Драмы, Боевики, Триллеры, Фантастика","Кристоф Шреве, Лесли Хоуп, Джеймс Хоуз",2022,6 февраля 2022
https://kinobar.vip/25013-i-prosto-tak-1-sezon-v1.html,И просто так. Секс в большом городе (7 сезон) 1,"Комедии, Сериалы, Мелодрамы, Драмы",Майкл Патрик Кинг,2021,3 февраля 2022
https://kinobar.vip/4374-svaty7-9-v7.html,Сваты 7 сезон 1-9 серия,"Комедии, Сериалы",Андрей Яковлев,2021,31 января 2022
https://kinobar.vip/20088-cyplenok-zharenyy-1-sezon-v1.html,Цыпленок жареный 1 сезон 1-9 серия,"Сериалы, Мелодрамы, Детектив",Елена Николаева,2019,"Вчера, 17:22"
https://kinobar.vip/25243-pozolochennyy-vek-1-sezon.html,Позолоченный век 1 сезон 1-3 серия,"Сериалы, Драмы","Майкл Энглер, Салли Ричардсон-Уитфилд",2021,"Вчера, 17:21"
https://kinobar.vip/25461-uborschica-1-sezon-1-seriya.html,Уборщица 1 сезон 1-5 серия,"Сериалы, Драмы, Триллеры, Криминал, Фильмы 2022","Марисоль Торрес, Милан Чейлов, Стивен ДеПол",2022,"Вчера, 17:21"
https://kinobar.vip/25648-amerikanskiy-papasha-19-sezon-1-seriya.html,Американский папаша 19 сезон 1-3 серия,"Комедии, Сериалы, Мультфильмы","Рон Хьюгарт, Брент Вудс, Энтони Льои",2022,"Вчера, 17:20"
https://kinobar.vip/22948-mirotvorec-1-sezon-v2.html,Миротворец 1 сезон 1-6 серия,"Комедии, Сериалы, Боевики, Приключения, Фантастика",Джеймс Ганн,2021,"Вчера, 12:58"
https://kinobar.vip/22314-moya-genialnaya-podruga-3-sezon-v1.html,"Моя гениальная подруга 3 сезон 1,2 серия","Сериалы, Драмы","Саверио Костанцо, Аличе Рорвахер",2022,"Вчера, 12:56"
https://kinobar.vip/25151-911-odinokaya-zvezda-3-sezon.html,911: Одинокая звезда 3 сезон 1-5 серия,"Сериалы, Драмы, Боевики, Триллеры","Брэдли Букер, Санаа Хамри, Марита Грабяк",2021,"Вчера, 12:54"
https://kinobar.vip/25490-kak-ya-vstretila-vashego-papu-1-sezon.html,Как я встретила вашего папу 1 сезон 1-5 серия,"Комедии, Сериалы, Драмы",Памела Фрайман,2022,"Вчера, 12:53"
https://kinobar.vip/25620-nominaciya-1-sezon.html,Номинация 1 сезон 1-2 серия,"Сериалы, Драмы",Надежда Михалкова,2021,"Вчера, 12:52"
https://kinobar.vip/25298-sestry-1-sezon.html,Сестры 1 сезон 1-11 серия,"Комедии, Сериалы, Мелодрамы",Илья Силаев,2021,"Вчера, 03:48"
https://kinobar.vip/25603-kto-to-gde-to-1-sezon-1-seriya.html,Кто-то где-то 1 сезон 1-4 серия,"Комедии, Сериалы","Роберт Коэн, Джей Дюпласс",2022,"Вчера, 03:47"
https://kinobar.vip/22703-vospitannye-volkami-2-sezon-v2.html,"Воспитанные волками 2 сезон 1,2 серия","Сериалы, Драмы, Триллеры, Фантастика","Люк Скотт, Алекс Габасси, Серджо Мимика-Геззан",2022,7 февраля 2022
https://kinobar.vip/25586-strashnye-istorii-v-dvuh-predlozheniyah-4-sezon-12-seriya.html,Страшные истории в двух предложениях 4 сезон,"Сериалы, Драмы, Триллеры, Ужасы, Детектив","Вера Миао, Рания Аттих, Дэниэл Гарсиа",2022,7 февраля 2022
https://kinobar.vip/25587-ne-drogni-1-sezon-1-vypusk.html,Не дрогни 1 сезон 1-5 выпуск,"Сериалы, ТВ-шоу, передачи",СТС,2022,7 февраля 2022
https://kinobar.vip/23288-gde-logika-10-7-sezon-1-vypusk.html,Где логика? 10 (7) сезон 1-32 выпуск,"Сериалы, ТВ-шоу, передачи",Анатолий Шпульников,2021,7 февраля 2022
https://kinobar.vip/16644-mir-naiznanku-vse-vypuski-po-poryadku-3-v7.html,Мир наизнанку (все выпуски по порядку),"Сериалы, Документальные, ТВ-шоу, передачи",Дмитрий Комаров,2010,7 февраля 2022
https://kinobar.vip/24524-velikiy-sever-2-sezon-1-seriya.html,Великий Север 2 сезон 1-11 серия,"Комедии, Сериалы, Мультфильмы","Тони Дженнаро, Уилл Строуд, Нил Граф",2021,7 февраля 2022
https://kinobar.vip/25559-my-vse-mertvy-1-sezon.html,Мы все мертвы 1 сезон 1-12 серия,"Сериалы, Ужасы, Азиатские сериалы","Ли Джэ-гю, Ким Нам-су",2022,7 февраля 2022
https://kinobar.vip/19046-eyforiya-2-sezon-v7.html,Эйфория 2 сезон 1-5 серия,"Сериалы, Драмы","Сэм Левинсон,Пиппа Бьянко,Августин Фриззелл",2019,7 февраля 2022
https://kinobar.vip/25770-kak-ya-stala-fenomenom-1-sezon.html,Как я стала феноменом 1 сезон,"Комедии, Сериалы, Турецкие сериалы",Котан Мустафа,2022,7 февраля 2022
https://kinobar.vip/25764-comedy-battl-12-sezon-1-vypusk.html,Comedy Баттл 12 сезон 1 выпуск,"Комедии, Сериалы, ТВ-шоу, передачи",Кирилл Пухонто,2022,7 февраля 2022
https://kinobar.vip/25765-improvizaciya-komandy-4-sezon-1-vypusk.html,Импровизация. Команды 4 сезон 1 выпуск,"Комедии, Сериалы, ТВ-шоу, передачи",Роман Новиков,2022,7 февраля 2022
https://kinobar.vip/24279-stand-up-12-9-sezon-1-vypusk.html,Stand Up 12 (9) сезон 1-12 выпуск,"Сериалы, ТВ-шоу, передачи",Роман Новиков,2021,7 февраля 2022
https://kinobar.vip/25634-dikie-1-sezon-12-seriya.html,"Дикие 1 сезон 1-5,6 серия","Комедии, Сериалы",Руслан Ханумак,2020,7 февраля 2022
https://kinobar.vip/13476-bezopasnost-1-sezon-v1.html,Безопасность 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Детектив, Криминал","Никита Высоцкий, Илья Лебедев",2017,7 февраля 2022
https://kinobar.vip/25367-yelloustoun-1883-1-sezon-12-seriya.html,Йеллоустоун: 1883 1 сезон 1-7 серия,"Сериалы, Драмы, Вестерны","Тейлор Шеридан, Кристина Ворос",2021,6 февраля 2022
https://kinobar.vip/24268-vlast-v-nochnom-gorode-kniga-vtoraya-prizrak-2-sezon.html,Власть в ночном городе. Книга вторая: Призрак 2,"Сериалы, Драмы, Криминал","Эрнан Отаньо, Марисоль Торрес, Энтони Хемингуэй",2021,6 февраля 2022
https://kinobar.vip/25170-dve-zvezdy-otcy-i-deti-1-sezon-12-vypusk.html,Две звезды. Отцы и дети 1 сезон 1-9 выпуск,"Сериалы, ТВ-шоу, передачи",Первый канал,2021,6 февраля 2022
https://kinobar.vip/25736-vlast-v-nochnom-gorode-kniga-chetvertaya-sila-1-sezon.html,Власть в ночном городе. Книга четвёртая: Сила 1,"Сериалы, Драмы, Криминал","Шена Стейн, Деон Тейлор, Барт Венрич",2022,6 февраля 2022
https://kinobar.vip/25028-beguschiy-po-lezviyu-chernyy-lotos-1-sezon-12-seriya.html,Бегущий по лезвию: Чёрный лотос 1 сезон 1-13 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Детектив, Аниме","Синдзи Арамаки, Кэндзи Камияма",2021,6 февраля 2022
https://kinobar.vip/17605-devyat-zhizney-1-sezon-1-4-seriya-v2.html,"Девять жизней 1 сезон 1-7,8 серия","Сериалы, Мелодрамы",Давид Ткебучава,2019,6 февраля 2022
https://kinobar.vip/25777-rokovye-oshibki-todda-margareta-vse-serii-po-poryadku.html,Роковые ошибки Тодда Маргарета (все серии по,"Комедии, Сериалы","Алекс Хардкасл, Бен Грегор, Джон Хардвик",2009,6 февраля 2022
https://kinobar.vip/25769-milicioner-s-rublevki-2-sezon.html,Милиционер с Рублёвки 2 сезон,"Комедии, Сериалы, Криминал","Полина Ануфриева, Илья Куликов",2022,6 февраля 2022
https://kinobar.vip/25768-starushki-v-begah-3-sezon.html,Старушки в бегах 3 сезон,"Комедии, Сериалы, Мелодрамы","Мария Маханько, Всеволод Аравин",2021,6 февраля 2022
https://kinobar.vip/25767-klassnaya-katya-1-sezon.html,Классная Катя 1 сезон,"Комедии, Сериалы","Ольга Френкель, Тимофей Шалаев",2021,6 февраля 2022
https://kinobar.vip/25763-marokkanskaya-mafiya-4-sezon-12-seriya.html,"Марокканская мафия 4 сезон 1,2 серия","Сериалы, Криминал","Victor D. Ponten, Бобо Боерманс, Giancarlo Sanchez",2022,6 февраля 2022
https://kinobar.vip/25633-mastershef-bitva-sezonov-1-sezon-1-vypusk.html,МастерШеф. Битва сезонов 1 сезон 1-3 выпуск,"Сериалы, ТВ-шоу, передачи",СТБ,2022,6 февраля 2022
https://kinobar.vip/21780-karamora.html,Карамора 1 сезон 1-4 серия,"Сериалы, Триллеры, Фэнтези",Данила Козловский,2022,5 февраля 2022
https://kinobar.vip/25506-kogti-4-sezon-1-6-seriya.html,Когти 4 сезон 1-10 серия,"Комедии, Сериалы, Драмы, Криминал","Дэйл Штерн, Джеми Трэвис, Ховард Дойч",2021,5 февраля 2022
https://kinobar.vip/25719-milye-magnolii-2-sezon.html,Милые магнолии 2 сезон 1-10 серия,"Сериалы, Мелодрамы, Драмы","Норман Бакли, Laura Nisbet, Келли Уильямс",2022,5 февраля 2022
https://kinobar.vip/22732-posledniy-ministr-2-sezon-v1.html,Последний министр 2 сезон 0-12 серия,"Комедии, Сериалы",Роман Волобуев,2020,5 февраля 2022
https://kinobar.vip/25713-papanki-4-sezon-1-4-seriya.html,Папаньки 4 сезон 1-8 серия,"Комедии, Сериалы","Ирина Васильева, Александр Кананович",2022,5 февраля 2022
https://kinobar.vip/24670-osnovanie-osman-3-sezon-1-seriya.html,Основание: Осман 3 сезон 1-16 серия,"Сериалы, Драмы, Боевики, Приключения, Военный, История, Турецкие сериалы","Фетхи Байрам, Метин Гюнай, Ахмет Йильмаз",2021,5 февраля 2022
https://kinobar.vip/25699-eksponaty-1-sezon-1-4-seriya.html,"Экспонаты 1 сезон 1-9,10 серия","Комедии, Сериалы",Ольга Кандидатова,2021,4 февраля 2022
https://kinobar.vip/25761-sinyaya-vesna-izdaleka-1-sezon-1-12-seriya.html,Синяя весна издалека 1 сезон 1-12 серия,"Сериалы, Мелодрамы, Азиатские сериалы",Неизвестно,2021,4 февраля 2022
https://kinobar.vip/25758-ostrov-nenuzhnyh-lyudey-1-sezon-1-24-seriya.html,Остров ненужных людей 1 сезон 1-24 серия,"Сериалы, Драмы, Приключения",Эдуард Парри,2011,4 февраля 2022
https://kinobar.vip/25757-otel-portofino-1-sezon-1-6-seriya.html,Отель Портофино 1 сезон 1-6 серия,"Сериалы, Драмы",Адам Уимпенни,2022,4 февраля 2022
https://kinobar.vip/25756-the-telki-1-sezon.html,The Телки 1 сезон,"Сериалы, Драмы",Мария Агранович,2022,4 февраля 2022
https://kinobar.vip/25754-yuzhnyy-park-25-sezon-1-seriya.html,Южный Парк 25 сезон 1 серия,"Комедии, Сериалы, Мультфильмы","Трей Паркер, Эрик Сточ, Мэтт Стоун",2022,4 февраля 2022
https://kinobar.vip/25753-v-gorode-ubiystv-1-sezon-1-6-seriya.html,В городе убийств 1 сезон 1-6 серия,"Комедии, Сериалы, Детектив, Криминал","Бреннан Шрофф, Иэн Моррис",2022,4 февраля 2022
https://kinobar.vip/25752-zvezdy-v-afrike-1-sezon.html,Звезды в Африке 1 сезон,"Сериалы, ТВ-шоу, передачи",ТНТ,2022,4 февраля 2022
https://kinobar.vip/25751-zagruzka-2-sezon.html,Загрузка 2 сезон,"Комедии, Сериалы, Фантастика, Детектив","Kacie Anning, Джеффри Блитц, Грег Дэниелс",2022,4 февраля 2022
https://kinobar.vip/25750-pobrilsya-zatem-privel-domoy-starsheklassnicu-1-sezon.html,Побрился. Затем привел домой старшеклассницу. 1,"Сериалы, Мелодрамы, Драмы, Мультфильмы, Аниме",Манабу Кавакита,2021,4 февраля 2022
https://kinobar.vip/25749-opasnaya-lyubov-vse-serii-po-poryadku.html,Опасная любовь (все серии по порядку),"Сериалы, Драмы, Турецкие сериалы",Андач Хазнедароглу,2009,4 февраля 2022
https://kinobar.vip/25744-kosmoboy-3-sezon-1-6-seriya.html,Космобой 3 сезон 1-6 серия,"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Семейный, Фэнтези","Шон В. Джеффри, Джастин Николс, Дэйв Томас",2022,4 февраля 2022
https://kinobar.vip/25732-uchenosti-plody-1-sezon-1-seriya.html,Учености плоды 1 сезон 1 серия,"Сериалы, Драмы, Военный",Игорь Угольников,2021,4 февраля 2022
https://kinobar.vip/24941-kniga-boby-fetta-1-sezon.html,Книга Бобы Фетта 1 сезон 1-6 серия,"Сериалы, Боевики, Приключения, Фантастика","Джон Фавро, Дэйв Филони, Брайс Даллас Ховард",2021,4 февраля 2022
