link,name,genre,director,year,appearance
https://kinobar.vip/16992-u-nee-drugoe-imya-v3.html,Другое имя,"Драмы, Триллеры, Новинки кино, Российское кино, Фильмы 2022",Вета Гераськина,2022,"Вчера, 12:47"
https://kinobar.vip/15686-zvezdnyy-razum-v2.html,Звёздный разум,"Приключения, Триллеры, Фантастика, Новинки кино, Российское кино, Фильмы 2021",Вячеслав Лисневский,2021,7 февраля 2022
https://kinobar.vip/24424-kazn.html,Казнь,"Триллеры, Новинки кино, Российское кино, Фильмы 2021",Ладо Кватания,2021,6 февраля 2022
https://kinobar.vip/24317-chernyy-yaschik.html,Черный ящик,"Фильмы 2021, Драмы, Триллеры, Детектив, Новинки кино",Ян Гозлан,2021,2 февраля 2022
https://kinobar.vip/24044-dom-gucci.html,Дом Gucci,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Ридли Скотт,2021,1 февраля 2022
https://kinobar.vip/24408-alleya-koshmarov.html,Аллея кошмаров,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Гильермо дель Торо,2021,31 января 2022
https://kinobar.vip/25333-lednikovyy-period-priklyucheniya-baka.html,Ледниковый период: Приключения Бака,"Комедии, Фильмы 2022, Приключения, Триллеры, Мультфильмы, Семейный, Новинки кино",Джон С. Донкин,2022,29 января 2022
https://kinobar.vip/22067-355.html,Код 355,"Боевики, Триллеры, Новинки кино, Фильмы 2022",Саймон Кинберг,2021,1 февраля 2022
https://kinobar.vip/24888-valdo.html,Вальдо,"Боевики, Триллеры, Детектив, Новинки кино, Фильмы 2021",Тим Киркби,2021,1 февраля 2022
https://kinobar.vip/24705-do-samoy-smerti.html,К югу от рая,"Драмы, Боевики, Триллеры, Ужасы, Детектив, Криминал, Новинки кино, Фильмы 2021",Ахарон Кешалес,2021,31 января 2022
https://kinobar.vip/25257-myunhen-na-poroge-voyny.html,Мюнхен: На пороге войны,"Фильмы 2021, Драмы, Триллеры, Биография, История, Новинки кино",Кристиан Швохов,2021,24 января 2022
https://kinobar.vip/18113-kings-man-nachalo-v4.html,King's man: Начало,"Комедии, Фильмы 2021, Боевики, Триллеры, Новинки кино",Мэттью Вон,2021,22 января 2022
https://kinobar.vip/23848-padenie-zamka.html,Падение замка,"Фильмы 2021, Драмы, Боевики, Триллеры, Новинки кино",Дольф Лундгрен,2022,22 января 2022
https://kinobar.vip/20999-proshloy-nochyu-v-soho-v1.html,Прошлой ночью в Сохо,"Фильмы 2021, Драмы, Триллеры, Ужасы, Детектив, Новинки кино",Эдгар Райт,2021,19 января 2022
https://kinobar.vip/24704-krik.html,Крик 5,"Фильмы 2022, Триллеры, Ужасы, Детектив, Новинки кино","Мэттью Беттинелли, Тайлер Джиллетт",2022,19 января 2022
https://kinobar.vip/23155-pokolenie-voyadzher-v2.html,Поколение Вояджер,"Фильмы 2021, Приключения, Триллеры, Фантастика, Новинки кино",Нил Бёргер,2021,8 января 2022
https://kinobar.vip/24024-ryad-19.html,Ряд 19,"Фильмы 2021, Триллеры, Новинки кино, Российское кино",Александр Бабаев,2021,6 января 2022
https://kinobar.vip/25082-mother-android.html,Мать/Андроид,"Фильмы 2021, Драмы, Триллеры, Фантастика, Новинки кино",Маттсон Томлин,2021,5 января 2022
https://kinobar.vip/23581-tihiy-omut.html,Тихий омут,"Фильмы 2021, Драмы, Триллеры, Криминал, Новинки кино",Том МакКарти,2021,25 декабря 2021
https://kinobar.vip/24205-korolevskaya-igra.html,Королевская игра,"Фильмы 2021, Драмы, Триллеры, Новинки кино",Филипп Штёльцль,2021,12 декабря 2021
https://kinobar.vip/24578-nuli-i-edinicy.html,Нули и единицы,"Фильмы 2021, Триллеры, Военный, Новинки кино",Абель Феррара,2021,10 декабря 2021
https://kinobar.vip/22784-ledyanoy-demon-v1.html,Ледяной демон,"Фильмы 2021, Триллеры, Ужасы, Новинки кино, Российское кино",Иван Капитонов,2021,9 декабря 2021
https://kinobar.vip/22283-hellouin-ubivaet.html,Хэллоуин убивает,"Фильмы 2021, Триллеры, Ужасы, Криминал, Новинки кино",Дэвид Гордон Грин,2021,9 декабря 2021
https://kinobar.vip/24586-kalendar-dyavola.html,Календарь дьявола,"Фильмы 2021, Триллеры, Ужасы, Новинки кино",Патрик Ридремон,2021,8 декабря 2021
https://kinobar.vip/25128-paranormalnye.html,Паранормальные,"Фильмы 2021, Драмы, Триллеры, Ужасы, Новинки кино",Эскиль Вогт,2021,6 декабря 2021
https://kinobar.vip/18017-bond-25-v2.html,Не время умирать,"Фильмы 2021, Боевики, Приключения, Триллеры, Новинки кино",Кэри Фукунага,2021,3 декабря 2021
https://kinobar.vip/25155-skvoz-sneg-3-sezon.html,Сквозь снег 3 сезон 1-3 серия,"Сериалы, Драмы, Боевики, Триллеры, Фантастика","Кристоф Шреве, Лесли Хоуп, Джеймс Хоуз",2022,6 февраля 2022
https://kinobar.vip/25461-uborschica-1-sezon-1-seriya.html,Уборщица 1 сезон 1-5 серия,"Сериалы, Драмы, Триллеры, Криминал, Фильмы 2022","Марисоль Торрес, Милан Чейлов, Стивен ДеПол",2022,"Вчера, 17:21"
https://kinobar.vip/25151-911-odinokaya-zvezda-3-sezon.html,911: Одинокая звезда 3 сезон 1-5 серия,"Сериалы, Драмы, Боевики, Триллеры","Брэдли Букер, Санаа Хамри, Марита Грабяк",2021,"Вчера, 12:54"
https://kinobar.vip/22703-vospitannye-volkami-2-sezon-v2.html,"Воспитанные волками 2 сезон 1,2 серия","Сериалы, Драмы, Триллеры, Фантастика","Люк Скотт, Алекс Габасси, Серджо Мимика-Геззан",2022,7 февраля 2022
https://kinobar.vip/25586-strashnye-istorii-v-dvuh-predlozheniyah-4-sezon-12-seriya.html,Страшные истории в двух предложениях 4 сезон,"Сериалы, Драмы, Триллеры, Ужасы, Детектив","Вера Миао, Рания Аттих, Дэниэл Гарсиа",2022,7 февраля 2022
https://kinobar.vip/21780-karamora.html,Карамора 1 сезон 1-4 серия,"Сериалы, Триллеры, Фэнтези",Данила Козловский,2022,5 февраля 2022
https://kinobar.vip/25720-pod-podozreniem-1-sezon.html,"Под подозрением 1 сезон 1,2 серия","Сериалы, Драмы, Триллеры, Криминал","Крис Лонг, Стефан Шварц",2022,4 февраля 2022
https://kinobar.vip/25154-dom-s-prislugoy-3-sezon.html,Дом с прислугой 3 сезон 1-3 серия,"Сериалы, Драмы, Триллеры, Фэнтези, Детектив","М. Найт Шьямалан, Нимрод Антал, Ishana Shyamalan",2022,4 февраля 2022
https://kinobar.vip/24515-temnoe-zhelanie-2-sezon.html,Тёмное желание 2 сезон 1-15 серия,"Сериалы, Драмы, Триллеры, Детектив","Кенья Маркес, Педро Пабло Ибарра",2021,3 февраля 2022
https://kinobar.vip/24033-fbr-4-sezon.html,ФБР 4 сезон 1-12 серия,"Сериалы, Боевики, Триллеры, Детектив, Криминал","Алекс Чаппл, Жан Де Сегонзак, Стивен Серджик",2021,2 февраля 2022
https://kinobar.vip/24265-fbr-samye-razyskivaemye-prestupniki-3-sezon.html,ФБР: Самые разыскиваемые преступники 3 сезон 1-12,"Сериалы, Драмы, Боевики, Триллеры, Детектив, Криминал","Кен Джиротти, Джим МакКэй, Фред Бернер",2021,2 февраля 2022
https://kinobar.vip/25722-molodoy-vallander-2-sezon.html,Молодой Валландер 2 сезон,"Сериалы, Драмы, Триллеры, Детектив, Криминал","Оле Эндресен, Йенс Йонссон",2022,2 февраля 2022
https://kinobar.vip/24194-sheker-2-sezon-1-4-seriya.html,SHEKER 2 сезон,"Сериалы, Драмы, Триллеры, Криминал, Сериалы с Каз.ТВ",Aitore,2021,28 августа 2021
https://kinobar.vip/24193-sheker-1-sezon-1-8-seriya.html,SHEKER 1 сезон 1-8 серия,"Сериалы, Драмы, Триллеры, Криминал, Сериалы с Каз.ТВ",Aitore,2021,28 августа 2021
https://kinobar.vip/13140-tergeushler-tergeushiler-123-seriya-v5.html,"Тергеушілер / Тергеушилер 1,2,3 серия","Сериалы, Триллеры, Спорт, Сериалы с Каз.ТВ","Антон Митнев, Ахтем Сейтаблаев",2017,14 июля 2017
https://kinobar.vip/10052-kauipti-sezim-hiler-v1.html,Хилер,"Комедии, Сериалы, Мелодрамы, Драмы, Боевики, Триллеры, Сериалы с Каз.ТВ, Азиатские сериалы","Джин Ву Ким, Ли Джон-соп",2014,5 июля 2016
https://kinobar.vip/25140-more-spokoystviya-1-sezon.html,Море Спокойствия 1 сезон 1-8 серия,"Сериалы, Триллеры, Фантастика, Азиатские сериалы",Чхве Хан-ён,2021,28 декабря 2021
https://kinobar.vip/24835-doktor-breyn-1-sezon.html,Доктор Брейн 1 сезон 1-6 серия,"Сериалы, Драмы, Триллеры, Фантастика, Детектив, Азиатские сериалы",Ким Джи-ун,2021,10 декабря 2021
https://kinobar.vip/25164-schaste-1-sezon.html,Счастье 1 сезон,"Сериалы, Триллеры, Фантастика, Азиатские сериалы",Ан Гиль-хо,2021,28 ноября 2021
https://kinobar.vip/24802-himera-1-sezon.html,Химера 1 сезон,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ким До-хун,2021,22 октября 2021
https://kinobar.vip/24675-frik-1-sezon-1-16-seriya.html,Фрик 1 сезон 1-16 серия,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы",Щим На-ён,2021,9 октября 2021
https://kinobar.vip/24504-mysh-1-sezon.html,Мышь 1 сезон,"Сериалы, Триллеры, Детектив, Криминал, Азиатские сериалы","Кан Чхор-у, Чхве Джун-бэ",2021,25 сентября 2021
https://kinobar.vip/22340-cvetok-zla-vse-serii-po-poryadku-v1.html,Цветок зла (все серии по порядку),"Сериалы, Мелодрамы, Триллеры, Детектив, Криминал, Азиатские сериалы",Ким Чхоль-гю,2020,12 ноября 2020
https://kinobar.vip/22287-365-god-pobedy-nad-sudboy-vse-serii-po-poryadku-v1.html,365: Год победы над судьбой (все серии по порядку),"Сериалы, Триллеры, Фантастика, Детектив, Азиатские сериалы",Ким Гён-хи,2020,7 ноября 2020
https://kinobar.vip/21875-beglec-plan-b-vse-serii-po-poryadku.html,Беглец: План Б (все серии по порядку),"Комедии, Сериалы, Мелодрамы, Боевики, Триллеры, Азиатские сериалы",Квак Чон-хван,2010,26 сентября 2020
https://kinobar.vip/21821-spasi-menya-vse-serii-po-poryadku.html,Спаси меня (все серии по порядку),"Сериалы, Драмы, Триллеры, Азиатские сериалы","Ким Сон-су, Ли Гвон",2017,19 сентября 2020
https://kinobar.vip/25598-uchitel-12-sezon.html,"Учитель 1,2 сезон","Сериалы, Драмы, Триллеры, Криминал, Турецкие сериалы",Корай Керимоглу,2020,20 января 2022
https://kinobar.vip/25459-nezavershennaya-lyubov-1-sezon-1-8-seriya.html,Незавершенная любовь 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Драмы, Триллеры, Турецкие сериалы",Умур Турагай,2020,2 января 2022
https://kinobar.vip/24925-nevernyy-12-sezon.html,"Неверный 1,2 сезон","Сериалы, Драмы, Триллеры, Турецкие сериалы","Неслихан Есилюрт, Левент Тюркан, Benal Tahiri",2020,2 ноября 2021
https://kinobar.vip/24748-fatma-1-sezon-1-6-seriya.html,Фатма 1 сезон 1-6 серия,"Сериалы, Драмы, Триллеры, Криминал, Турецкие сериалы",Ozer Feyzioglu,2021,16 октября 2021
https://kinobar.vip/24475-beda-na-golovu-1-sezon-1-13-seriya.html,Беда на голову 1 сезон 1-13 серия,"Комедии, Сериалы, Мелодрамы, Боевики, Триллеры, Криминал, Турецкие сериалы",Мурат Онбул,2021,22 сентября 2021
https://kinobar.vip/23006-50m2-50-kvadratnyh-metrov-1-sezon-1-8-seriya-v1.html,50M2 / 50 квадратных метров 1 сезон 1-8 серия,"Комедии, Сериалы, Драмы, Триллеры, Турецкие сериалы","Бурак Аксак, Селчук Айдемир",2021,1 февраля 2021
