link,name,genre,director,year,appearance
https://kinobar.vip/25770-kak-ya-stala-fenomenom-1-sezon.html,Как я стала феноменом 1 сезон,"Комедии, Сериалы, Турецкие сериалы",Котан Мустафа,2022,7 февраля 2022
https://kinobar.vip/24670-osnovanie-osman-3-sezon-1-seriya.html,Основание: Осман 3 сезон 1-16 серия,"Сериалы, Драмы, Боевики, Приключения, Военный, История, Турецкие сериалы","Фетхи Байрам, Метин Гюнай, Ахмет Йильмаз",2021,5 февраля 2022
https://kinobar.vip/25749-opasnaya-lyubov-vse-serii-po-poryadku.html,Опасная любовь (все серии по порядку),"Сериалы, Драмы, Турецкие сериалы",Андач Хазнедароглу,2009,4 февраля 2022
https://kinobar.vip/25760-kolco-1-sezon-1-19-seriya.html,Кольцо 1 сезон 1-19 серия,"Сериалы, Драмы, Боевики, Криминал, Турецкие сериалы","Волкан Коджатюрк, Башак Сойсал, Сюлейман Мерт Оздемир",2019,3 февраля 2022
https://kinobar.vip/25740-mlechnyy-put-vse-serii-po-poryadku.html,Млечный путь (все серии по порядку),"Сериалы, Мелодрамы, Турецкие сериалы",Картал Тибет,1989,3 февраля 2022
https://kinobar.vip/10493-nebesnaya-lyubov-mezhdu-nebom-i-zemley-123-sezon-v1.html,"Небесная любовь / Между небом и землей 1,2,3 сезон","Сериалы, Мелодрамы, Сериалы с Каз.ТВ, Турецкие сериалы","Атиль Инач, Улас Инан Инач",2010-2013,27 января 2022
https://kinobar.vip/15478-fazilet-hanym-gospozha-fazilet-i-ee-docheri-vse-serii-po-poryadku-v5.html,Фазилет Ханым / Госпожа Фазилет и ее дочери (все,"Сериалы, Драмы, Сериалы с Каз.ТВ, Турецкие сериалы","Алптекин Бозкурт, Gökçen Usta Çaylar, Günay Günaydin",2017,13 мая 2018
https://kinobar.vip/8515-oskolki-1-sezon-v5.html,"Осколки / Вдребезги 1,2,3 сезон","Сериалы, Драмы, Сериалы с Каз.ТВ, Турецкие сериалы",Джевдет Мерджан,2014-2015,10 марта 2017
https://kinobar.vip/10031-vozrozhdenie-ertugrul-zhauzhurek-ertugryl-2-sezon-v1.html,Возрождение: Эртугрул / Жаужурек Ертугрыл 2 сезон,"Сериалы, Драмы, Боевики, История, Сериалы с Каз.ТВ, Турецкие сериалы","Метин Гюнай, Хакан Арслан, Akif Özkan",2014,2 июля 2016
https://kinobar.vip/8969-1200rlan1171an-ta1171dyr-ukradennaya-zhizn-v1.html,Ұрланған тағдыр / Украденная,"Сериалы, Драмы, Сериалы с Каз.ТВ, Турецкие сериалы","Selale Baskici, Мерве Гиргин",2014,23 января 2016
https://kinobar.vip/25622-plotina-1-sezon-1-39-seriya.html,Плотина 1 сезон 1-39 серия,"Сериалы, Драмы, Турецкие сериалы","Ece Erdek Ko?oglu, Хасан Толга Пулат",2020,22 января 2022
https://kinobar.vip/25613-gornichnye-1-sezon-1-3-seriya.html,Горничные 1 сезон 1-3 серия,"Сериалы, Драмы, Турецкие сериалы",Метин Балекоглу,2020,20 января 2022
https://kinobar.vip/25598-uchitel-12-sezon.html,"Учитель 1,2 сезон","Сериалы, Драмы, Триллеры, Криминал, Турецкие сериалы",Корай Керимоглу,2020,20 января 2022
https://kinobar.vip/25595-skrytoe-1-sezon.html,Скрытое 1 сезон,"Сериалы, Драмы, Турецкие сериалы",Дэниз Аксай,2021,18 января 2022
https://kinobar.vip/25536-skryvaya-nashu-mamu-1-sezon.html,Скрывая нашу маму 1 сезон,"Сериалы, Драмы, Турецкие сериалы",Барыш Йош,2021,12 января 2022
https://kinobar.vip/25468-novaya-zhizn-1-sezon-1-9-seriya.html,Новая жизнь 1 сезон 1-9 серия,"Сериалы, Драмы, Турецкие сериалы","Башак Сойсал, Джем Озёдуру",2020,7 января 2022
https://kinobar.vip/25459-nezavershennaya-lyubov-1-sezon-1-8-seriya.html,Незавершенная любовь 1 сезон 1-8 серия,"Сериалы, Мелодрамы, Драмы, Триллеры, Турецкие сериалы",Умур Турагай,2020,2 января 2022
https://kinobar.vip/25436-lyubov-na-kryshe-1-sezon-1-16-seriya.html,Любовь на крыше 1 сезон 1-16 серия,"Комедии, Сериалы, Мелодрамы, Семейный, Турецкие сериалы","Барыш Йош, Шенол Сёнмез",2020,30 декабря 2021
https://kinobar.vip/25417-mariya-i-mustafa-1-sezon-1-17-seriya.html,Мария и Мустафа 1 сезон 1-17 серия,"Сериалы, Драмы, Турецкие сериалы","Бахадыр Инс, Фарук Тебер",2020,26 декабря 2021
https://kinobar.vip/25409-klub-1-sezon-1-6-seriya.html,Клуб 1 сезон 1-6 серия,"Комедии, Сериалы, Драмы, Турецкие сериалы","Зейнеп Гюнай, Серен Юдже",2021,25 декабря 2021
https://kinobar.vip/25400-tri-kurusha-1-sezon.html,Три куруша 1 сезон,"Сериалы, Драмы, Боевики, Криминал, Турецкие сериалы",Синан Озтюрк,2021,24 декабря 2021
https://kinobar.vip/25372-alp-arslan-velikiy-seldzhuk-1-sezon.html,Алп-Арслан: Великий Сельджук 1 сезон,"Сериалы, Боевики, Военный, История, Турецкие сериалы",Sedat Inci,2021,20 декабря 2021
https://kinobar.vip/25363-gostya-1-sezon.html,Гостья 1 сезон,"Сериалы, Драмы, Турецкие сериалы",Arda Sarigün,2021,18 декабря 2021
https://kinobar.vip/25355-igra-moey-sudby-1-sezon.html,Игра моей судьбы 1 сезон,"Сериалы, Драмы, Турецкие сериалы",Эмре Кабакусак,2021,17 декабря 2021
https://kinobar.vip/25281-doverennoe-12-sezon.html,"Доверенное 1,2 сезон","Сериалы, Мелодрамы, Драмы, Боевики, Турецкие сериалы","Айхан Озен, Serkan Mut, Танер Тунч",2020,9 декабря 2021
https://kinobar.vip/25261-legenda-1-sezon.html,Легенда 1 сезон,"Сериалы, Боевики, Военный, История, Турецкие сериалы",Эмир Кхалильзаде,2021,8 декабря 2021
https://kinobar.vip/25190-probuzhdenie-velikie-seldzhuki-1-sezon-1-34-seriya.html,Пробуждение: Великие Сельджуки 1 сезон 1-34 серия,"Сериалы, Драмы, Биография, Военный, История, Турецкие сериалы","Sedat Inci, Эмре Конук",2020,1 декабря 2021
https://kinobar.vip/25178-krasnaya-komnata-1-sezon.html,Красная комната 1 сезон,"Сериалы, Драмы, Турецкие сериалы","Cem Karci, Benal Tahiri, Ali Balci",2020,30 ноября 2021
https://kinobar.vip/25144-moya-levaya-polovinka-1-sezon-1-12-seriya.html,Моя левая половинка 1 сезон 1-12 серия,"Сериалы, Драмы, Турецкие сериалы","Барыш Йош, Сердар Гёзелекли",2020,27 ноября 2021
https://kinobar.vip/25096-kvartira-nevinnyh-12-sezon.html,"Квартира невинных 1,2 сезон","Сериалы, Драмы, Турецкие сериалы","Чагры Вила Лостувалы, Çigdem Bozali, Эндер Михлар",2020,22 ноября 2021
https://kinobar.vip/25085-zadira-1-sezon-1-30-seriya.html,Задира 1 сезон 1-30 серия,"Сериалы, Драмы, Боевики, Турецкие сериалы","Recai Karagöz, Levent Kar",2020,21 ноября 2021
