link,name,genre,director,year,appearance
https://kinobar.vip/25367-yelloustoun-1883-1-sezon-12-seriya.html,Йеллоустоун: 1883 1 сезон 1-7 серия,"Сериалы, Драмы, Вестерны","Тейлор Шеридан, Кристина Ворос",2021,6 февраля 2022
https://kinobar.vip/25653-tom-i-dzherri-bravye-kovboi.html,Том и Джерри: Бравые ковбои!,"Комедии, Фильмы 2022, Приключения, Мультфильмы, Семейный, Вестерны",Даррел Ван Ситтерс,2022,29 января 2022
https://kinobar.vip/24270-uoker-2-sezon.html,Уокер 2 сезон 1-9 серия,"Сериалы, Драмы, Боевики, Вестерны, Криминал","Стив Робин, Стэйси К. Блэк, Алекс Пиллаи",2021,28 января 2022
https://kinobar.vip/23268-litl-grom-v2.html,Литл Гром,"Приключения, Мультфильмы, Семейный, Вестерны, Фильмы 2020","Ксавье Джакометти, Тоби Генкель",2020,1 октября 2021
https://kinobar.vip/22649-uoker-1-sezon-v2.html,Уокер 1 сезон 1-18 серия,"Сериалы, Драмы, Вестерны, Криминал",Стив Робин,2021,13 августа 2021
https://kinobar.vip/23390-spirit-nepokornyy.html,Спирит Непокорный,"Фильмы 2021, Приключения, Мультфильмы, Семейный, Вестерны, Новинки кино","Илэйн Боган, Эннио Торресан",2021,1 августа 2021
https://kinobar.vip/1458-mertvec-v2.html,Мертвец,"Драмы, Фэнтези, Вестерны",Джим Джармуш,1995,15 июля 2021
https://kinobar.vip/81-dzhango-osvobozhdennyy-v2.html,Джанго освобожденный,"Комедии, Драмы, Приключения, Вестерны, ТОП 250 лучших фильмов по версии КиноПоиска",Квентин Тарантино,2012,27 мая 2021
https://kinobar.vip/21226-vaynona-erp-4-sezon-v2.html,Вайнона Эрп 4 сезон 1-12 серия,"Сериалы, Драмы, Боевики, Триллеры, Фэнтези, Детектив, Вестерны","Паоло Барзмен, Рон Мерфи, Бретт Салливан",2020,10 апреля 2021
https://kinobar.vip/22135-novosti-so-vsego-sveta-v3.html,Новости со всех концов света,"Драмы, Боевики, Приключения, Вестерны, Новинки кино, Фильмы 2020",Пол Гринграсс,2020,14 февраля 2021
https://kinobar.vip/18935-sem-pyanic-v6.html,Семь пьяниц,"Комедии, Вестерны, Российское кино, Фильмы 2019",Сергей Кузнецов,2019,3 января 2021
https://kinobar.vip/21621-za-prizrachnoy-dveryu-v1.html,За призрачной дверью,"Ужасы, Вестерны, Фильмы 2020",А.Б. Кунц,2020,19 октября 2020
https://kinobar.vip/21769-pechat-vedmy-v1.html,Печать ведьмы,"Фэнтези, Вестерны, Новинки кино, Фильмы 2019",Хуан Диего Эскобар Альсате,2019,13 октября 2020
https://kinobar.vip/20839-yelloustoun-3-sezon-v4.html,Йеллоустоун 3 сезон 1-10 серия,"Сериалы, Драмы, Вестерны","Тейлор Шеридан, Стефен Т. Кэй, Эдвард Бьянчи",2020,24 августа 2020
https://kinobar.vip/21577-zorro-shpaga-i-roza-vse-serii-po-poryadku-v1.html,Зорро: Шпага и роза (все серии по порядку),"Сериалы, Мелодрамы, Драмы, Приключения, Вестерны","Маурисио Крус, Агустин Рестрепо",2007,21 августа 2020
https://kinobar.vip/21564-ad-na-granice-v1.html,Ад на границе,"Приключения, Биография, Вестерны, Фильмы 2019",Уэс Миллер,2019,16 августа 2020
https://kinobar.vip/17586-mir-dikogo-zapada-3-sezon-3-v9.html,Мир Дикого Запада 3 сезон 1-8 серия,"Сериалы, Драмы, Фантастика, Детектив, Вестерны","Джонатан Нолан, Ричард Дж. Льюис, Фред Туа",2019,4 мая 2020
https://kinobar.vip/19265-podlinnaya-istoriya-bandy-kelli-v10-v3.html,Подлинная история банды Келли,"Драмы, Биография, Вестерны, Криминал, Новинки кино, Фильмы 2019",Джастин Курзель,2019,22 апреля 2020
https://kinobar.vip/19255-zamestitel-1-sezon-v6.html,Шериф / Заместитель 1 сезон 1-13 серия,"Сериалы, Драмы, Вестерны, Криминал","Дэвид Эйр,Милан Чейлов,Тоа Фрейзер",2020,27 марта 2020
https://kinobar.vip/19978-horoshiy-plohoy-dolbanutyy-v5.html,"Хороший, плохой, долбанутый","Комедии, Боевики, Вестерны, Криминал",Ким Джи-ун,2008,25 февраля 2020
https://kinobar.vip/19970-ego-zovut-shrimannarayana-v6.html,Его зовут Шриманнараяна,"Комедии, Боевики, Фантастика, Вестерны, Фильмы 2019",Сачин,2019,21 февраля 2020
https://kinobar.vip/17870-rembo-5-poslednyaya-krov-4-v9.html,Рэмбо: Последняя кровь,"Боевики, Приключения, Триллеры, Вестерны, Новинки кино, Фильмы 2019",Адриан Грюнберг,2019,12 декабря 2019
https://kinobar.vip/19330-pobeg-iz-liberti-v4.html,Побег из Либерти,"Драмы, Вестерны, Фильмы 2019",Гаррет Бэтти,2019,4 декабря 2019
https://kinobar.vip/19086-pustosh-v4.html,Пустошь,"Вестерны, Фильмы 2018",Джастин Ли,2019,3 ноября 2019
https://kinobar.vip/18903-giblaya-zemlya-v4.html,Гиблая земля,"Боевики, Вестерны, Фильмы 2019",Мика Лайонс,2019,12 октября 2019
https://kinobar.vip/17835-dedvud-v8.html,Дэдвуд,"Драмы, Вестерны, Новинки кино, Фильмы 2019",Даниэль Минахан,2019,2 октября 2019
https://kinobar.vip/18658-follaut-yadernyy-perekur-vse-serii-po-poryadku-v4.html,Фоллаут – Ядерный перекур (все серии по порядку),"Сериалы, Боевики, Приключения, Фантастика, Вестерны",Винсент Таленти,2011,19 сентября 2019
https://kinobar.vip/17710-yelloustoun-2-sezon-v4.html,Йеллоустоун 2 сезон 1-10 серия,"Сериалы, Драмы, Вестерны","Тейлор Шеридан,Стефен Т. Кэй",2019,30 августа 2019
https://kinobar.vip/18209-neprikayannye-v4.html,Неприкаянные,"Мелодрамы, Драмы, Вестерны",Джон Хьюстон,1961,28 июля 2019
https://kinobar.vip/17333-veter-v2.html,Обитель страха,"Ужасы, Вестерны, Фильмы 2018",Эмма Тамми,2018,12 июля 2019
https://kinobar.vip/17636-syn-2-sezon-1-seriya-v2.html,Сын 2 сезон 1-10 серия,"Сериалы, Драмы, Вестерны","Кевин Даулинг, Джереми Уэбб, Олатунде Осунсанми",2019,30 июня 2019
https://kinobar.vip/17186-malysh-v3.html,Малыш Кид,"Приключения, Вестерны, Новинки кино, Фильмы 2019",Винсент Д’Онофрио,2019,13 июня 2019
https://kinobar.vip/17798-zaklinatel-loshadey-v2.html,Заклинатель лошадей,"Мелодрамы, Драмы, Вестерны",Роберт Редфорд,1998,25 мая 2019
https://kinobar.vip/16914-kovboi-v2.html,Ковбои,"Боевики, Вестерны, Фильмы 2018",Майк Уилуэн,2018,29 апреля 2019
https://kinobar.vip/17315-ne-sostaritsya-v2.html,Не состарится,"Драмы, Боевики, Триллеры, Вестерны, Фильмы 2019",Иван Кэвэна,2019,19 марта 2019
https://kinobar.vip/17004-trigan-vse-serii-po-poryadku-v2.html,Триган (все серии по порядку),"Комедии, Сериалы, Боевики, Мультфильмы, Фантастика, Вестерны, Аниме",Сатоси Нисимура,1998,4 февраля 2019
https://kinobar.vip/15541-bratya-sisters-v4.html,Братья Систерс,"Комедии, Драмы, Приключения, Вестерны, Криминал, Новинки кино, Фильмы 2018",Жак Одиар,2018,15 января 2019
https://kinobar.vip/16239-ballada-bastera-skraggsa-v4.html,Баллада Бастера Скраггса,"Комедии, Мелодрамы, Драмы, Мюзикл, Детектив, Вестерны, Новинки кино, Фильмы 2018","Итан Коэн, Джоэл Коэн",2018,16 ноября 2018
https://kinobar.vip/15800-naezdnik-v3.html,Наездник,"Драмы, Вестерны, Фильмы 2017",Хлоя Чжао,2017,1 ноября 2018
https://kinobar.vip/14826-satash-v2.html,Саташ,"Драмы, Боевики, Вестерны, Скоро в кино, Казахстанское кино, Фильмы 2018",Тулеген Байтукенов,2018,16 октября 2018
https://kinobar.vip/15665-vaynona-erp-3-sezon-v2.html,"Вайнона Эрп 3 сезон 1-11,12 серия","Сериалы, Драмы, Боевики, Триллеры, Фэнтези, Детектив, Вестерны","Паоло Барзмен, Рон Мерфи, Бретт Салливан",2018,29 сентября 2018
https://kinobar.vip/15578-devica-v1.html,Девица,"Комедии, Драмы, Вестерны, Фильмы 2018","Дэвид Зеллнер, Нэйтан Зеллнер",2018,11 сентября 2018
https://kinobar.vip/16175-zhenschina-idet-vperedi-v1.html,"Женщина, идущая впереди","Драмы, Биография, Вестерны, История, Фильмы 2017",Сюзанна Уайт,2017,9 сентября 2018
https://kinobar.vip/15411-yelloustoun-1-sezon-v1.html,Йеллоустоун 1 сезон 1-9 серия,"Сериалы, Драмы, Вестерны",Тейлор Шеридан,2018,23 августа 2018
https://kinobar.vip/15749-sladostnyy-kray-v4.html,Сладостный край,"Драмы, Приключения, Триллеры, Вестерны, История, Криминал, Фильмы 2017",Уорвик Торнтон,2017,27 июня 2018
https://kinobar.vip/13228-mir-dikogo-zapada-2-sezon-v7.html,Мир Дикого Запада 2 сезон 1-10 серия,"Сериалы, Драмы, Фантастика, Детектив, Вестерны","Джонатан Нолан, Джонни Кэмпбелл, Ричард Дж. Льюис",2018,25 июня 2018
https://kinobar.vip/15590-na-zapad-vse-serii-po-poryadku-v1.html,На Запад (все серии по порядку),"Сериалы, Мелодрамы, Драмы, Приключения, Вестерны, История","Роберт Дорнхельм, Серджо Мимика-Геззан, Джереми Подесва",2005,2 июня 2018
https://kinobar.vip/15426-hetfildy-i-makkoi-vse-serii-po-poryadku-v1.html,Хэтфилды и МакКои (все серии по порядку),"Сериалы, Мелодрамы, Драмы, Военный, Вестерны, История",Кевин Рейнольдс,2012,8 мая 2018
https://kinobar.vip/15384-nefritovyy-kulon-v1.html,Нефритовый кулон,"Драмы, Вестерны, История, Фильмы 2017",По-Чин Леонг,2017,1 мая 2018
https://kinobar.vip/15264-dedvud-vse-serii-po-poryadku-v4.html,Дедвуд (все серии по порядку),"Сериалы, Драмы, Вестерны, История, Криминал","Эдвард Бьянчи, Даниэль Минахан, Дэвис Гуггенхайм",2004,19 апреля 2018
https://kinobar.vip/13559-nedrugii-2017-v1.html,Недруги,"Драмы, Приключения, Вестерны, Новинки кино, Фильмы 2017",Скотт Купер,2017,9 апреля 2018
https://kinobar.vip/15188-ushedshie-dni-v1.html,Ушедшие дни,"Вестерны, Фильмы 2018",Mark Landre Gould,2018,3 апреля 2018
https://kinobar.vip/15150-moya-lyubimaya-mumiya-v1.html,Моя любимая мумия,"Комедии, Приключения, Семейный, Вестерны, Фильмы 2014",Пим ван Хёве,2014,30 марта 2018
https://kinobar.vip/14888-tumstoun-rasemon-v1.html,Тумстоун Расёмон,"Вестерны, Фильмы 2017",Алекс Кокс,2017,22 февраля 2018
https://kinobar.vip/14857-zapah-dozhdya-i-molnii-v1.html,Запах дождя и молнии,"Драмы, Детектив, Вестерны, Фильмы 2017",Блейк Роббинс,2017,18 февраля 2018
https://kinobar.vip/14790-gorod-bomba-v1.html,Город-бомба,"Драмы, Боевики, Триллеры, Вестерны, Криминал, Фильмы 2017",Джэми Брукс,2017,11 февраля 2018
https://kinobar.vip/14772-istoriya-o-mustange-i-pokornoy-zhenschine-v1.html,История о мустанге и покорной женщине,"Вестерны, Фильмы 2017",Джеймс Коттен,2017,8 февраля 2018
https://kinobar.vip/14717-mertvecy-v2.html,Мертвецы,"Вестерны, Фильмы 2018",Ройстон Иннес,2018,4 февраля 2018
https://kinobar.vip/13996-proklyataya-naciya-1-sezon-1-seriya-v1.html,Проклятая нация / Проклятие 1 сезон 1-10 серия,"Сериалы, Драмы, Вестерны, Криминал","Адам Кэйн, Род Лури, Эва Сёрхёуг",2017,19 января 2018
https://kinobar.vip/14302-ukradennyy-v2.html,Украденный,"Драмы, Боевики, Приключения, Триллеры, Вестерны, Фильмы 2017",Найэлл Джонсон,2017,19 января 2018
https://kinobar.vip/14298-posledniy-strelok-v1.html,Последний стрелок,"Вестерны, Фильмы 2017",Кристофер Форбс,2017,16 декабря 2017
https://kinobar.vip/14281-ballada-o-lefti-braune-v2.html,Баллада о Лефти Брауне,"Вестерны, Фильмы 2017",Джаред Моше,2017,14 декабря 2017
https://kinobar.vip/13484-mertvec-iz-tumstouna2-v1.html,Мертвец из Тумстоуна 2,"Вестерны, Фильмы 2017",Роэль Рейн,2017,12 декабря 2017
https://kinobar.vip/14238-dolina-kostey-v2.html,Долина костей,"Триллеры, Вестерны, Криминал, Фильмы 2017",Дэн Глейсер,2017,7 декабря 2017
https://kinobar.vip/13812-zabytye-bogom-1-sezon-v1.html,Забытые Богом 1 сезон 1-7 серия,"Сериалы, Вестерны",Скотт Фрэнк,2017,23 ноября 2017
https://kinobar.vip/14084-luchshiy-bar-v-amerike-v1.html,Лучший бар в Америке,"Приключения, Вестерны","Дэймон Ристау, Эрик В. Ристау",2009,22 ноября 2017
https://kinobar.vip/14071-ubiyca-v1.html,Убийца,"Вестерны, Фильмы 2017",Марсело Галвао,2017,20 ноября 2017
https://kinobar.vip/14068-longmayr-6-sezon-v1.html,Лонгмайр 6 сезон,"Сериалы, Драмы, Боевики, Вестерны, Криминал","Джеймс М. Муро, Кристофер Чулак, Майкл Оффер",2017,20 ноября 2017
https://kinobar.vip/10301-temnaya-bashnya-hd-v2.html,Темная башня,"Боевики, Приключения, Фантастика, Фэнтези, Ужасы, Вестерны, Фильмы 2017",Николай Арсель,2017,23 октября 2017
https://kinobar.vip/13707-v-dome-otca-v3.html,В доме отца,"Комедии, Вестерны",Мэтт Пидмонт,2011,6 октября 2017
https://kinobar.vip/13507-shala-kazah-v1.html,Шала казах,"Драмы, Боевики, Вестерны, Скоро в кино, Казахстанское кино",Тулеген Байтукенов,2018,5 сентября 2017
https://kinobar.vip/12305-vaynona-erp-2-sezon-v1.html,Вайнона Эрп 2 сезон,"Сериалы, Драмы, Боевики, Триллеры, Фэнтези, Детектив, Вестерны","Рон Мерфи, Питер Стеббингс, Бретт Салливан",2017,27 августа 2017
https://kinobar.vip/12654-hikok-v2.html,Хикок,"Вестерны, Фильмы 2017",Тимоти Вудворд мл,2017,10 июля 2017
https://kinobar.vip/12314-syn-1-sezon-12-seriya-v3.html,Сын 1 сезон,"Сериалы, Драмы, Вестерны","Кевин Даулинг, Джереми Уэбб, Джон Дэвид Коулз",2017,11 июня 2017
https://kinobar.vip/12595-skubi-du-na-dikom-zapade-v1.html,Скуби-ду! На диком западе,"Комедии, Мультфильмы, Семейный, Детектив, Вестерны, Фильмы 2017",Мэтт Питерс,2017,18 мая 2017
https://kinobar.vip/12496-legenda-o-bene-holle-v1.html,Легенда о Бене Холле,"Драмы, Боевики, Биография, Вестерны, История, Фильмы 2016",Мэттью Холмс,2016,8 мая 2017
https://kinobar.vip/12205-dilizhans-istoriya-tehasskogo-dzheka-v2.html,Дилижанс: История Техасского Джека,"Вестерны, Фильмы 2016",Терри Майлз,2016,28 марта 2017
https://kinobar.vip/10352-v-doline-nasiliya-v1.html,В долине насилия,"Вестерны, Фильмы 2016",Тай Уэст,2016,10 марта 2017
https://kinobar.vip/11934-shestizaryadnyy-spasitel-v1.html,Шестизарядный спаситель,"Драмы, Боевики, Приключения, Фантастика, Вестерны, Фильмы 2016",Кирк Мюррэй,2016,28 февраля 2017
https://kinobar.vip/11901-krovavaya-luna-v1.html,Кровавая луна,"Триллеры, Ужасы, Вестерны, Фильмы 2014",Джереми Вудинг,2014,27 февраля 2017
https://kinobar.vip/11570-dzhona-heks-v2.html,Джона Хекс,"Драмы, Боевики, Триллеры, Фэнтези, Вестерны, Фильмы про супергероев марвел и дс",Джимми Хейуорд,2010,23 января 2017
https://kinobar.vip/11411-vinnetu-novyy-svet-v1.html,Виннету. Новый свет,"Вестерны, Фильмы 2016",Филипп Штёльцль,2016,5 января 2017
https://kinobar.vip/11410-vinnetu-tayny-serebryannogo-ozera-v1.html,Виннету. Тайны серебряного озера,"Вестерны, Фильмы 2016",Филипп Штёльцль,2016,5 января 2017
https://kinobar.vip/11409-vinnetu-posledniy-boy-v1.html,Виннету. Последний бой,"Вестерны, Фильмы 2016",Филипп Штёльцль,2016,5 января 2017
https://kinobar.vip/9552-velikolepnaya-semerka-2-v2.html,Великолепная семерка,"Боевики, Вестерны, Фильмы 2016",Антуан Фукуа,2016,17 декабря 2016
https://kinobar.vip/7053-zapadnyy-mir-1-sezon-5-v4.html,Мир дикого запада 1 сезон,"Сериалы, Триллеры, Фантастика, Вестерны","Джонатан Нолан, Джонни Кэмпбелл, Ричард Дж. Льюис",2016,7 декабря 2016
https://kinobar.vip/11157-na-neskolko-dollarov-bolshe-v2.html,На несколько долларов больше,"Драмы, Боевики, Вестерны, ТОП 250 лучших фильмов по версии КиноПоиска",Серджио Леоне,1965,30 ноября 2016
https://kinobar.vip/4757-odinokiy-reyndzher-eng-v1.html,Одинокий рейнджер [ENG],"Комедии, Боевики, Приключения, Вестерны, На иностранном языке, Фильмы 2013",Гор Вербински,2013,20 сентября 2014
https://kinobar.vip/1474-zheleznaya-hvatka-goblin-v1.html,Железная хватка [Гоблин],"Драмы, Приключения, Вестерны, Гоблинский Перевод","Итан Коэн, Джоэл Коэн",2010,16 июля 2013
